numerator,(-165580141*x+370248451)/2
denominator,42
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(61305790721611591*x+137083915467899403)/2
"(1, 1)",1
"(2, -4)",(8404037832974134882743767626780173*x+18791999880010189197735341327756407)/2
"(2, -2)",-146157857752447760253807923200*x-326818905380217821422824345600
"(2, 0)",-2706736986553109563875*x-6052447899145687250625
"(2, 2)",-4768158310400
"(2, 4)",(-61305790721611591*x+137083915467899403)/2
"(3, -5)",-371050104258483237232883549908812430500*x-829693256180352716327684572321461626250
"(3, -3)",-1449530732112603180787220238644699475*x-3241249252478818055204970015571235175
"(3, -1)",456355286038284870573314295069732*x+1020441441472965664956343045961448
"(3, 1)",-940628808778416663415113114*x-2103309958008302740371051258
"(3, 3)",-47288542078998513450
"(3, 5)",2706736986553109563875*x-6052447899145687250625
"(4, -8)",-20035891417105814194702612581719183741949849600*x-44801615198453193229929038305861141111947366400
"(4, -6)",-128945080108795026508165007061571362923001210*x-288329964487421657272805146040150295146560422
"(4, -4)",103990577710617084352047436701199994191872*x+232530000780414254492124962348542067736576
"(4, -2)",603124615018345334108696469198850127550*x+1348627638084410737364740738486411138850
"(4, 0)",12906150456500262417952300876800000*x+28859029748574529724386921344000000
"(4, 2)",5091798323352269897034275778850*x+11385607198411073120585461473150
"(4, 4)",3392520559202515952861184
"(4, 6)",940628808778416663415113114*x-2103309958008302740371051258
"(4, 8)",146157857752447760253807923200*x-326818905380217821422824345600
"(5, -11)",576029205942227394151296517103284386226337018662564*x+1288040461512046250074554441303780730033969848412809
"(5, -9)",62558969454601295836665003550001308538610031056882*x+139886108302821441274455987405949171480223451266802
"(5, -7)",698003651541139092333378790580337774410125154100*x+1560783613389062855565755075167613077529974390600
"(5, -5)",(-13873793423975208062574560393823812563158671875*x-31022745201798125794047345975120618121181484375)/2
"(5, -3)",-34377722452251638560324562986068746251182900*x-76870924314855431998169817987536122761201150
"(5, -1)",-90469337426454844718975492103462761048592*x-202295588364918913601251886156678421328592
"(5, 1)",-59352101277775844340918156462878059648*x-132715333064561867406193907137078240608
"(5, 3)",-6065853451453794282199853984360475*x-13563661780518726170995544571471975
"(5, 5)",-226304779053839064770721953125
"(5, 7)",-5091798323352269897034275778850*x+11385607198411073120585461473150
"(5, 9)",-456355286038284870573314295069732*x+1020441441472965664956343045961448
"(5, 11)",(-8404037832974134882743767626780173*x+18791999880010189197735341327756407)/2
"(6, -12)",-198707348349046429049404889346891117722817038466913425*x-444323138537198423789218655368142344804849688356587075
"(6, -10)",1769225638194873277311068398653157152683397427200000*x+3956108794539184965561062963104447073478636288000000
"(6, -8)",-831530976157480222680929183655170876297808840479325*x-1859359788084882649076225704973848878897630172529775
"(6, -6)",6911592006502905005048057795008795034631767040000*x+15454789559284664109895143755128802402869048320000
"(6, -4)",-330626316663816282394077219968896396001945926485*x-739302919210664690102877022890761873982792986943
"(6, -2)",-2175974249618417098186736968507860383300812800*x-4865626339435876452295449147794327439217459200
"(6, 0)",127997645885398355079732915271102821618750*x+286211437159696982436129656527992583406250
"(6, 2)",4485067071578459885816611239475122585600*x+10028914855624363743699321635417074483200
"(6, 4)",2847677800370865960581510357016466071*x+6367590353509728315737521787916471573
"(6, 6)",225479254900676855215863674880000
"(6, 8)",6065853451453794282199853984360475*x-13563661780518726170995544571471975
"(6, 10)",-12906150456500262417952300876800000*x+28859029748574529724386921344000000
"(6, 12)",1449530732112603180787220238644699475*x-3241249252478818055204970015571235175
"(7, -15)",-50865001126525176387389508147371483237722461616819427625*x-113737600194513675674996520358078555957691088614096878125
"(7, -13)",82678683741784222523291768513548227381423118251394631500*x+184875157136836191074991279625853199589664372645003633400
"(7, -11)",-8136218434404918458687936772295129440484701153858638736*x-18193137499116311358018249336506813283646811586352228432
"(7, -9)",390370492239536836730348083824755148467273298844729128*x+872894957057658483728106535588194456240531940666157862
"(7, -7)",-9461456914323999598581964050586795478674516729629875*x-21156460826613866783748453265338596774756433215298375
"(7, -5)",11386213715093379092058384616296309243639692301000*x+25460347873289218848389578240330720024960633320000
"(7, -3)",-669572625215222326168868776491293228212336460250*x-1497209905854226875561847363353266033461557289050
"(7, -1)",-41642077542352598702230844585718259469640155156*x-93114516109017788490620313901291282791723807642
"(7, 1)",89184912027270821018599511484027658599096723*x+199423525860314775188688904185493815730714127
"(7, 3)",569855219349405959733879442336773545426100*x+1274235007776481508431079849461147380175800
"(7, 5)",-40297540027591224124253433664392091500*x-90107667371327252189282840722698247500
"(7, 7)",-308664379105337448647741350214982250
"(7, 9)",-2847677800370865960581510357016466071*x+6367590353509728315737521787916471573
"(7, 11)",59352101277775844340918156462878059648*x-132715333064561867406193907137078240608
"(7, 13)",-603124615018345334108696469198850127550*x+1348627638084410737364740738486411138850
"(7, 15)",371050104258483237232883549908812430500*x-829693256180352716327684572321461626250
"(8, -16)",14255435564340256217286741418638817861970841604860376252416*x+31876122970732889872332190277521075879284778986853518802944
"(8, -14)",-12401891004205003656497365598338371712432854881510728850224*x-27731471334945518359352947939861557109670496693173585389968
"(8, -12)",614830555305944741775095271875106178603962654770755584000*x+1374802916308036451394266457011228281868084862135030988800
"(8, -10)",-5524133184492892850494552376300427133818140831079073500*x-12352337317288495534284661855163029633953586015029562500
"(8, -8)",2331260590309764803842727633716389598618625803445862400*x+5212857153198921610955998151735948501506692459213619200
"(8, -6)",25336283375502817386173413560042693531196570017362892*x+56653651924822129606880559598557535803391696121401428
"(8, -4)",-2875793645306523953287445646521634865801632491520000*x-6430470080167306594052680348155414389178755799040000
"(8, -2)",23985567763713633889572571102782378122550775061000*x+53633359998591298969461934207597384760426377793400
"(8, 0)",-9182660875235288160801873973041203540656128000*x-20533053931353819787367658231207463999242240000
"(8, 2)",-4332661820990649031481731117368099683372641800*x-9688126355252333962431544534335722136171457400
"(8, 4)",-24278500490372912096247734368569060055040000*x-54288377582053819975301629436619198965760000
"(8, 6)",-36181451926022042011582356416421596200764*x-80903359476896369757215573196153458929188
"(8, 8)",76053519997677675159409116014496972800
"(8, 10)",40297540027591224124253433664392091500*x-90107667371327252189282840722698247500
"(8, 12)",-4485067071578459885816611239475122585600*x+10028914855624363743699321635417074483200
"(8, 14)",90469337426454844718975492103462761048592*x-202295588364918913601251886156678421328592
"(8, 16)",-103990577710617084352047436701199994191872*x+232530000780414254492124962348542067736576
"(9, -19)",-17676296461635574168960406586542428970342065591689087712164516*x-39525400478656147285420146898546683511300180552858808586176808
"(9, -17)",-4712632798623370990922492459007890154124983283140320938169175*x-10537767290716934872304432134255966060494150854407435076441475
"(9, -15)",17546418468644070072070867824113464689576396064381440225000*x+39234984457545902858613687347532099908205911504969498062500
"(9, -13)",78117984717565666189458426731497027242298104804353234158050*x+174677124093766539427008215552748298838046049169732412336450
"(9, -11)",-4959869761049296148283712211135186307633208173134526381000*x-11090605945251864837670520855525799289123607532068205876192
"(9, -9)",(-596892120152847861734206756108952789296456159248420670971*x-1334691355895739980497003257822398327457649048975316600943)/2
"(9, -7)",-9017089720853328238502164471928597527361223982326293400*x-20162825575042644922064073884190152703952799331224753550
"(9, -5)",-61635688183351558953056541493290057421738298546737500*x-137821588617954607393085149009991952274551083003437500
"(9, -3)",-21580376146794836912144781684522893160887492089895400*x-48255188044248235650985422189797723908015418009475600
"(9, -1)",-839009863940235792930578204854537614636058448132955*x-1876083089563216783251371639878642621041549672384327
"(9, 1)",10204036860150526114796434894090317762614069595804*x+22816920064210063958172402493036005237317997775122
"(9, 3)",44480965004636402683144666780642724269600383300*x+99462461454452220493989392244960186795752420100
"(9, 5)",-53257601605752090086611764190220924498175000*x-119087619519825987099220242493889088513000000
"(9, 7)",-1644530557635540287882362428234327367778925*x-3677576285583268792864943769958693666566825
"(9, 9)",-9736308970604806739926195099407216203181
"(9, 11)",36181451926022042011582356416421596200764*x-80903359476896369757215573196153458929188
"(9, 13)",-569855219349405959733879442336773545426100*x+1274235007776481508431079849461147380175800
"(9, 15)",-127997645885398355079732915271102821618750*x+286211437159696982436129656527992583406250
"(9, 17)",34377722452251638560324562986068746251182900*x-76870924314855431998169817987536122761201150
"(9, 19)",128945080108795026508165007061571362923001210*x-288329964487421657272805146040150295146560422
"(10, -22)",-2746598445346544611709040842960601181319672150887064429971865600*x-6141580830690114677002143378879851098850852207012563483157913600
"(10, -20)",(-1901873924951316044580611457468733497641582292311232989585390625*x-4252719380825476082852951467182680612155334267849996777272421875)/2
"(10, -18)",-298291070095016924262203157697784241239247898848674003412172800*x-666999109813612494980102883588714280393422118406771363931340800
"(10, -16)",12225816941358396362583903372641832497671194028256248390801213*x+27337757761345934323922792423462619710085537206843145510773823
"(10, -14)",-3328191911785428130591713007616738797892678711425995632640000*x-7442063356917200763233809955311430968556266895638565642240000
"(10, -12)",-225447705037008725264306195558345575964779374205677769775175*x-504116393834073250489697469136950775538223128567042252351925
"(10, -10)",33076221705650129463566986680718854353218473087304000000000*x+73960680172687729264015725781167683468448164494632000000000
"(10, -8)",1118631603807702905731739700882343232447458904907813690825*x+2501336307893636283097351772651143680673398007981608509075
"(10, -6)",163918423003328317593428656723271931863286590465372160000*x+366532736600007354256655495227725767364015858058536960000
"(10, -4)",(-7131255269620691899586994088017527963115514388075044259*x-15945971547775457999469557526477361476380847246484940409)/2
"(10, -2)",431372123086332416657124545247055540710773363018956800*x+964577390819445665709948772821640931118278553930956800
"(10, 0)",1227988252789474332785032701469961457652597910156250*x+2745865208808460394320821039694331164435887011718750
"(10, 2)",283000214947329351022525718504719489212438098739200*x+632807718269294567807786370749505484930045948723200
"(10, 4)",(8123034471338490666737632667742349791198452998329*x+18163657261254286834300730745731326999962400177259)/2
"(10, 6)",28922949544217932168283236569194950500541440000*x+64673686638235225015054377289837704356951040000
"(10, 8)",179164712376403027216718866556941687752305425*x+400660969548281789807754752430136205930409675
"(10, 10)",1079057012928798585710681751400688000000000
"(10, 12)",1644530557635540287882362428234327367778925*x-3677576285583268792864943769958693666566825
"(10, 14)",24278500490372912096247734368569060055040000*x-54288377582053819975301629436619198965760000
"(10, 16)",-89184912027270821018599511484027658599096723*x+199423525860314775188688904185493815730714127
"(10, 18)",2175974249618417098186736968507860383300812800*x-4865626339435876452295449147794327439217459200
"(10, 20)",(13873793423975208062574560393823812563158671875*x-31022745201798125794047345975120618121181484375)/2
"(10, 22)",20035891417105814194702612581719183741949849600*x-44801615198453193229929038305861141111947366400
"(11, -23)",95685073564150622184525061033467632132130516596582641224397223450*x+213958328921508875338958562483787697402546504813381810381567338650
"(11, -21)",-45323550045005531014414268356672960352312531518446564258596922384*x-101346538882246020006391374800094012964812448652137914496132966602
"(11, -19)",-5708459037723575762183026645811928223908852530551613303720675145*x-12764502455122951749178903085119763349737110201809515182309351853
"(11, -17)",-593938246819653241501127789325084223358936132553072573977784400*x-1328086294325792923628710610940906292696351478120991049477725600
"(11, -15)",-7300760618181671208400232990836693295800445787667455636262500*x-16324997029707603890363722922837384047557551783895774735562500
"(11, -13)",24561718917841150251210795143784528607855706598759903044852100*x+54921673144535384090813250598026117380979632368393389869414950
"(11, -11)",-1919713235034898016709232531604867101619756931750013059551928*x-4292609290844062827555090120621610444636515545408203588228824
"(11, -9)",5674431866794069383096321684375071373057895240834451506620*x+12688415387842570781057378561244041943752127064482619832712
"(11, -7)",-11753188005714722479745265599843851912006806380657608005450*x-26280927333113306199616522013174232242337038892134794227050
"(11, -5)",73426526993203974655525709080471987403612292210703950000*x+164186705708527325990654153199193450693406187837177937500
"(11, -3)",-62223174778432497320371023081115006497423387339440074125*x-139135248580425479146228464372233940150917692275177008625
"(11, -1)",-1537160463283882600036673526697235181144215847630209544*x-3437195288227831101215035443454422796993127045304567872
"(11, 1)",68395979764861930759157171199262650671130794360548940*x+152938060141931309011913893147647620101702051532171052
"(11, 3)",3654438020704751585444668564141653487819330928137500*x+8171571833853578532729808354179712287331256266281750
"(11, 5)",3035649708233695329992577231651312383507365856250*x+6787919105883364774565098519174339653856799531250
"(11, 7)",-660285390025810287991729061195146499115544995100*x-1476443400075988020169778727741220521139492798200
"(11, 9)",-4909669907394182319720538139279603634244191534*x-10978170541066429135989166911581947220060745582
"(11, 11)",-62627468382302698224145203154407431010502416
"(11, 13)",-179164712376403027216718866556941687752305425*x+400660969548281789807754752430136205930409675
"(11, 15)",53257601605752090086611764190220924498175000*x-119087619519825987099220242493889088513000000
"(11, 17)",4332661820990649031481731117368099683372641800*x-9688126355252333962431544534335722136171457400
"(11, 19)",41642077542352598702230844585718259469640155156*x-93114516109017788490620313901291282791723807642
"(11, 21)",330626316663816282394077219968896396001945926485*x-739302919210664690102877022890761873982792986943
"(11, 23)",-698003651541139092333378790580337774410125154100*x+1560783613389062855565755075167613077529974390600
"(12, -26)",8575828480473464857466421155125017845278798591698537661042251771714*x+19176135445717395278728511836715721354093070285440441887823203557758
"(12, -24)",947468094368053450587363895313771311373994785664729722851077120000*x+2118603065519153163924343989516321492791386307760310780242478080000
"(12, -22)",-91787637154623025669980186074152067435992335567364528962562804650*x-205243396171822460515116095537844683275056961416450770894173612950
"(12, -20)",-1258795107191141397892580113768545631734094899096812060147712000*x-2814751429423526522371027463640988782760033435751572549140480000
"(12, -18)",6097624846604587825708445644259793826754475777143362402551274500*x+13634703658299586089252253754222768567032546002441747218604675900
"(12, -16)",3964871334320313582899715054639290861751447608042081418132480000*x+8865721825580516103801572478237156146589458498013632457692160000
"(12, -14)",-673031100128646785138493170787973892966706174134822350524747582*x-1504943290859121665799412631277810424687784184170510494172520258
"(12, -12)",-4917562809887880891244791942422041339019866502930522072678400*x-10996004726534176645129605931335306966099963238170710192947200
"(12, -10)",718451001377120921312554963626540450292706881929195070116000*x+1606505277582037400466879040873145034769969762097749328460000
"(12, -8)",1576478619437517609876152504134022180113287803940880210944000*x+3525113358137310650421873707645797260818531927295104141107200
"(12, -6)",-28520883736174802114055951422292132392326404625792890547500*x-63774634812455035305376565602058558353857739694671542532500
"(12, -4)",1548194690185626310113904302455603996861252780250196082688*x+3461868569659286931924437387116295575010657726711759634432
"(12, -2)",547095976656697638367343480812363792877913065293794236550*x+1223343794021014043763379064563134650169037466678887078650
"(12, 0)",-610313038940098532787918554562327987874331592960000000*x-1364701442624536538748634458985845446798076076800000000
"(12, 2)",-1265827633568274789759311718229860170692430851308573750*x-2830476636456339261103494503092199774746629131315104650
"(12, 4)",-3191102572358950545602395878258717905335875299966976*x-7135522274918547559713299017455687687918371022569472
"(12, 6)",-240783719271617894153272768156623286926490950532500*x-538408765097010407927970638007939697361097088867500
"(12, 8)",-13578178569179936731991207425391733646078286438400*x-30361678861310284875930059618154990231845310259200
"(12, 10)",7983456321267643008620266797764055691319556000*x+17874989305092968923950815897390825634168300000
"(12, 12)",-160427351217715743168107597529671810206924800
"(12, 14)",4909669907394182319720538139279603634244191534*x-10978170541066429135989166911581947220060745582
"(12, 16)",-28922949544217932168283236569194950500541440000*x+64673686638235225015054377289837704356951040000
"(12, 18)",-44480965004636402683144666780642724269600383300*x+99462461454452220493989392244960186795752420100
"(12, 20)",9182660875235288160801873973041203540656128000*x-20533053931353819787367658231207463999242240000
"(12, 22)",669572625215222326168868776491293228212336460250*x-1497209905854226875561847363353266033461557289050
"(12, 24)",-6911592006502905005048057795008795034631767040000*x+15454789559284664109895143755128802402869048320000
"(12, 26)",-62558969454601295836665003550001308538610031056882*x+139886108302821441274455987405949171480223451266802
"(13, -29)",(157928677948851033162880158208040021697730983590298819190379481318411*x+353139259490302965205239764825665371911304550066176913583836329549647)/2
"(13, -27)",-113989522044511892780265798509918652168562701203453672025919416982500*x-254888320014239400658063257889274672224504268802201295915049150752350
"(13, -25)",1560866758419297596241112938164173534250653812094578556077204211500*x+3490204175645291617113379975971284833234363010813556069652606207500
"(13, -23)",3288035543770492709712607421455859081185054662990644203545815941200*x+7352270988306306871903945139810878827643110875487469078120488797600
"(13, -21)",1398809326368203525170596442337879545388200348945084139878694772057*x+3127832741319992102212369334538603182830953621663598884314584436493
"(13, -19)",556768685402333657602717332957019404729420888055121538044312026664*x+1244972628302812905082085878472630619608980366125963300809032608393
"(13, -17)",-90514518344175170842604975415758957612114370727473728384535930750*x-202396615968227387643510982338555028094126311887039620865785247550
"(13, -15)",1095121902487697833963063842896183229268932352250841729695184000*x+2448767017611388406152433250631838677731454935036846222196440000
"(13, -13)",2815317856416974382761902086254146141572660016161338550283275175*x+6295242105217347233277195282637553213977252830616354668731863275
"(13, -11)",373064244222465621299103531948336853935877215362540984159442612*x+834197010056016305131398461317772301247836550199631396354518258
"(13, -9)",21371798640758975938044167464271499080617937446583693571567456*x+47788794562174677824757017927621951888543023922396425794550752
"(13, -7)",-1665680876553089717919148409147917660305102192900668425733000*x-3724575668794144198254005516108265665063861817484447584096000
"(13, -5)",-34470813845362031119716717241340250310296914763408451269750*x-77079082997970425345225682197211560729669535721244062908750
"(13, -3)",-21419260253937182665595759099007840120242603059557546182400*x-47894921955562947907469588961779545320217305411338834917200
"(13, -1)",-1383182651664220911283458644715333286493961127745074175378*x-3092890434419610574044577180621055775409232384989221204402
"(13, 1)",-3561270301429474047938812951240470069036365509689962124*x-7963242480247515569376704191723814026521936583489370008
"(13, 3)",8979220493322977306006146042036164660994353101421921000*x+20078147408028674988676532422154340294468318607383280200
"(13, 5)",29195234887786951399250096889389607937134066720819000*x+65282529827040514729160706993873810215286001384942500
"(13, 7)",9498479507576348375519348316626439712320399840331500*x+21239245807489360724886394306652825653204983330663500
"(13, 9)",-43916592009372077385290075597898634984151577831168*x-98199787853506195350477267212498298534671962955712
"(13, 11)",79492227391969677633476929754445513852613183921*x+189920627913804119988125378184284166117339110757
"(13, 13)",91845087495935849648904771856383034234918678850
"(13, 15)",-7983456321267643008620266797764055691319556000*x+17874989305092968923950815897390825634168300000
"(13, 17)",660285390025810287991729061195146499115544995100*x-1476443400075988020169778727741220521139492798200
"(13, 19)",(-8123034471338490666737632667742349791198452998329*x+18163657261254286834300730745731326999962400177259)/2
"(13, 21)",-10204036860150526114796434894090317762614069595804*x+22816920064210063958172402493036005237317997775122
"(13, 23)",-23985567763713633889572571102782378122550775061000*x+53633359998591298969461934207597384760426377793400
"(13, 25)",-11386213715093379092058384616296309243639692301000*x+25460347873289218848389578240330720024960633320000
"(13, 27)",831530976157480222680929183655170876297808840479325*x-1859359788084882649076225704973848878897630172529775
"(13, 29)",-576029205942227394151296517103284386226337018662564*x+1288040461512046250074554441303780730033969848412809
"(14, -30)",242532377829946381666357133034657845715920654126982574246315084800000*x+542318883572423039156184988036455050365696194971328848022414720000000
"(14, -28)",-1297013559846363485154465641192436597358025168185565375067955923464625*x-2900210487555460442370211128444579722850935955017951062244254914387875
"(14, -26)",-394225052976321808348036503601788035379921471869069228576670617600000*x-881514016888511354437701979555542136313888048374076503634405007360000
"(14, -24)",-115014757265117062956596501866430658110525609074055404310727039530061*x-257180815660439554249646037221641708566757284086143264940995187631903
"(14, -22)",38794777543237489227427244801048773923090830010831537315889751654400*x+86747759758661312657928625248724247864641657083928385219599961292800
"(14, -20)",416138748067087903945473611897564406620684898725293041202662768750*x+930514528749667768217068967028706075849099055379331804075376906250
"(14, -18)",-1861348306706886275502737179773722078409415002314517910910145331200*x-4162101343600725431153234351721402748654501514203980321733596364800
"(14, -16)",11270170024378274332426915283674024793416817975534210445724541775*x+25200866292490283424224665092423724204203143443644340130396659813
"(14, -14)",45113724414525519484144855943359474858147042921088518397363200000*x+100877354509070962396808707100270246481429523971387539171865600000
"(14, -12)",10391764050521660541679931221796591867505957385152285055969470600*x+23236690823104991882080953573304383104047839223937896400990962200
"(14, -10)",-54291269549612953429815793250192762188908937188312048230400000*x-121398969297698955034673085143383931131431739197605142528000000
"(14, -8)",198026821949535694321909154280371195299593290642734401057345275*x+442801435247409241314713718776730442512856333772092187378931225
"(14, -6)",3192628277336306923105711050394039959343895828741956761600000*x+7138933855012033487677249174749203848431768866709452421120000
"(14, -4)",90019119105798855590359846018001542783061764629051618670659*x+201288869595216324196975768254026400031743175713948932246377
"(14, -2)",198556018095889751469078256630603364043188202304626808422400*x+443984753804087840572980722179498675334434385749733328076800
"(14, 0)",835473291355867682376418056894728934129710969788366218750*x+1868175072857207605511771836360434078763738766685676406250
"(14, 2)",-425247779445124276671266253651946717212737061705856819200*x-950882942120129204875854726572331680604210813181731020800
"(14, 4)",-24024771567952907349814178135689982582466834140344380385*x-53721022369843972132378207548159292410454015912741414707
"(14, 6)",-2717159899865684908208385035409804376146330624061440000*x-6075754241732038930097581049854150842704428982968320000
"(14, 8)",-118422641250807575994938458184431029754286308392770925*x-264801069451579004975800984234791851123007175344926975
"(14, 10)",192145050371235740602167971922606275649762201600000*x+429647623007352960204325570808053190728641024000000
"(14, 12)",-18583564473923009275606912772982227967835101595800*x-41215099317587841705834931969012299802906846528200
"(14, 14)",1471760624355570872766061161217284441925990400000
"(14, 16)",-79492227391969677633476929754445513852613183921*x+189920627913804119988125378184284166117339110757
"(14, 18)",13578178569179936731991207425391733646078286438400*x-30361678861310284875930059618154990231845310259200
"(14, 20)",-3035649708233695329992577231651312383507365856250*x+6787919105883364774565098519174339653856799531250
"(14, 22)",-283000214947329351022525718504719489212438098739200*x+632807718269294567807786370749505484930045948723200
"(14, 24)",839009863940235792930578204854537614636058448132955*x-1876083089563216783251371639878642621041549672384327
"(14, 26)",2875793645306523953287445646521634865801632491520000*x-6430470080167306594052680348155414389178755799040000
"(14, 28)",9461456914323999598581964050586795478674516729629875*x-21156460826613866783748453265338596774756433215298375
"(14, 30)",-1769225638194873277311068398653157152683397427200000*x+3956108794539184965561062963104447073478636288000000
"(15, -33)",-27239581343931120675094010423312031277330326237655721254735463165485800*x-60909555563665064325496663852417122345096002140842137761211752938781050
"(15, -31)",53513515559326947633407333546083947224419163398748026966555111671444513*x+119659858505647734971401680549782779797272386522190831433594628017084813
"(15, -29)",3473196928518173166463311479497119203691659368298977841437555204952712*x+7766304431410113118542673371490037248629491016127338600387917143476672
"(15, -27)",-2958322459472696061304017793844595264972095195359653228796010392062900*x-6615010118745315052436241789066194907929655077811908306589877335486900
"(15, -25)",168337437840965783929381513903943032652429721383658812932504921875000*x+376413954170544925150025665179065679949375972693572329029020117187500
"(15, -23)",500964672712905551448688656245510014355344455686707448060132711838375*x+1120191062511990799906842776747701091610445678744394970976765031803875
"(15, -21)",-33007575047197771550070650754286723490985275552195660002352172645000*x-73807181577960046460916624712083537721559892938460079873969653570000
"(15, -19)",-6020237014852347483662354342885473739366019988185709607737970425248*x-13461659205870260021458245926298020409722912488616681236721554790688
"(15, -17)",-2537116017384998582500414780782050392537282839549806511063197836800*x-5673163881676395054603270305862835408086716319050882954558393626800
