"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)","(-154420838717429479622359579082303494513426947782123588377474529422424167564225695125756032925400136099726961017128549740254747500, -69059098502940752055778150594203196886098411812028515530422013313632046031415043394052434978015335482961899729102846891091772500)"
"(1, 1)","(-154420838717429479622359579082303494513426947782123588377474529422424167564225695125756032925400136099726961017128549740254747500, 69059098502940752055778150594203196886098411812028515530422013313632046031415043394052434978015335482961899729102846891091772500)"
"(2, -4)","(21168613201222230204111150565686462372382258098423807373427455162170253022252804469932388799109706453282502389861493279312036099486013663420490000, 9466891621466468197035440383241817842355799855968822000546430010846976576531059924487167519950465800900091630010111761507622855428736979870045000)"
"(2, -2)","(3878690074458910841592532713793783962227206150076443940933984157200148722581320060655637939247891952725971080176848520851658244289415062344609, 1734602934028769119299624649333340204545837433809344278710958789240057592316530338730543621978894878577443733363802467382257899502336583254319)"
"(2, 0)",347166042874538383927567696526571190120490446422031574195491263226364768775272252517565007732258274625551236635329169976837455224394609
"(2, 2)","(3878690074458910841592532713793783962227206150076443940933984157200148722581320060655637939247891952725971080176848520851658244289415062344609, -1734602934028769119299624649333340204545837433809344278710958789240057592316530338730543621978894878577443733363802467382257899502336583254319)"
"(2, 4)","(21168613201222230204111150565686462372382258098423807373427455162170253022252804469932388799109706453282502389861493279312036099486013663420490000, -9466891621466468197035440383241817842355799855968822000546430010846976576531059924487167519950465800900091630010111761507622855428736979870045000)"
"(3, -5)","(-47590880474738359689432970007688000714793985610006808392402977324586181077116004736159345642377150208429753090167822101707585021444985634147703587518427, -21283288770116487051872697030582657052321072282965911803900668037633236461312271847940143272736042685558568322864753795911671049816247989352765812312919)"
"(3, -3)","(150891436401977480560524848861378755971023752927479327759808434719165970907756612146412366532260498525134143803061826329398813122481069410159631887633, 67480701803481586773840313807202893248800397882235001882706849606208877468897872128802700364451691911391692965719533652659003081293284715902886195903)"
"(3, -1)","(13262438329452394284511651148376543092560504260819785333357202235085397056285010526411407669950194099795761629000265242140580544110557052062152570, 5931267665252409487373070789897227315363990993136943219869052401856967745200939202592792881431101004278923097533220916589960182570370832196945990)"
"(3, 1)","(13262438329452394284511651148376543092560504260819785333357202235085397056285010526411407669950194099795761629000265242140580544110557052062152570, -5931267665252409487373070789897227315363990993136943219869052401856967745200939202592792881431101004278923097533220916589960182570370832196945990)"
"(3, 3)","(150891436401977480560524848861378755971023752927479327759808434719165970907756612146412366532260498525134143803061826329398813122481069410159631887633, -67480701803481586773840313807202893248800397882235001882706849606208877468897872128802700364451691911391692965719533652659003081293284715902886195903)"
"(3, 5)","(-47590880474738359689432970007688000714793985610006808392402977324586181077116004736159345642377150208429753090167822101707585021444985634147703587518427, 21283288770116487051872697030582657052321072282965911803900668037633236461312271847940143272736042685558568322864753795911671049816247989352765812312919)"
"(4, -8)","(-531706022293305778941489224442710875840931633395424754907161979219394215973088155789873313448650025390547890784299331336288083873991874720871792043900393713036, -237786161978770069044201126677477447513573772749693294177156154253665917912290879939923389986025757187684587968974695044990337337739827067144874086304074017238)"
"(4, -6)","(19148073124528331582588079715836496308721958937433379729467584897725300226571302433677842209513165599501787985067498875662590583974984975683824669474763467370, 8563278628916429026958321629896964623731483742845097093713257150852688751040402831779634665325273784007649304416793071154471012121190903389293547505110902550)"
"(4, -4)","(89377661211061999625693777499632445847515018623125819211323928337039150382064875719572592612460558866121693407604974052490558985005813576890122087838932440, 39970905227576162520567365996115316176181386058613919780454462591987557141143869344086212921135969030674567542188048413773723412298839024396568661975536040)"
"(4, -2)","(126064877506966209855877388594695160238531060700670324074437126226252252789643735268998439145389299846728850848221394036559608829553397363906144674599486, 56377927854335612396412507098781677116178904792963938624777686994050149977084082283120204678176769157362965620055054127911364104671922596018799194640502)"
"(4, 0)",24521049388032503068207178228889492821966945703050602816433883883783850968085634056435514531953190540209850848673729021720950844051249542317917648220
"(4, 2)","(126064877506966209855877388594695160238531060700670324074437126226252252789643735268998439145389299846728850848221394036559608829553397363906144674599486, -56377927854335612396412507098781677116178904792963938624777686994050149977084082283120204678176769157362965620055054127911364104671922596018799194640502)"
"(4, 4)","(89377661211061999625693777499632445847515018623125819211323928337039150382064875719572592612460558866121693407604974052490558985005813576890122087838932440, -39970905227576162520567365996115316176181386058613919780454462591987557141143869344086212921135969030674567542188048413773723412298839024396568661975536040)"
"(4, 6)","(19148073124528331582588079715836496308721958937433379729467584897725300226571302433677842209513165599501787985067498875662590583974984975683824669474763467370, -8563278628916429026958321629896964623731483742845097093713257150852688751040402831779634665325273784007649304416793071154471012121190903389293547505110902550)"
