numerator,1
denominator,9504000
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",1500647742359353153557283218479542464963428280444201022508825563350415408424525929787769911311436*x+3355550362197104292674477972724874672785603144568981862216360078206103447344600968736602477578259
"(1, 1)",-1500647742359353153557283218479542464963428280444201022508825563350415408424525929787769911311436*x+3355550362197104292674477972724874672785603144568981862216360078206103447344600968736602477578259
"(2, -4)",55839806695926896125151203253564939028733068676857683012784021835046679590824616221402109538723151529680413364560659428*x+124861603622540468794560236297945361455953288893587621717528017141837120495326785396816306331249610783896065893100227539
"(2, -2)",-126841020684643863067224972436355584957962002899547748774032501744189480167837749057350882521469883079403289032600*x-283625144586320593074417877462866612954286167486550474510232955196984042238720349818709799767404440916081726898150
"(2, 0)",-750290670455448234848489648995999226913041219109247463103899513149725238216114377669286932076980791834190
"(2, 2)",126841020684643863067224972436355584957962002899547748774032501744189480167837749057350882521469883079403289032600*x-283625144586320593074417877462866612954286167486550474510232955196984042238720349818709799767404440916081726898150
"(2, 4)",-55839806695926896125151203253564939028733068676857683012784021835046679590824616221402109538723151529680413364560659428*x+124861603622540468794560236297945361455953288893587621717528017141837120495326785396816306331249610783896065893100227539
"(3, -5)",-6242803934040411170448264681681460278166986336998379527700061936169260559423952428676086033945726598442208600168087399609931120*x-13959333966717472725088505529382713489911268139592260889260029057182115258988062730942040218933312242430648932851371474305016590
"(3, -3)",460437024292939833816635951401760293587174702922862710668765210282362156686579625852191624775092294533092051297413300687800*x+1029568485676735510172048399306200222761486119474715545140433689730800112292177151509279696429197489365034297447837415091950
"(3, -1)",-831465137481847861837727745347088516879617612506878527340778583310197595565035044687760348510683401385382181264066344*x-1859211909808491205906263009148263342520669381615353348525717966722991237213857247944153786471899965529347018775853292
"(3, 1)",831465137481847861837727745347088516879617612506878527340778583310197595565035044687760348510683401385382181264066344*x-1859211909808491205906263009148263342520669381615353348525717966722991237213857247944153786471899965529347018775853292
"(3, 3)",-460437024292939833816635951401760293587174702922862710668765210282362156686579625852191624775092294533092051297413300687800*x+1029568485676735510172048399306200222761486119474715545140433689730800112292177151509279696429197489365034297447837415091950
"(3, 5)",6242803934040411170448264681681460278166986336998379527700061936169260559423952428676086033945726598442208600168087399609931120*x-13959333966717472725088505529382713489911268139592260889260029057182115258988062730942040218933312242430648932851371474305016590
"(4, -8)",-4719813901834730718134713469159537630349486260201281500050506874683235280156048145627246504178489752050237476565131241242564307518489800*x-10553824725650977262345023438259225770994753191810011379267282597809520272488337086771118663040985873847650785906240930653603127368546150
"(4, -6)",5479242510922422893897695882864896068260761705151834376952263093757119264609001175135766122766152497898613810410788847655486233082568*x+12251958719629171515382462655546004471365509504781329346027765558559003460299162001129062156264946542484518832400676195445805848980948
"(4, -4)",-8724237812276892472543873341392406631064399690376956892704938407717032356886541455277161650230283759631120637949640543982147635424*x-19507988800125180882528056976957177795335076616374486552731225271811009775456594089052260053482036578512913139961520968435562662456
"(4, -2)",16183318423511941158580851467339357217573539169475332536723736793713928244057651949454603593177716277379011207281777327556200*x+36186999943091438815252541476067197872437626014645507056431748305434858154481778183964692875720219640558420120742549233669900
"(4, 0)",65443059314547159441611787655667826105280334534787296645474076782541096134451584538718418607134387311429137986793531169500
"(4, 2)",-16183318423511941158580851467339357217573539169475332536723736793713928244057651949454603593177716277379011207281777327556200*x+36186999943091438815252541476067197872437626014645507056431748305434858154481778183964692875720219640558420120742549233669900
"(4, 4)",8724237812276892472543873341392406631064399690376956892704938407717032356886541455277161650230283759631120637949640543982147635424*x-19507988800125180882528056976957177795335076616374486552731225271811009775456594089052260053482036578512913139961520968435562662456
"(4, 6)",-5479242510922422893897695882864896068260761705151834376952263093757119264609001175135766122766152497898613810410788847655486233082568*x+12251958719629171515382462655546004471365509504781329346027765558559003460299162001129062156264946542484518832400676195445805848980948
"(4, 8)",4719813901834730718134713469159537630349486260201281500050506874683235280156048145627246504178489752050237476565131241242564307518489800*x-10553824725650977262345023438259225770994753191810011379267282597809520272488337086771118663040985873847650785906240930653603127368546150
"(5, -11)",2077825410869681040707468834286778938893215163948228931773759726801754754212389152617874803155114309336667657905254024345608737098142620973180*x+4646158864081037226619828914374954299134790662480870543606150218323700475677589060022802721695225478216342476527511455613010721330464120783699
"(5, -9)",-30939202464649869616903235896504238769549469438451360233734754635194123262669178263143217836414581028777212143650423824020844245346990302600*x-69182159880586142574531899758202250280235902003200482497442848679169971760975980471921609473837679868347178785052229372087901998418861504172
"(5, -7)",-1276416689054964519738766873433394982830658618974611429333331624556669811190724417454856986035428587140076784914819075940665571394491253000*x-2854154484342112464973424355254299334020319686376112690049742552644749242657371329862251963499136117750321654179136994529210592256512114100
"(5, -5)",5065152002262537991762499612526022486953951548526038855214469335772911401791695314696999237689054585100478808574015222084365365189826100*x+11326024193428203531603735930292033395915442790359791603104771306965942470711101795230589230003094143246806023739209179844411849540496525
"(5, -3)",-4776028850245897597594147719526211728955135810448675610177776983995861539822924809553884159140207791083515094629506515367188930898000*x-10679525171650733911628201894447997899719863372292933956689963673647854332267324434507607272807659022353952314372186086390154366374150
