numerator,1
denominator,1900800
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-328340024655032016845284615036348045702209739061529408630365988622415041473735749524*x-734190614862608526018824001690315381777754696529886538971789939286680950046225930981
"(1, 1)",-328340024655032016845284615036348045702209739061529408630365988622415041473735749524*x+734190614862608526018824001690315381777754696529886538971789939286680950046225930981
"(2, -4)",12217686396173842935501173167275404264318858360444836052602260171037120152866771366593629711921892566046652*x+27319577309619139287868065855292730953251539991172519795434323641756800500089616051561829023582080370142501
"(2, -2)",11758739408163565712247330993033370654548674418311716249888146879033793738435999171691671589971577320*x+26293340646359378466253521728873898359895541186142932599571775832188935158522550590447370380174942330
"(2, 0)",63204152364000070933754152247384757516134611294490347365287146306390195130959382962279119000*x
"(2, 2)",11758739408163565712247330993033370654548674418311716249888146879033793738435999171691671589971577320*x-26293340646359378466253521728873898359895541186142932599571775832188935158522550590447370380174942330
"(2, 4)",12217686396173842935501173167275404264318858360444836052602260171037120152866771366593629711921892566046652*x-27319577309619139287868065855292730953251539991172519795434323641756800500089616051561829023582080370142501
"(3, -5)",-1175928084507299378849875399947382800893892126061878612201698672868929680203826167545606142841953561499736269359000*x-2629455133609438704153121747100772144222500382375051869510718003679687390106752038837350513803641721792881433560000
"(3, -3)",27773266592759419393619942919190283878463053472169729416827346823406974279030865911071837896879233030778248960*x+62102912058634030249875925801294965200496039490713913236311062428568444056307230988267308795942453299569506240
"(3, -1)",-275493368602937867067135826853568494878878756714941922765192286220395288263569358251440570617708396042744*x-616021994613439543234484527058887731201764183792146910849555425575617952670434367880522967179365631259132
"(3, 1)",-275493368602937867067135826853568494878878756714941922765192286220395288263569358251440570617708396042744*x+616021994613439543234484527058887731201764183792146910849555425575617952670434367880522967179365631259132
"(3, 3)",27773266592759419393619942919190283878463053472169729416827346823406974279030865911071837896879233030778248960*x-62102912058634030249875925801294965200496039490713913236311062428568444056307230988267308795942453299569506240
"(3, 5)",-1175928084507299378849875399947382800893892126061878612201698672868929680203826167545606142841953561499736269359000*x+2629455133609438704153121747100772144222500382375051869510718003679687390106752038837350513803641721792881433560000
"(4, -8)",-437548211352586045289907918457123084489215836237283888703693664929096263871499678787277983896487276407082607797850435346360*x-978387544017827599726120713015930969466060170910537094906482384780039518266229811673641585785695753903826222221643261255930
"(4, -6)",-791005162687528125292889935483789645895741633140586553030755917859907197669097211967497942168769015121936890046448517352*x-1768741314322593128371963639654717300105135123223336767876527503650569679142448566879461624840961182406747486279764655292
"(4, -4)",844883984298917412025671002125944738560105452539750059902762842516658382518757633796488980129040986245445902474057264*x+1889218021993244330812148158068788625761964292630227263627787071428354697541945113934456805625881185173569536030443916
"(4, -2)",195096630382549484461989433359945342681170322858317889322848855668095748361689549320531400175379535633246726800360*x+436249327709524679973501942145011467526784559694743240935004112673616518998559292414716259422534934372284721083620
"(4, 0)",10961860082266838251370685376993302609658590830758316412396415870758089711298780624980411481726671415878730000*x
"(4, 2)",195096630382549484461989433359945342681170322858317889322848855668095748361689549320531400175379535633246726800360*x-436249327709524679973501942145011467526784559694743240935004112673616518998559292414716259422534934372284721083620
"(4, 4)",844883984298917412025671002125944738560105452539750059902762842516658382518757633796488980129040986245445902474057264*x-1889218021993244330812148158068788625761964292630227263627787071428354697541945113934456805625881185173569536030443916
"(4, 6)",-791005162687528125292889935483789645895741633140586553030755917859907197669097211967497942168769015121936890046448517352*x+1768741314322593128371963639654717300105135123223336767876527503650569679142448566879461624840961182406747486279764655292
"(4, 8)",-437548211352586045289907918457123084489215836237283888703693664929096263871499678787277983896487276407082607797850435346360*x+978387544017827599726120713015930969466060170910537094906482384780039518266229811673641585785695753903826222221643261255930
"(5, -11)",-454625844144595975762699762560244736657995783576115310243852534267415367569536695204443262996854005051879534956155617071668091620*x-1016574291835541331630833017444427605013935665140873537786339751175542252721343096581787606436696625947771373725150894617726443941
"(5, -9)",10251238316349716139293254907690730374217964710418675499887539976893833963288418506833646167765174738714931082796437679013743320*x+22922465728908459078060231961068447422753538713668399221353394773690823269668909659255857794191257819087812952856143935707812412
"(5, -7)",-58299906364234845870669672687106365152781803439467802070031524719213067891796524259142766973291926195886931651557699062752200*x-130362553712301729461399324104762763442941255803658144010754024416840438685516331052984713266860106528743297165220217983247580
"(5, -5)",143898030325535242954254136815285716643993692175990496191158204832432207047664129749163561054822458886600880616303281887500*x+321765777636222995045217170725503950886139219066938882750913266090091655780597584048812408004465542002187260936604400471875
"(5, -3)",1024162292969053689209338625323835658280424693644091418079866270343876862057231438355841227157145451878926175594770339200*x+2290096507071163475009671142453807952939851221141242944361016923968996927674126714473868554840200321724279458527965830070
"(5, -1)",-260221526075128633742611989735226264933741663980487727851053858303260062632916187680530675965594369610069704086530800*x-581892739696194074399157186461635067625006986709954185652287856735776222550670322619380207337617624351298204730515672
"(5, 1)",-260221526075128633742611989735226264933741663980487727851053858303260062632916187680530675965594369610069704086530800*x+581892739696194074399157186461635067625006986709954185652287856735776222550670322619380207337617624351298204730515672
"(5, 3)",1024162292969053689209338625323835658280424693644091418079866270343876862057231438355841227157145451878926175594770339200*x-2290096507071163475009671142453807952939851221141242944361016923968996927674126714473868554840200321724279458527965830070
"(5, 5)",143898030325535242954254136815285716643993692175990496191158204832432207047664129749163561054822458886600880616303281887500*x-321765777636222995045217170725503950886139219066938882750913266090091655780597584048812408004465542002187260936604400471875
"(5, 7)",-58299906364234845870669672687106365152781803439467802070031524719213067891796524259142766973291926195886931651557699062752200*x+130362553712301729461399324104762763442941255803658144010754024416840438685516331052984713266860106528743297165220217983247580
"(5, 9)",10251238316349716139293254907690730374217964710418675499887539976893833963288418506833646167765174738714931082796437679013743320*x-22922465728908459078060231961068447422753538713668399221353394773690823269668909659255857794191257819087812952856143935707812412
