numerator,1
denominator,1900800
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",181612276347323043982282837928212773338677852285753628*x+406097395461091532782774572263806490824523237621537607
"(1, 1)",181612276347323043982282837928212773338677852285753628*x-406097395461091532782774572263806490824523237621537607
"(2, -4)",-6757878027322757529222987256825173237628687039884684065843927350430018690644*x-15111074652745866962077029921956045002933691036457070675012986601442111959047
"(2, -2)",-1593498766174631712231420772640110842366664540970964261676197806968760*x-3563171563228519026064362720021025897151525555418240648982281541406190
"(2, 0)",-38170520164633976793381868718989882216229354569875261720424200*x
"(2, 2)",-1593498766174631712231420772640110842366664540970964261676197806968760*x+3563171563228519026064362720021025897151525555418240648982281541406190
"(2, 4)",-6757878027322757529222987256825173237628687039884684065843927350430018690644*x+15111074652745866962077029921956045002933691036457070675012986601442111959047
"(3, -5)",710171483723771938452003072263439675265085175548844928243869324316518626672632456200*x+1587991713288239535472495417909741283795821148519896342811570248266732217176452808000
"(3, -3)",-11566393977058312332544758059168706216574801426916937200627714690145892233806880*x-25863243187246529402811767273585183755091711016822038371192236452248430267283720
"(3, -1)",117890023792920926452298884261259398235972627931035426099106104626841171208*x+263610123125551118667123286564355202662070332081652983513463515015444601564
"(3, 1)",117890023792920926452298884261259398235972627931035426099106104626841171208*x-263610123125551118667123286564355202662070332081652983513463515015444601564
"(3, 3)",-11566393977058312332544758059168706216574801426916937200627714690145892233806880*x+25863243187246529402811767273585183755091711016822038371192236452248430267283720
"(3, 5)",710171483723771938452003072263439675265085175548844928243869324316518626672632456200*x-1587991713288239535472495417909741283795821148519896342811570248266732217176452808000
"(4, -8)",59294836863907839498091858590890310109989658670631669938733263536362063156263152726035805480*x+132587285942458375495782936010697981526056930801906225815644949695987411648348071354882010990
"(4, -6)",133590113171336826183157234417296636828063148848080066855822929512851693107166423792276184*x+298716574172999153414142613620626535729683130793998344477393959222162938790693403989389084
"(4, -4)",-21050960491457177101766003712344389971105878579154132289444903679641596105591300779088*x-47071378650560628937226052931010480301015684299091040383884843301469563457994559837972
"(4, -2)",-70884093444593960075839378144768648372893186919491937908515268244647224147358222680*x-158501651468971721953265328429828475854003927913713267060537649362898876393698750660
"(4, 0)",-2139347700625604187103099595554632885100854186503421909951320218344555187086000*x
"(4, 2)",-70884093444593960075839378144768648372893186919491937908515268244647224147358222680*x+158501651468971721953265328429828475854003927913713267060537649362898876393698750660
"(4, 4)",-21050960491457177101766003712344389971105878579154132289444903679641596105591300779088*x+47071378650560628937226052931010480301015684299091040383884843301469563457994559837972
"(4, 6)",133590113171336826183157234417296636828063148848080066855822929512851693107166423792276184*x-298716574172999153414142613620626535729683130793998344477393959222162938790693403989389084
"(4, 8)",59294836863907839498091858590890310109989658670631669938733263536362063156263152726035805480*x-132587285942458375495782936010697981526056930801906225815644949695987411648348071354882010990
"(5, -11)",251463812638042969638446069292865819216880396491785763506967395250637962705069862084986495383936140*x+562290178939934798934773348188098792277082480413941671442225311607434581320762971174702075484686727
"(5, -9)",-4386743240686686591818684901019722164167644939302258329671477406503805011961193079779745656841960*x-9809056086013152450688825245969851464967653426838620935496340162608151147333593334400314970048924
"(5, -7)",-28392959133128798076522372361861659419143830711021618969003673083652180583526700264979892576200*x-63488586704049493620715389136578729363653926867859989512953431182247757140875394782282391581060
"(5, -5)",-86801965594853030123933580849887845715510068701765489322752497576213870737583685887591462500*x-194095095650689344713925787503445231298512768657886793210216708337202210786522395998757865625
"(5, -3)",-152333842199081444987689021330015878635430766359426737364436024532879722033391779420048800*x-340628826430958532939546910642199564002440767475713002776274819351086510275260867240560810
"(5, -1)",13091393674403806979096620543337812579186170906988640632255427372566280699800216058320*x+29274693094980665271161916050394238738333789840031142531071301606976610815933753628664
"(5, 1)",13091393674403806979096620543337812579186170906988640632255427372566280699800216058320*x-29274693094980665271161916050394238738333789840031142531071301606976610815933753628664
"(5, 3)",-152333842199081444987689021330015878635430766359426737364436024532879722033391779420048800*x+340628826430958532939546910642199564002440767475713002776274819351086510275260867240560810
"(5, 5)",-86801965594853030123933580849887845715510068701765489322752497576213870737583685887591462500*x+194095095650689344713925787503445231298512768657886793210216708337202210786522395998757865625
"(5, 7)",-28392959133128798076522372361861659419143830711021618969003673083652180583526700264979892576200*x+63488586704049493620715389136578729363653926867859989512953431182247757140875394782282391581060
"(5, 9)",-4386743240686686591818684901019722164167644939302258329671477406503805011961193079779745656841960*x+9809056086013152450688825245969851464967653426838620935496340162608151147333593334400314970048924
"(5, 11)",251463812638042969638446069292865819216880396491785763506967395250637962705069862084986495383936140*x-562290178939934798934773348188098792277082480413941671442225311607434581320762971174702075484686727
"(6, -12)",430390947600017730789327110161271036763655529226123889615291864576547246277019302648372927489608070240*x+962383415734189613488490718693606831057626923143795428023028583880166989585162037386665064970467386120
"(6, -10)",39803065931545814747901906085985953202079754381374382640199206081903764289423189016564860097773646000*x+89002361135842432704239386213024282851389688829310438859330493451206389873726077805300651417230640000
"(6, -8)",-718644798359830254281430179783165570237421212761357737528702683185129928201222065429447555415932080*x-1606938620809209820352764560832966323286406849506184207226896421471532446141843454041842066630866410
"(6, -6)",-3627791812707612867505751037190816257024101539485163087213121667251493415767311365957193329310400*x-8111989101431407765852013420672568104830753076160605187776872610019679466993189025964723102887600
"(6, -4)",3355772689109385061822801019237361226548406522781450541466444158433147310994632917458895729296*x+7503735849886006143160985003388292129044007535560903485424685510007992708009297841250105283256
"(6, -2)",21460212741595513528170301323018862422447055755069493103061666728481212459164023331511822640*x+47986500546051654597842725303753475728549714252062876183900142942393808511877796823068058120
"(6, 0)",1379381627759932390153475178619868500328818465057785663895210209164103792856728899832000*x
"(6, 2)",21460212741595513528170301323018862422447055755069493103061666728481212459164023331511822640*x-47986500546051654597842725303753475728549714252062876183900142942393808511877796823068058120
