numerator,-133957148*x+299537289
denominator,495360
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-80250321908183544*x-179445175002939041
"(1, 1)",1
"(2, -4)",28801066117712377943103099342682608*x+64401141663670836906325975923999361
"(2, -2)",33065908944640768730678667120*x+73937620138035089320268894930
"(2, 0)",26281758084786620961480*x+58767797645787565576800
"(2, 2)",-412034595730
"(2, 4)",80250321908183544*x-179445175002939041
"(3, -5)",-9432269357818886375027674343727877319880*x-21091195466171317427794847790828373274400
"(3, -3)",-26743611617076878993536197029993471040*x-59800533539636976995533983610422877560
"(3, -1)",-3156612122627724191990441739902136*x-7058399284795493372547621895333812
"(3, 1)",-2594285016680445573268501848*x-5800997650267317536646095628
"(3, 3)",333252390534643991160
"(3, 5)",-26281758084786620961480*x+58767797645787565576800
"(4, -8)",-11867035634404620238203454479372257120982063840*x-26535498369941072912488787369442789914413328530
"(4, -6)",931063857648293757883074574888585620139793400*x+2081922077094772323442929193839381176976559308
"(4, -4)",5491982530711852453944339981939981556200864*x+12280446269913028568322768016269894594792396
"(4, -2)",7028977666052454496182604897907675319720*x+15717271873621104114946809045596618482220
"(4, 0)",2005798619206635558275222743286343600*x+4485102061721252375725691998156776000
"(4, 2)",67635606270638205462760884600840*x+151237813232969910314242611087380
"(4, 4)",-68435644868756674021422156
"(4, 6)",2594285016680445573268501848*x-5800997650267317536646095628
"(4, 8)",-33065908944640768730678667120*x+73937620138035089320268894930
"(5, -11)",-10336424699528231547659886419144682396172912561614312*x-23112948272452964133696920313799714294832469008966561
"(5, -9)",1132877629522661679865914056676973434105394158881304*x+2533191389801494144681071477955956893237504210404212
"(5, -7)",-24273766400300130255628236908565429422168599469160*x-54277791741021462793452327029370261664462347287380
"(5, -5)",-245003494167720706269398060738892758088355227000*x-547844467683996760338096022044014935653578968625
"(5, -3)",-424851461833339799402792882476230960059869560*x-949996748999505219532867420202791639257132330
"(5, -1)",-6730405869928529087180652977278121475504*x-15049645041323798674984325512545167093992
"(5, 1)",-161742419638851970625684477693651084016*x-361667045157769907499575211307566189208
"(5, 3)",-78504809456057547332368422355114440*x-175542085210334988491876074432307670
"(5, 5)",3052990796074755953821604148625
"(5, 7)",-67635606270638205462760884600840*x+151237813232969910314242611087380
"(5, 9)",3156612122627724191990441739902136*x-7058399284795493372547621895333812
"(5, 11)",-28801066117712377943103099342682608*x+64401141663670836906325975923999361
"(6, -12)",9598024133673988220959183984791400555370922082237745280*x+21461834412578565986658876215850792231711877194329648760
"(6, -10)",-719861768488376404585224846215017984402339333874631600*x-1609659848743225669744793749539147496309201376340408000
"(6, -8)",28174618117977798656292551685120506026237035737834520*x+63000361351895547407917932352328675096127347190621270
"(6, -6)",-531047283904231027930625591442084367483877602492800*x-1187457826076490497166876346588418825170353438709200
"(6, -4)",-22528011255350655658853973754497093933642359727600*x-50374164564844438930731358811583155249881518588888
"(6, -2)",-105362185392595453789652832040002775959406320720*x-235597008795778801785197263291671437581469817240
"(6, 0)",-136133069270622129214078002829657619028091200*x-304402796874798793668813813504816498180192000
"(6, 2)",-86896933173373877453564729654122199730960*x-194307449610607589109813872220404320291560
"(6, 4)",19510784643762742081371660630017627472*x+43627721479568132169569016001790904408
"(6, 6)",6617385093007052048436185633461200
"(6, 8)",78504809456057547332368422355114440*x-175542085210334988491876074432307670
"(6, 10)",-2005798619206635558275222743286343600*x+4485102061721252375725691998156776000
"(6, 12)",26743611617076878993536197029993471040*x-59800533539636976995533983610422877560
"(7, -15)",3385150451177339020475260060167613591868765721785573908680*x+7569426522896613048050575881735728810104272420245966124000
"(7, -13)",-2522632254753065419591273611916023631105970183197805776200*x-5640777203861421236089139167913344368078673553603815789420
"(7, -11)",58047793594985185811151333529711907805739120273113461808*x+129798812422263770919770288214709980334584056625759233048
"(7, -9)",-7002254857700577165219240804061154620349044118085596304*x-15657517857596607283074015576159091307366252001445796568
"(7, -7)",-352662043068375674779867678948050082425490241021544000*x-788576301384846523221211048889631403219769852302291000
"(7, -5)",19256537172193351780262493548975370187051477365824160*x+43058926128275907635323385380255376323565637342494400
"(7, -3)",-225601878187015439123591801301542705873306405011800*x-504461135477793534837284549396696994557470445340060
"(7, -1)",-2999635164372268032888037555087726617018838033992*x-6707388135235146603338471254595474968969976499472
"(7, 1)",-252784080881886979095559303032433955066792904*x-565242388481666893848484068912823223250451888
"(7, 3)",12169900036563809511546129073488561690288840*x+27212723763945081291248346260259063266186460
"(7, 5)",5018100547851654994483592489023212876960*x+11220573987038278204053251565928464244800
"(7, 7)",4394524964919958612282485326283251000
"(7, 9)",-19510784643762742081371660630017627472*x+43627721479568132169569016001790904408
"(7, 11)",161742419638851970625684477693651084016*x-361667045157769907499575211307566189208
"(7, 13)",-7028977666052454496182604897907675319720*x+15717271873621104114946809045596618482220
"(7, 15)",9432269357818886375027674343727877319880*x-21091195466171317427794847790828373274400
"(8, -16)",-1971019532673344800002534843733619713548194481928236287062848*x-4407333660037466762616500041120851930019118083581472455242316
"(8, -14)",2415477718340266156518423868718868120074447443545322419312*x+5401172376344925617780122550032083530748279509389752872552
"(8, -12)",31186470760924186673515970987763647045388899388079554498000*x+69735068599736073499095087316431173859890800551409523405160
"(8, -10)",-1800928605445996822202201267042647156471556829716860966560*x-4026998784401146857940556132941732608226237164602344968000
"(8, -8)",357615413253987794089499943103571722972620293068335130560*x+799652373837595972733852435748906164309031721042375864840
"(8, -6)",-8218360106895385761714770031907164493585493681325462336*x-18376811862590520693638658785789967833770178682913850352
"(8, -4)",306589279040861702452368106603291771794012452149340400*x+685554469108018290033582391036486849165653408409215400
"(8, -2)",8855484169998141694863230402201285570804567332398000*x+19801464577789148538275182979582567048642242133773880
"(8, 0)",-72402714247633393752264776677896501166576172870880*x-161897390813200809476085096447339648845076130780800
"(8, 2)",-272335725070179280821383941865354545186082712720*x-608961193958724905117540826595395582880625489080
"(8, 4)",152539330712703345496142569631043405327178800*x+341088308895514295477539068832134479833456600
"(8, 6)",-1622107009380449296636359918169416784452288*x-3627039130692631837517756101012883082601488
"(8, 8)",-4456248956398514890939753538345757695240
"(8, 10)",-5018100547851654994483592489023212876960*x+11220573987038278204053251565928464244800
"(8, 12)",86896933173373877453564729654122199730960*x-194307449610607589109813872220404320291560
"(8, 14)",6730405869928529087180652977278121475504*x-15049645041323798674984325512545167093992
"(8, 16)",-5491982530711852453944339981939981556200864*x+12280446269913028568322768016269894594792396
"(9, -19)",-334149833749219193371964891126790560385962732712446983799756952*x-747181742933507531017519456890761408709113438964084991044191628
"(9, -17)",152475089837876274007074370165651754072876708644548215827869480*x+340944665752878736855330134755561243991481416286359417352898730
"(9, -15)",48856844877908021879337007158749630114109267286834261348987200*x+109247226313164750144840581531063481824991302223272517531936000
"(9, -13)",-4367659683884535941465859813994325520802445886244882810216680*x-9766383955751065091644595222754905418559300915225361393829660
"(9, -11)",582150333983430713855228369150232289683975734878305548489280*x+1301727719911157006536004263702674800809514718835427233636368
"(9, -9)",-56138148513697468438789496920879415678495554146308713431816*x-125528716207606323244579340478841598613520770412727749047999
"(9, -7)",39769586433183979414546778174133733923652696475731560240*x+88927498701652776048054671612556267000253278348052324590
"(9, -5)",-13222871343420117292844427741492518724441995903236629600*x-29567239181621348790498858108365377147353259070481000000
"(9, -3)",-7938231938530129468700436027462749082547382384947517760*x-17750426235713301485208174140025219967203122423282221920
"(9, -1)",79855261673669087362422837095671584997168010704570920*x+178561793463357707358547701053732452948543724686378998
"(9, 1)",-1930855417154775543364616039113964735134152109521192*x-4317523967481792682967337189752808197718254391958518
"(9, 3)",-38058430430594580478057520352158615293802044783680*x-85101237559657155486193052139734436767661604728480
"(9, 5)",-64850317777282487040547827876083044122432213600*x-145009718747696386461688243981898359154995512000
"(9, 7)",-31716693374599190639580775903746473045217120*x-70921177976303613865863042773514245051865390
"(9, 9)",699537985379380372999674920253499493849439
"(9, 11)",1622107009380449296636359918169416784452288*x-3627039130692631837517756101012883082601488
"(9, 13)",-12169900036563809511546129073488561690288840*x+27212723763945081291248346260259063266186460
"(9, 15)",136133069270622129214078002829657619028091200*x-304402796874798793668813813504816498180192000
"(9, 17)",424851461833339799402792882476230960059869560*x-949996748999505219532867420202791639257132330
"(9, 19)",-931063857648293757883074574888585620139793400*x+2081922077094772323442929193839381176976559308
"(10, -22)",4258964572363701607461873528249996543486353726501391761102087760*x+9523334297568558972268000231842490019660798396187290706723384530
"(10, -20)",87929389774516393604275848372451916454459330563608965269434614000*x+196616092755893561420898282729985908750398166128705775699449028625
"(10, -18)",37813471592932797384414122642597426989428830268000416902310728080*x+84553492947054991231926573999994860826010000664733615670582025240
"(10, -16)",90721767263611612508601953420889378867337986414926305328696136*x+202860038640350648614201623106877269484500636975220232711218288
"(10, -14)",-54744893482555212764574216718917088707753275132639941665721200*x-122413303247978653090884866046410429555782960756951812647456600
"(10, -12)",11382854955825451146760033823858400402583307551259051670724080*x+25452837459246074533489699117579765546574961877291110963057390
"(10, -10)",-3183335494839917473561272857305546057485022551665827636890000*x-7118154561649986484487695369582640455180433129849024537428750
"(10, -8)",572332233523994754889687669690912897445904202946251073999880*x+1279773779873936285762936392703619736272731784603879844084640
"(10, -6)",-22514136029015645016630791983378660321564414813722632749200*x-50343138615556159864544314407815790998073341668120095353100
"(10, -4)",2349108889487085945544041732089854740681469196719113070176*x+5252767163442165256586644381929449460886042242100060320703
"(10, -2)",-497226005021928721916004336945628937199125625583522080*x-1111831147409684432345014293125440752583485050781665840
"(10, 0)",461173261742411310912876427484191695847577441277690000*x+1031214762661334793826457491611522441551925055025400000
"(10, 2)",31734419504871939699401747920192341724943272477411680*x+70960319239388881933706386228019614066217244868801840
"(10, 4)",-404336568150815269845675186901788003340735943970216*x-904124052203471649483135916461635785925884217347103
"(10, 6)",-1426746831765601473028343507706399929781552130800*x-3190302621961484890283360860682335036227925446900
"(10, 8)",5944660382200086068729266159225161383890150920*x+13285532880519027457838558838418069648005443360
"(10, 10)",39667572903720603584650138757437232440028750
"(10, 12)",31716693374599190639580775903746473045217120*x-70921177976303613865863042773514245051865390
"(10, 14)",-152539330712703345496142569631043405327178800*x+341088308895514295477539068832134479833456600
"(10, 16)",252784080881886979095559303032433955066792904*x-565242388481666893848484068912823223250451888
