"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)","(7446970983659532219, 3330386669186237908)"
"(1, 1)","(7446970983659532219, -3330386669186237908)"
"(2, -4)","(2672646022809187697559787056805391739, 1195243637359159427248958048880970364)"
"(2, -2)","(175587317195209563914299233430740, 78525035447061258687839835957680)"
"(2, 0)",69051025236935054668838025
"(2, 2)","(175587317195209563914299233430740, -78525035447061258687839835957680)"
"(2, 4)","(2672646022809187697559787056805391739, -1195243637359159427248958048880970364)"
"(3, -5)","(24781746615548342285895186565576662755668050, 11082734006708288019679835700470177812921200)"
"(3, -3)","(-3726747617078701557760492879172680718970, -1666652201354666571148518651273100454040)"
"(3, -1)","(366147699868660581517432681440795948, 163747915271531630825450295577657608)"
"(3, 1)","(366147699868660581517432681440795948, -163747915271531630825450295577657608)"
"(3, 3)","(-3726747617078701557760492879172680718970, 1666652201354666571148518651273100454040)"
"(3, 5)","(24781746615548342285895186565576662755668050, -11082734006708288019679835700470177812921200)"
"(4, -8)","(63016593724781895189596356519352907311343797609940, 28181877455819798277855147655445954034465627527440)"
"(4, -6)","(-676481816489578568838768018533624638569896207892, -302531865442647166739102409830084981856158394216)"
"(4, -4)","(1514527894379464069721000082571176669380233584, 677317465130420662077562993397457548713793088)"
"(4, -2)","(47199288095430426547731694314178640009460, 21108165798905674224139538580410592248440)"
"(4, 0)",588167929552844275635760834708607113500
"(4, 2)","(47199288095430426547731694314178640009460, -21108165798905674224139538580410592248440)"
"(4, 4)","(1514527894379464069721000082571176669380233584, -677317465130420662077562993397457548713793088)"
"(4, 6)","(-676481816489578568838768018533624638569896207892, 302531865442647166739102409830084981856158394216)"
"(4, 8)","(63016593724781895189596356519352907311343797609940, -28181877455819798277855147655445954034465627527440)"
"(5, -11)","(959186866567807388471972398382004543872288417024432379, 428961407354127542661553493862650968771083082852923940)"
"(5, -9)","(131407552641527285914503161040071449411929246623819628, 58767244092667413049145021576644885554630652629353640)"
"(5, -7)","(-988968802903926210616766091246748822703023795028940, -442280294183954084978521053576005853034900871019800)"
"(5, -5)","(31926368869633827891119175809650696181153955052125, 14277906213446872014045567861073210609988111255500)"
"(5, -3)","(88473614171193674260403639371694722244267243490, 39566603101302282856608564615506757371994817200)"
"(5, -1)","(-130034223482853400371123507028635431723212032, -58162548792706489115436046660203179709149600)"
"(5, 1)","(-130034223482853400371123507028635431723212032, 58162548792706489115436046660203179709149600)"
"(5, 3)","(88473614171193674260403639371694722244267243490, -39566603101302282856608564615506757371994817200)"
"(5, 5)","(31926368869633827891119175809650696181153955052125, -14277906213446872014045567861073210609988111255500)"
"(5, 7)","(-988968802903926210616766091246748822703023795028940, 442280294183954084978521053576005853034900871019800)"
"(5, 9)","(131407552641527285914503161040071449411929246623819628, -58767244092667413049145021576644885554630652629353640)"
"(5, 11)","(959186866567807388471972398382004543872288417024432379, -428961407354127542661553493862650968771083082852923940)"
"(6, -12)","(-1337493756676947303969954096710133449413095169753243896570, -598145391882243479824487203279467365494805854136184805320)"
"(6, -10)","(211087794099452924898096520470281759295310363718936307000, 94401331365371148622453471183183580646638898284080488000)"
"(6, -8)","(-371851313270216843461723997816570500423328978066690910, -166296962798954897295891633464340833488435853679176640)"
"(6, -6)","(-49528602785808887896809745720867038624568734623938200, -22149864531930825800150550989905475779855477092842400)"
"(6, -4)","(190981185021937656433215058853485933970680570840518, 85409382430112644854701671597667125653513460197384)"
"(6, -2)","(1932160952990070999386516537798715765328968256080, 864102304002208830925251593724017422575050419680)"
"(6, 0)",-15099152122327525499430377998528537181480946750
"(6, 2)","(1932160952990070999386516537798715765328968256080, -864102304002208830925251593724017422575050419680)"
"(6, 4)","(190981185021937656433215058853485933970680570840518, -85409382430112644854701671597667125653513460197384)"
"(6, 6)","(-49528602785808887896809745720867038624568734623938200, 22149864531930825800150550989905475779855477092842400)"
"(6, 8)","(-371851313270216843461723997816570500423328978066690910, 166296962798954897295891633464340833488435853679176640)"
"(6, 10)","(211087794099452924898096520470281759295310363718936307000, -94401331365371148622453471183183580646638898284080488000)"
"(6, 12)","(-1337493756676947303969954096710133449413095169753243896570, 598145391882243479824487203279467365494805854136184805320)"
"(7, -15)","(8893929716611129143614139200755665660149378475411553425004050, 3977486286689585054559322989543532967835415134158931473138400)"
"(7, -13)","(16939370013566103374057493967817217135445601222647881684660, 7575516569271068384768895534795785606961882574004023672280)"
"(7, -11)","(3802328823725661488655574484723030469865374497043957170688, 1700453144531478851276515533033929740664701256556464332192)"
"(7, -9)","(-1448194079142995421228278694481283278370025873882016381242, -647652081115289628884524576376438750565452051609283632952)"
"(7, -7)","(-55552880624431249278872304392269693134284345043495635250, -24844003484431847400057061184713871597816029786777603000)"
