numerator,1292*x-2889
denominator,11162880
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-7465176*x-16692641
"(1, 1)",1
"(2, -4)",249227005939632*x+557288527109761
"(2, -2)",2116899958320*x+4733532208370
"(2, 0)",-406655640*x-909309600
"(2, 2)",-283570
"(2, 4)",7465176*x-16692641
"(3, -5)",13576312811634840*x+30357558330616800
"(3, -3)",28444222388237760*x+63603214827221160
"(3, -1)",206316808696296*x+461338409258028
"(3, 1)",-838261275192*x-1874436831468
"(3, 3)",-3810254760
"(3, 5)",406655640*x-909309600
"(4, -8)",-70673302074301446240*x-158030307632514926770
"(4, -6)",27985795378773220440*x+62578140871336395948
"(4, -4)",-10224549214037113824*x-22862787081879074484
"(4, -2)",222605111475243720*x+497760161379373580
"(4, 0)",27719506838674800*x+61982697880872000
"(4, 2)",135797261014440*x+303622087648820
"(4, 4)",1369632707124
"(4, 6)",838261275192*x-1874436831468
"(4, 8)",-2116899958320*x+4733532208370
"(5, -11)",-8320513875310281831048*x-18605234632923999244961
"(5, -9)",-6887944840504155590664*x-15401912888636238712428
"(5, -7)",-4533407248683210228360*x-10137006777745952040820
"(5, -5)",715389506549509113000*x+1599659567034736267375
"(5, -3)",13941383282811824040*x+31173880720908744630
"(5, -1)",-6810049626775683696*x-15227733911229973672
"(5, 1)",116549654469965136*x+260613862391295272
"(5, 3)",-1211409347115240*x-2710661171112630
"(5, 5)",-95830226447375
"(5, 7)",-135797261014440*x+303622087648820
"(5, 9)",-206316808696296*x+461338409258028
"(5, 11)",-249227005939632*x+557288527109761
"(6, -12)",-949618385702031100648320*x-2123411263113355892712360
"(6, -10)",-925423524990579865618800*x-2069309909856412006776000
"(6, -8)",40457184054160985721720*x+90465013723324497567030
"(6, -6)",-5712063525143497123200*x-12772562334017961661200
"(6, -4)",-3327638914210360682160*x-7440826816752929737848
"(6, -2)",327069831430690343280*x+731350376133332000040
"(6, 0)",-2094291689856033600*x-4682978302689504000
"(6, 2)",2501507435809195440*x+5593496859948380760
"(6, 4)",37019660857196688*x+83224233098475768
"(6, 6)",765161266813200
"(6, 8)",1211409347115240*x-2710661171112630
"(6, 10)",-27719506838674800*x+61982697880872000
"(6, 12)",-28444222388237760*x+63603214827221160
"(7, -15)",-453249031736641607769240*x-1013495645699090192628000
"(7, -13)",-7431734421106650349914600*x-16617863356319518039298380
"(7, -11)",-3891049891531973371212048*x-8700652061308675771013032
"(7, -9)",-1239239456176083519028176*x-2771023664409594355108728
"(7, -7)",185151105954789973963200*x+414010459024177228476200
"(7, -5)",118517167105689883122720*x+265012442149103028907200
"(7, -3)",3233382723705602694600*x+7230063569591429661060
"(7, -1)",2003026601341348094232*x+4478903655582024590768
"(7, 1)",-106321953813362148456*x-237743384543329814128
"(7, 3)",-15768455041842807960*x-35259770502510011460
"(7, 5)",-582076625811763680*x-1317438907839921600
"(7, 7)",-24801974656028200
"(7, 9)",-37019660857196688*x+83224233098475768
"(7, 11)",-116549654469965136*x+260613862391295272
"(7, 13)",-222605111475243720*x+497760161379373580
"(7, 15)",-13576312811634840*x+30357558330616800
"(8, -16)",341349458833507403480338368*x+763280594034488621914637364
"(8, -14)",227355427340450605403727408*x+508382190586761775501000232
"(8, -12)",-83513204099755457267170800*x-186741201385867330447974360
"(8, -10)",19551309465439899257280480*x+43718057013858690444984000
"(8, -8)",11154402311074476920775360*x+24942001815943330405242760
"(8, -6)",46568140122762301208256*x+104129526900100284394128
"(8, -4)",859030380620724687879600*x+1920850325786659224759400
"(8, -2)",28323076619416055410800*x+63332324575101937472120
"(8, 0)",-16938676310067040779360*x-37876029409149561590400
"(8, 2)",581144661438221029680*x+1299475173710324835080
"(8, 4)",140364809758735369200*x+313750184584428472600
"(8, 6)",983981751064757568*x+2194012034137253232
"(8, 8)",-1494191471316212360
"(8, 10)",582076625811763680*x-1317438907839921600
"(8, 12)",-2501507435809195440*x+5593496859948380760
"(8, 14)",6810049626775683696*x-15227733911229973672
"(8, 16)",10224549214037113824*x-22862787081879074484
"(9, -19)",-934313670714639940176288888*x-2089188880025289421150805868
"(9, -17)",-465437012367969907856894520*x-1040748798899191074567423030
"(9, -15)",69918516561808531281441600*x+156342555918148752169632000
"(9, -13)",526437551658967649019139320*x+1177150151418008848985670660
"(9, -11)",-32803940102027969368105920*x-73351839997965926140125552
"(9, -9)",-17931331477809284684163624*x-40095676111463394258828159
"(9, -7)",31135619552950786877011440*x+69621361841965111706449710
"(9, -5)",8995769728521538461991200*x+20115152623098583404120000
"(9, -3)",-837015514134267496368960*x-1871623588213984547213280
"(9, -1)",-168859461527689865979960*x-377581242087171070513002
