numerator,(317811*x-710647)/2
denominator,10440
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-225851433717*x-505019158607)/2
"(1, 1)",1
"(2, -4)",(114059301025943970552219*x+255044350560122222180447)/2
"(2, -2)",180797090065612959120*x+404274583520862489520
"(2, 0)",11488954066622760*x+25690082283239400
"(2, 2)",-1601026720
"(2, 4)",(225851433717*x-505019158607)/2
"(3, -5)",-5802141915988808323209472560*x-12973983739251849328634755200
"(3, -3)",-38418832139811745892928840*x-85907120280772768251191640
"(3, -1)",-71824157683352860151184*x-160603699006641037173372
"(3, 1)",25592868038400271518*x+57227393309074829082
"(3, 3)",340213311977040
"(3, 5)",-11488954066622760*x+25690082283239400
"(4, -8)",-91305994303529855038497887145840*x-204166410015901322088336154271920
"(4, -6)",-12924888754917045371653566806610*x-28900929857617132673952937035402
"(4, -4)",213379266212415209074018346496*x+477130544239984487518491234816
"(4, -2)",1190482267678313097946728270*x+2661999276536808914453161430
"(4, 0)",-512904673081477169875200*x-1146889714982947517088000
"(4, 2)",-9893574310892442607710*x-22122715241772584765030
"(4, 4)",-1889554232184216576
"(4, 6)",-25592868038400271518*x+57227393309074829082
"(4, 8)",-180797090065612959120*x+404274583520862489520
"(5, -11)",-28801066117712377943103099342682608*x-64401141663670836906325975923999361
"(5, -9)",36272575680903381357105920895112206*x+81107944941505681071180827950183722
"(5, -7)",4996445764584998879333839117788240*x+11172392375502968800466122943951780
"(5, -5)",(103633888074721364539481613367875*x+231732418507681775903047279281625)/2
"(5, -3)",5334397820392125905578666238640*x+11928076145423507394141837349230
"(5, -1)",-62869480870652702446801171116*x-140580432936902169555531552772
"(5, 1)",7201045186112981447209056*x+16102027101929319706958872
"(5, 3)",-739169310444482027006715*x-1652880063148921749099105
"(5, 5)",-458858668148099372375
"(5, 7)",9893574310892442607710*x-22122715241772584765030
"(5, 9)",71824157683352860151184*x-160603699006641037173372
"(5, 11)",(-114059301025943970552219*x+255044350560122222180447)/2
"(6, -12)",19402246281911297298222610687724525880*x+43384741602546209021974664644600468440
"(6, -10)",259026686444693097613971634025971200*x+579201278876857086147604462293504000
"(6, -8)",373299997626609082590770638705284645*x+834724170693608065161918625519397505
"(6, -6)",-25773653685673480374285492533011200*x-57631641669703899693996144789715200
"(6, -4)",-40689569526735532709822866764960*x-90984643436984598625614166244448
"(6, -2)",81625899466235960543253975636480*x+182521059931067421345102452499840
"(6, 0)",-279546529503923466312310473600*x-625085042842447943579454384000
"(6, 2)",-1551050472063749473908960960*x-3468255014895942701283071040
"(6, 4)",111159038154162701530621248*x+248559525947752260877191168
"(6, 6)",228235466664947532787200
"(6, 8)",739169310444482027006715*x-1652880063148921749099105
"(6, 10)",512904673081477169875200*x-1146889714982947517088000
"(6, 12)",38418832139811745892928840*x-85907120280772768251191640
"(7, -15)",2930192828531074859815834853109387701160*x+6552110351777868627615836213039134767000
"(7, -13)",-601216353159455041959738601116303327600*x-1344360634849061932719157385117160162980
"(7, -11)",-3636665843851246481962421096351916108*x-8131832038303022727890103784662258532
"(7, -9)",-56137484609748184617109123533823046496*x-125527231673245194046482421806685338528
"(7, -7)",6479612810442907723142207446408087200*x+14488854712028800865864638928231711200
"(7, -5)",359604967094140365495103696758515520*x+804101151469072872907357453080979200
"(7, -3)",-11838465563871314350595089815988650*x-26471613750106638179511912098268990
"(7, -1)",1016861125702529198740662113445072*x+2273770600748054851629295744211968
"(7, 1)",-27211609787546349583416799795176*x-60847009271156938364951489072728
"(7, 3)",101760499647028973353279862640*x+227543499469197218834731568340
"(7, 5)",5706958509528034975247697120*x+12757962733870541591655482400
"(7, 7)",-57379425968684321018843200
"(7, 9)",-111159038154162701530621248*x+248559525947752260877191168
"(7, 11)",-7201045186112981447209056*x+16102027101929319706958872
"(7, 13)",-1190482267678313097946728270*x+2661999276536808914453161430
"(7, 15)",5802141915988808323209472560*x-12973983739251849328634755200
"(8, -16)",-107760617486772992623890736931891306691072*x-240960065997776956173318647206648600244736
"(8, -14)",31750292331355916789639443728605998404468*x+70995811958402107487980294014235951549732
"(8, -12)",783310285984524384415102906590786619200*x+1751535046936197303592637930851355941440
"(8, -10)",-2881763779719812875512164967260018596320*x-6443819706550231447954157651319777996000
"(8, -8)",-180872727378135087735832723268873994240*x-404443713693297365171201529467349975040
"(8, -6)",51620695038065657615148197731335249576*x+115427383150900904518347467324877589128
"(8, -4)",-1395623788741769196416302585743326400*x-3120709662642401610065624881712177600
"(8, -2)",356657803236768719300278255603038300*x+797511092743163485902097529186711020
"(8, 0)",-3993221034353441554856357274869760*x-8929113681960956804084543816294400
"(8, 2)",-463957314378819378925595983906620*x-1037440096767620698240972371471820
"(8, 4)",-230660546778904663747619092800*x-515760303547577562462864270400
"(8, 6)",-18306895504010073284689164072*x-41392583612870356547564527368
"(8, 8)",1601696517054438050626109440
"(8, 10)",-5706958509528034975247697120*x+12757962733870541591655482400
"(8, 12)",1551050472063749473908960960*x-3468255014895942701283071040
"(8, 14)",62869480870652702446801171116*x-140580432936902169555531552772
"(8, 16)",-213379266212415209074018346496*x+477130544239984487518491234816
"(9, -19)",6527316444097282087674902324096607685720752*x+14595523279653728652947543098941857937175932
"(9, -17)",-2693973098929446132382515261731732298981195*x-6023906978762007476215473755776260070223505
"(9, -15)",141176353121298783532862020997313375801600*x+315679922394738693173535908803396937472000
"(9, -13)",-51391013749636056481538770189339149731130*x-114913800176812580463022410119856221433390
"(9, -11)",9296953659179504062301278612902949217280*x+20788620365590782775304783519102106667248
"(9, -9)",(24320867873385507195285708517312030594917*x+54383113836680742386128852507791650523807)/2
"(9, -7)",683459070970940705498672983964050859040*x+1528260942529876610735546131225300886910
"(9, -5)",-118894814408962377027736234159617088800*x-265856887190661355411918301876124780000
"(9, -3)",-16620241985358695089255139508400815360*x-37163990881758101976576841538819378880
"(9, -1)",-1056847174928733539932778482655054685*x-2363182124969849731125636456614825127
"(9, 1)",66634823909764665206031467956591632*x+148999995940320885962129149271423682
"(9, 3)",-527038261053760553074834266053280*x-1178493231280949871862307515722720
"(9, 5)",-96628906444610880714041798020800*x-216067750542997492354362766944000
"(9, 7)",-1750499477829929442799409093595*x-3920288115979140675625854437985
"(9, 9)",-107685248984783654984362343601
"(9, 11)",18306895504010073284689164072*x-41392583612870356547564527368
"(9, 13)",-101760499647028973353279862640*x+227543499469197218834731568340
"(9, 15)",279546529503923466312310473600*x-625085042842447943579454384000
"(9, 17)",-5334397820392125905578666238640*x+11928076145423507394141837349230
"(9, 19)",12924888754917045371653566806610*x-28900929857617132673952937035402
"(10, -22)",46111276418944182361646701762449291887285760*x+103107948602042263171790024484399666223925920
"(10, -20)",(-52337098958667794665695930414991116063550125*x-117029311016714645032663546872810504696951625)/2
"(10, -18)",-41222643068978056749931045469592280804144320*x-92176632114445487078837777845738679319051840
"(10, -16)",13742384280265524619333966391489015570924904*x+30728905423598234725769904458251553445957928
"(10, -14)",116486599634324255573694433342798908403200*x+260471955250151180189677766145532647510400
"(10, -12)",884719232506634758150232588108095463681205*x+1978292344886276979356722975275416259599985
"(10, -10)",-62293205345093725473397539051632266710000*x-139291841687982815782473202272958197410000
"(10, -8)",9555019339951401548063664076894222798680*x+21365672770456505952733231583658689155160
"(10, -6)",-523336349537544701461905423828349324800*x-1170215652662540589665856308471107473600
"(10, -4)",(768969967714055540276527066649311844253*x+1719469120464447198675240200295821934841)/2
"(10, -2)",52582019581336769680900519969256219520*x+117576970178097831027014234235606067840
"(10, 0)",6419816771072276158158796898716770000*x+14355146703153965035387508855860050000
"(10, 2)",-427072389721443467959251248337976320*x-954962895196063770830238852077059840
"(10, 4)",(-50314264421497434176594283657999213*x-112506122293887750334825524656967241)/2
"(10, 6)",933398880612952965189590584408800*x+2087147981514392796654498471933600
"(10, 8)",29181757091355186725422440854520*x+65167779243379215189036201502840
"(10, 10)",551629930524588660726651260000
"(10, 12)",1750499477829929442799409093595*x-3920288115979140675625854437985
"(10, 14)",230660546778904663747619092800*x-515760303547577562462864270400
"(10, 16)",27211609787546349583416799795176*x-60847009271156938364951489072728
"(10, 18)",-81625899466235960543253975636480*x+182521059931067421345102452499840
"(10, 20)",(-103633888074721364539481613367875*x+231732418507681775903047279281625)/2
"(10, 22)",91305994303529855038497887145840*x-204166410015901322088336154271920
"(11, -23)",-2523300836056224932575203458354209239156773970*x-5642272197103771302041951355846703982595205430
"(11, -21)",20549012166473006031683709011811464760631968*x+45948988074703866374565748887638689167972768
"(11, -19)",-513534350122485369329646610879696060350329880*x-1148297715655054738952440002875529018130535848
"(11, -17)",234307332893812548843799510748817800860316640*x+523927123977237372683810226072134457424243720
"(11, -15)",48799330134957497865345604470459694267936800*x+109118619438218951625866611966009188811788000
"(11, -13)",-14727791393610100631910152952909018270054960*x-32932342714548546836151790165811224410099040
"(11, -11)",-6437907640260619556983529339022651519551784*x-14395599116488007230587064255729531947491064
"(11, -9)",-274167377699601711640209088840506416184720*x-613056893749169343520568904062845953243948
"(11, -7)",55528357709625930370592907843954008921670*x+124165182517648108650280486025001253793810
"(11, -5)",-31919776966881049228105802943178106992800*x-71374791124578077987559512373824364864000
"(11, -3)",1952754824353611419089113903605068164600*x+4366492530645370281717389046618507611400
"(11, -1)",-34778126835665730267642898173426229152*x-77766255734415311815578588474186797032
"(11, 1)",-27431753101597424950235928689267391660*x-61339264676854563544123822455990367748
"(11, 3)",-3762952002473618422433137196655430800*x-8414216490892351270356405567296114400
"(11, 5)",-158016392729624158478582779643770800*x-353335113041026641374818031498370000
"(11, 7)",-6546419753929485719214109615289040*x-14638731303675907015612549807542860
"(11, 9)",194369653147260645032470681754838*x+437051613186785479415477816919618
"(11, 11)",57010110888448467833938902841104
"(11, 13)",-29181757091355186725422440854520*x+65167779243379215189036201502840
"(11, 15)",96628906444610880714041798020800*x-216067750542997492354362766944000
"(11, 17)",463957314378819378925595983906620*x-1037440096767620698240972371471820
"(11, 19)",-1016861125702529198740662113445072*x+2273770600748054851629295744211968
"(11, 21)",40689569526735532709822866764960*x-90984643436984598625614166244448
"(11, 23)",-4996445764584998879333839117788240*x+11172392375502968800466122943951780
"(12, -26)",-18318345650878555770626810146869783220115505858*x-40961066110702080886278067603652405154470421882
"(12, -24)",13016188898567025508754986877827897396107398400*x+29105083185173984026288429575737052303625939200
"(12, -22)",5978651918264235092721236515645155832141673190*x+13368672103048346142398988604604330396228128590
"(12, -20)",2016653126896956075253953944144853263433154560*x+4509373478779103312705409015802507208422195200
"(12, -18)",266164402530824586348404678493060339831765600*x+595161697249540838873748982324622016732829920
"(12, -16)",-471384840668218688450414259078365416875866400*x-1054048547297044377286366796921165405265021600
"(12, -14)",-98434566068863602132862646983064459427775386*x-220106381065673259401889156369555824958608178
"(12, -12)",-13881219178832051591786893266146395251548160*x-31039349694442277144784461722274339487375360
"(12, -10)",10439889139974684814340372346886124051133120*x+23344301794545212327791859924696917328529600
"(12, -8)",-1360235483513014407859755080832461256268800*x-3041579006542394659214854153327891164349440
"(12, -6)",285476088309198267685343333218175936584800*x+638343939410100324896925240115653114943200
"(12, -4)",102657851819501221840467626881241958825984*x+229549935092505285220162546774255308214272
"(12, -2)",-21626782746726863953040581346801506394130*x-48358956356301318934543066821364997563530
"(12, 0)",-2149363699863384324899320924081955328000*x-4806123341245949365019328036306424320000
"(12, 2)",48975908159083399791498439899583882050*x+109513460095010419846992063254382198330
"(12, 4)",-9300046154136882402673854040516282368*x-20795536303609721584625622629271263232
"(12, 6)",398207985921337653074795584042749600*x+890417597704487477363619120076192800
"(12, 8)",-32741701253473245250669039319746560*x-73200624301281019102696713172008960
"(12, 10)",4110160790342934704021419939120320*x+9098149752608159333500031811384000
"(12, 12)",122923454151951236708003308584960
"(12, 14)",-194369653147260645032470681754838*x+437051613186785479415477816919618
"(12, 16)",-933398880612952965189590584408800*x+2087147981514392796654498471933600
"(12, 18)",527038261053760553074834266053280*x-1178493231280949871862307515722720
"(12, 20)",3993221034353441554856357274869760*x-8929113681960956804084543816294400
"(12, 22)",11838465563871314350595089815988650*x-26471613750106638179511912098268990
"(12, 24)",25773653685673480374285492533011200*x-57631641669703899693996144789715200
"(12, 26)",-36272575680903381357105920895112206*x+81107944941505681071180827950183722
"(13, -29)",(29090180355503362256910111038089984964854261893*x+65047620752634516466872279429262033219029119807)/2
"(13, -27)",-188523650709385215844494420493352394780309682800*x-421551698352611792661099720597544897410925976430
"(13, -25)",-181607397912780689136585765405672746197503383520*x-406086486949831044270799869548617137011323456800
"(13, -23)",-180119023701254363783797865245003011254779554720*x-402758381036900529761625632945628183353683277320
"(13, -21)",-33651862705891804488657793788935766074792031309*x-75247852579864087489213410900197458496039105847
"(13, -19)",12704834126522358762464275631147859671820010272*x+28408872749763157994275235158584364027180129223
"(13, -17)",3306122924375422485856102484103783397917688950*x+7392715600873841119133568036029149938036602210
"(13, -15)",-2065270054938496330397697704613071046085461120*x-4618084234737203042694971833717578721510617600
"(13, -13)",567689172652820932314690608752027015206180195*x+1269391580142322224719102459951524193959468345
"(13, -11)",79813450345929827748286774922014828280335536*x+178468300492303200234799234161171239048506178
"(13, -9)",60418107788976935039566600110916464911965728*x+135098996088061945786910782222905049907118432
"(13, -7)",2324179988084101827805421262505132511736000*x+5197024445300702907616965927298859782352800
"(13, -5)",2192009326925319102844712003095921434554880*x+4901481862318574161422697065440472391641600
"(13, -3)",-273747681469310049800539973702100344837760*x-612118424448343081720717038007588053621360
"(13, -1)",20165634865814901204932606703448394912406*x+45091730369344823941652435877503454579778
"(13, 1)",6453160371372859237596080322343265201808*x+14429705259918926795355421415596166558132
"(13, 3)",711484322036360989360008427759366397400*x+1590927311422794188581421141523884637960
"(13, 5)",-64256443284355981719888864687026987520*x-143681794587252765695862199321452403200
"(13, 7)",-1920778855625228086443887591298802800*x-4295012672416477867640528779908494800
"(13, 9)",-435453647727197906389182635168375424*x-974238982599623655700187370351444672
"(13, 11)",3745192953694214131092952965177363*x+7667727696489296656219371658481257
"(13, 13)",-5027102669307434727394226973810670
"(13, 15)",-4110160790342934704021419939120320*x+9098149752608159333500031811384000
"(13, 17)",6546419753929485719214109615289040*x-14638731303675907015612549807542860
"(13, 19)",(50314264421497434176594283657999213*x-112506122293887750334825524656967241)/2
"(13, 21)",-66634823909764665206031467956591632*x+148999995940320885962129149271423682
"(13, 23)",-356657803236768719300278255603038300*x+797511092743163485902097529186711020
"(13, 25)",-359604967094140365495103696758515520*x+804101151469072872907357453080979200
"(13, 27)",-373299997626609082590770638705284645*x+834724170693608065161918625519397505
"(13, 29)",28801066117712377943103099342682608*x-64401141663670836906325975923999361
"(14, -30)",-130813439245058120397347960998687825932844243200*x-292507742522488727610847773666389064614271840000
"(14, -28)",-3272328609629015841351819706793662242104286530400*x-7317149215847852295230055639663468364238799455200
"(14, -26)",704816751522281798540091104771108508445751232000*x+1576018168084400481952884283363545395560616873600
"(14, -24)",533728071058760592348862189315375891902230015427*x+1193452248387226836460353781441021715970710494407
"(14, -22)",215679738973986194875633998478259728260746405760*x+482274557715243877664905063881784060487583975040
"(14, -20)",79801273782651097677145072499693473426648282800*x+178441072869079632076659723544551214716335454000
"(14, -18)",16533826182907302538470777286002574910426373120*x+36970759273146599934162603064985706934229468160
"(14, -16)",-1811580743949587305100365928858882804502677805*x-4050817690200918065339924842741597804668235177
"(14, -14)",-5223167381867953622672585090552709084376704000*x-11679357323716346778257483276920038567232384000
"(14, -12)",2451194118596880093591100187389337761762193640*x+5481036675230305313763219880453597477284924360
"(14, -10)",-509182283961052576265044410693651683810150400*x-1138566199875514440107866011848517693225984000
"(14, -8)",-141568910721924700455260017597939776681955965*x-316557707874822457938356420124261309935261945
"(14, -6)",-1738456939895918088289922881908268795032000*x-3887307893563538973662486692675847405563200
"(14, -4)",-168973236412986343502677641494746852894968*x-377835642997637790028826861294547833383768
"(14, -2)",-886163685365197603375673007178962340323840*x-1981522239668586405751428607228290591784960
"(14, 0)",-412067897596841153676124284970760142912000*x-921411830368310032202786581318448201280000
"(14, 2)",30378744290380322798433948025166727102720*x+67928937312221327466901108844937551292160
"(14, 4)",6504279183104811853238672741048385758040*x+14544010399555482954851680237133508555448
"(14, 6)",-4831944735648978414869345449893004800*x-10804541497738622147514347439753628800
"(14, 8)",60340900778448224453926263524437629405*x+134927609610512151992848419004247475545
"(14, 10)",-1082180004336748078900446828010982400*x-2415319051580949060264571098680448000
"(14, 12)",-210956461979473083569428760245993320*x-493419241732219809447112543971583560
"(14, 14)",46253125746483158621874874042624000
"(14, 16)",-3745192953694214131092952965177363*x+7667727696489296656219371658481257
"(14, 18)",32741701253473245250669039319746560*x-73200624301281019102696713172008960
"(14, 20)",158016392729624158478582779643770800*x-353335113041026641374818031498370000
"(14, 22)",427072389721443467959251248337976320*x-954962895196063770830238852077059840
"(14, 24)",1056847174928733539932778482655054685*x-2363182124969849731125636456614825127
"(14, 26)",1395623788741769196416302585743326400*x-3120709662642401610065624881712177600
"(14, 28)",-6479612810442907723142207446408087200*x+14488854712028800865864638928231711200
"(14, 30)",-259026686444693097613971634025971200*x+579201278876857086147604462293504000
