numerator,(-x+3)/2
denominator,9
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(3*x+7)/2
"(1, 1)",1
"(2, -4)",(21*x+47)/2
"(2, -2)",-60*x-140
"(2, 0)",15*x+45
"(2, 2)",-40
"(2, 4)",(-3*x+7)/2
"(3, -5)",120*x+270
"(3, -3)",-45*x-105
"(3, -1)",456*x+972
"(3, 1)",-138*x-18
"(3, 3)",-30
"(3, 5)",-15*x+45
"(4, -8)",-420*x-940
"(4, -6)",-510*x-1098
"(4, -4)",864*x+2016
"(4, -2)",-2010*x-4510
"(4, 0)",-600*x-1800
"(4, 2)",270*x-710
"(4, 4)",576
"(4, 6)",138*x-18
"(4, 8)",60*x-140
"(5, -11)",72*x+161
"(5, -9)",3054*x+6822
"(5, -7)",-120*x-460
"(5, -5)",(-6675*x-15575)/2
"(5, -3)",7320*x+16110
"(5, -1)",-2256*x-2128
"(5, 1)",4704*x+9472
"(5, 3)",-1455*x+1485
"(5, 5)",-2225
"(5, 7)",-270*x-710
"(5, 9)",-456*x+972
"(5, 11)",(-21*x+47)/2
"(6, -12)",-315*x-705
"(6, -10)",-4800*x-10800
"(6, -8)",-2865*x-5715
"(6, -6)",1800*x+4200
"(6, -4)",13485*x+27927
"(6, -2)",-18240*x-38880
"(6, 0)",-450*x-1350
"(6, 2)",5520*x+720
"(6, 4)",-5307*x-3393
"(6, 6)",1200
"(6, 8)",1455*x+1485
"(6, 10)",600*x-1800
"(6, 12)",45*x-105
"(7, -15)",825*x+1845
"(7, -13)",-13800*x-30860
"(7, -11)",30672*x+68432
"(7, -9)",-23664*x-51678
"(7, -7)",-6225*x-14525
"(7, -5)",-6480*x-11160
"(7, -3)",-12450*x-33930
"(7, -1)",6552*x+14182
"(7, 1)",-1659*x+497
"(7, 3)",-7320*x-25380
"(7, 5)",5940*x+9540
"(7, 7)",-4150
"(7, 9)",5307*x-3393
"(7, 11)",-4704*x+9472
"(7, 13)",2010*x-4510
"(7, 15)",-120*x+270
"(8, -16)",6048*x+13536
"(8, -14)",-11088*x-24368
"(8, -12)",20400*x+43920
"(8, -10)",35100*x+77940
"(8, -8)",26880*x+62720
"(8, -6)",-16884*x-44028
"(8, -4)",80400*x+180400
"(8, -2)",-35400*x-55640
"(8, 0)",8640*x+25920
"(8, 2)",40440*x+70760
"(8, 4)",-10800*x+28400
"(8, 6)",-6948*x-27468
"(8, 8)",17920
"(8, 10)",-5940*x+9540
"(8, 12)",-5520*x+720
"(8, 14)",2256*x-2128
"(8, 16)",-864*x+2016
"(9, -19)",-3432*x-7668
"(9, -17)",49785*x+111285
"(9, -15)",-3600*x-8100
"(9, -13)",-63690*x-143730
"(9, -11)",-65520*x-148248
"(9, -9)",(-174447*x-407043)/2
"(9, -7)",6480*x+23130
"(9, -5)",1500*x-11700
"(9, -3)",-13680*x-29160
"(9, -1)",57165*x+100377
"(9, 1)",-49512*x-77418
"(9, 3)",4140*x+540
"(9, 5)",-22800*x-52200
"(9, 7)",12015*x+32355
"(9, 9)",-58149
"(9, 11)",6948*x-27468
"(9, 13)",7320*x-25380
"(9, 15)",450*x-1350
"(9, 17)",-7320*x+16110
"(9, 19)",510*x-1098
