numerator,(-x+3)/2
denominator,2160
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-3*x-7)/2
"(1, 1)",1
"(2, -4)",(21*x+47)/2
"(2, -2)",60*x+140
"(2, 0)",720*x+1200
"(2, 2)",-40
"(2, 4)",(3*x-7)/2
"(3, -5)",-4320*x-9600
"(3, -3)",-9720*x-22680
"(3, -1)",13824*x+27348
"(3, 1)",7362*x+7962
"(3, 3)",6480
"(3, 5)",-720*x+1200
"(4, -8)",-420*x-940
"(4, -6)",-37710*x-83082
"(4, -4)",95904*x+223776
"(4, -2)",-178590*x-373690
"(4, 0)",-28800*x-48000
"(4, 2)",-64530*x-31510
"(4, 4)",-63936
"(4, 6)",-7362*x+7962
"(4, 8)",-60*x+140
"(5, -11)",-72*x-161
"(5, -9)",-89406*x-199398
"(5, -7)",273120*x+594260
"(5, -5)",(2284125*x+5329625)/2
"(5, -3)",157320*x+146310
"(5, -1)",-599604*x-1581412
"(5, 1)",273504*x+1037912
"(5, 3)",331155*x+667815
"(5, 5)",-761375
"(5, 7)",64530*x-31510
"(5, 9)",-13824*x+27348
"(5, 11)",(-21*x+47)/2
"(6, -12)",68040*x+152280
"(6, -10)",172800*x+384000
"(6, -8)",-2160765*x-4821015
"(6, -6)",388800*x+907200
"(6, -4)",-5027760*x-11491728
"(6, -2)",-552960*x-1093920
"(6, 0)",4665600*x+7776000
"(6, 2)",-294480*x-318480
"(6, 4)",-359568*x+2512848
"(6, 6)",-259200
"(6, 8)",-331155*x+667815
"(6, 10)",28800*x-48000
"(6, 12)",9720*x-22680
"(7, -15)",29520*x+66000
"(7, -13)",1185600*x+2647340
"(7, -11)",-2514132*x-5683972
"(7, -9)",-2510784*x-6098208
"(7, -7)",-5800800*x-13535200
"(7, -5)",14567040*x+36057600
"(7, -3)",-1369350*x-4378830
"(7, -1)",-2614752*x-2931712
"(7, 1)",-4754064*x-9349648
"(7, 3)",1775520*x+5055780
"(7, 5)",-3101760*x-16948800
"(7, 7)",3867200
