numerator,(-2178309*x+4870847)/2
"(9, 3)",3251048816354433385555433976196258260*x+7269566139094078236362530844238097860
"(9, 5)",-57985086638565561100652122186540800*x-129658640234910762061210697691928200
"(9, 7)",-1169573174462573567733250123986465*x-2619448492144839360981334245164205
"(9, 9)",30338909500863826969851114817371
"(9, 11)",36122234154698315148047259556428*x-80842303826715109370822103555108
"(9, 13)",-168617973070341884839865297857920*x+377041254934694008323603882933180
"(9, 15)",829683623922306569337576057993450*x-1855228982908804575631016687416350
"(9, 17)",-14565991435146132024614820527134080*x+32570547008666470572968875227845790
"(9, 19)",-9856155739375590959973839844986910*x+22039034230068522005792253274274682
"(10, -22)",-4187749178645191933811245969449048614947873259520*x-9364091836169559818846877538369154593904066479360
"(10, -20)",(-26919868160928861458366202026168939062154391970725*x-60194655153169182417647799052901377773546754844575)/2
"(10, -18)",280691965561815858342967880679292550477833704960*x+627646315734250207064112939508055299353840852480
"(10, -16)",147343127157784951454847034981852811748756530139*x+329469248342202532990850629178802416473073514977
"(10, -14)",-16689237484431385998997664234847710676460339200*x-37318269507826167221729394764471230420283417600
"(10, -12)",-27770598897503717094899151221816315825154000735*x-62096946910699026226455777851247037863140156205
"(10, -10)",795614498916723925292983037729517926651184000*x+1779048103462227487969706003148019416703856000
"(10, -8)",-187171885243416886683295588492753090531768365*x-418529058881069930075688567811373128728301495
"(10, -6)",-20427197232896639654927892251490635939020800*x-45676601602552489586872883418248602755110400
"(10, -4)",(-14944210664144016964531345234313776887139623*x-33416270915103300985644566276384114869313029)/2
"(10, -2)",130317907150707013698265806040138955919360*x+291399699074486730446176552035285878394880
"(10, 0)",23680115570109849159510496559910077727750*x+52950348129821273496576575516764757603250
"(10, 2)",-440564278092153426624578915373284720640*x-985131674247611795175772891012272005120
"(10, 4)",(-128404793777139600322098817722465857703*x-287121850339475248456446554441703261829)/2
"(10, 6)",-321325866225555477140689677319276800*x-718510330288743835033446405755270400
"(10, 8)",34264053841424789521778913829466835*x+76581472106994569138378316849970505
"(10, 10)",149971491532301599245183715616000
"(10, 12)",1169573174462573567733250123986465*x-2619448492144839360981334245164205
"(10, 14)",703440571102798085634977873164800*x-1572941702120917908196066149977600
"(10, 16)",-6210419073132587296868200278616101*x+13886919215484103021068608828548577
"(10, 18)",-11830987777822257027767083925667840*x+26454892912179745417533655556244480
"(10, 20)",(1134655317102035778260364704502003675*x-2537166420071731681739755434534860575)/2
"(10, 22)",176510963717717401317698161640983680*x-394690513646815109591531111011327360
"(11, -23)",282342813887275422599122406970076397246169392581710*x+631337724810519489489072929256204760006384050136310
"(11, -21)",184044318951693712159080946633831996391664107655168*x+411535608048639973965876562798469909620789158716202
"(11, -19)",-100892909778302476548628817296087722861763560406875*x-225603404712037573978118325808413488675504892515743
"(11, -17)",12109195109458818099185427133540386341490417208320*x+27076983417557923899372416609007835708302400949840
"(11, -15)",-1375705144932280935801598305030538836484115597100*x-3076170221064780490847789746031577603623301584700
"(11, -13)",812732662153816157337529983512166518483328228480*x+1817325480110303568247319663994232549222757282030
"(11, -11)",-15673495113839285515654846881293891998064600424*x-35047000519555447230732138818924104156439699016
"(11, -9)",19567599606065630392765018580633112633155932800*x+43754482875660855748151570639310707091345337092
"(11, -7)",859616311030614329721532805860943238373765410*x+1922160506032055944447015438761911449300707770
"(11, -5)",-108637740819420655117343792178658667803315200*x-242921373394228290157840973305712061992340300
"(11, -3)",-75998375258838122418406926353427273534782775*x-169937533258300220274192164325732222337276875
"(11, -1)",-3289309555282557189733535998300995037262592*x-7355119764651473232157861305591493363480168
"(11, 1)",-386686409239443798046554638194475469019260*x-864657097035319112420291351585267614467148
"(11, 3)",-19148147478676369811805021836503031145600*x-42816559419837085529915077607450911478250
"(11, 5)",-291094281815365844805529168527597725250*x-650906622478601608549961821135197577050
"(11, 7)",5369058823889530489426764666934657920*x+12005742541097040440666694036627972620
"(11, 9)",-147159608723843520199179272135844042*x-325370441413818823755869366429075778
"(11, 11)",-2954417551398533769985597170539376
"(11, 13)",-34264053841424789521778913829466835*x+76581472106994569138378316849970505
"(11, 15)",57985086638565561100652122186540800*x-129658640234910762061210697691928200
"(11, 17)",-510394870295977472139918016939605960*x+1141277625081746891878192267498894040
"(11, 19)",4252571961106396431676872876992419968*x-9509039984243493029489633279661475138
"(11, 21)",-7757350958503235762169131691939610665*x+17345964068536385419163921923860787947
"(11, 23)",-11900569984503727408133430919267201920*x+26610483456343953354115616734445658260
"(12, -26)",-4748650707751220335330889076990946155505149262493538*x-10618305783934216170084792850636523597525622384306438
"(12, -24)",-1381327300296181871217839829403887058522526516870400*x-3088741742638528049654881840202708219714658634540800
"(12, -22)",619401509932155575514003600569495417591001081822870*x+1385023881574311017593244570243628701984150895960930
"(12, -20)",180652374589809871618933137400319270625006720122880*x+403950989879570559897414930755149860212639152865280
"(12, -18)",77131622376405571053034035281608055912288991552300*x+172471550848486727927138341816543497345458179979460
"(12, -16)",-7623524962108205566778961843862721788505454278400*x-17046720043440456103187388873102711629469028742400
"(12, -14)",-3471816264506649959361626941446251375696921466294*x-7763217172826259674503095337509811848895340844738
"(12, -12)",-2981713946703356531320836610678139577527035822080*x-6667315074287890166302189879324773841991607582720
"(12, -10)",-148950908227640063373188367701446951805447369760*x-333064356107335901193999675003194089485493215840
"(12, -8)",-10878829548931122759731785672867584534982790400*x-24325802387043365099248791867461868682404222720
"(12, -6)",22706367555422796480400731143451329975599149300*x+50772981376021096453432181793356593069908774300
"(12, -4)",605897782707826494025249497181108578105163776*x+1354828629551096633812495682212970194734415872
"(12, -2)",-41419853722751392432484039091433083469049790*x-92617608542170070833573661166061855867230810
"(12, 0)",1163539818228333768419746646951180427072000*x+2601754128086522550706083340821810096576000
"(12, 2)",-1218931304935868849660699542985519976575550*x-2725613257746935226792822075407536830184410
"(12, 4)",-29836348489115612257268557318348482674688*x-66716103307825323531096465262790235783168
"(12, 6)",3925397032989365550799468885225631526900*x+8777458884537934371392085463797261510300
"(12, 8)",-49057163849771885833123484400389786880*x-109697203785625268628061071428779595520
"(12, 10)",1863351271181065102058721707860140000*x+4138503206879407013518445485425977760
"(12, 12)",-562046177537763820337401077594193920
"(12, 14)",147159608723843520199179272135844042*x-325370441413818823755869366429075778
"(12, 16)",321325866225555477140689677319276800*x-718510330288743835033446405755270400
"(12, 18)",-3251048816354433385555433976196258260*x+7269566139094078236362530844238097860
"(12, 20)",-7614382661536598112523501155787407360*x+17026277237893041945192696735937658880
"(12, 22)",-26107379592801824824231178608050767850*x+58377875483895659549136570087900341730
"(12, 24)",58222066934713509647896731357758227200*x-130188499456562217750557480417442604800
"(12, 26)",200152606335214440201679653364905167646*x-447554833639294547518738969905238968198
"(13, -29)",(141693817714056513234709965875411919657707794958199867*x+316837008400094222150776738483768236006420971486980607)/2
"(13, -27)",128972188906139883772412950750165818014265562012963200*x+288390581601073023924620803935641975687667439694943390
"(13, -25)",-4673154765120210617019292170139183290790740945043380*x-10449491724185854117544763760384389912686519263163940
"(13, -23)",-33636879534412198249177771823801813189092209114915840*x-75214349189917151833817701660831833715894383062806960
"(13, -21)",7559656342997337598855267119443366697449603310491841*x+16903905469479513149682658071121474010195055699022797
"(13, -19)",-1523211535947678755515768453616856352537341109807872*x-3406004538490874243810263447221860585591239418632187
"(13, -17)",127382588242521167319972819424829392979893765778850*x+284836126460142797094394563478363663370953676288570
"(13, -15)",44059338430077772387095342179259142110783209610240*x+98519675773322763832236350956726743911428812884160
"(13, -13)",12278548066515891103841508680275164996509786065815*x+27455668141728141869428602893912276277635417041835
"(13, -11)",10298346684298091515795028815286799177280785369216*x+23027803241950098723546419030864402164791942391862
"(13, -9)",-1854955764689896941304184704718389550723758591968*x-4147807185101713664367136265236176713501235390048
"(13, -7)",82239504254214837139238752564174111045801593600*x+183893121948307521466357290476272772234060717000
"(13, -5)",-16585950730154153281876025575407043134960563190*x-37087313304086957736455904281430530531332280190
"(13, -3)",931906553300800583221540328140095113895367680*x+2083806401858120256225286837087156815861703920
"(13, -1)",-399065355415640210457121457680744780567174674*x-892337262174484299617786211981288972075038698
"(13, 1)",5585052798283516755874470539010220726952832*x+12488557714812141331410044239083272335440212
"(13, 3)",-4614036759128942150395820186785918800115800*x-10317299843919475759126612283948348650613880
"(13, 5)",-155026902318831836539927384894909858379520*x-346650695052541085302471871045622368692740
"(13, 7)",-16020115999953846886779793191479950202100*x-35822052881372617415518103637862138022500
"(13, 9)",1113891415806575431671967028131332443136*x+2490387270428786088658681048330797619392
"(13, 11)",10040697213306189212454648166393713657*x+24392896024087050531844647720844312997
"(13, 13)",2314477890855011643017575419728912810
"(13, 15)",-1863351271181065102058721707860140000*x+4138503206879407013518445485425977760
"(13, 17)",-5369058823889530489426764666934657920*x+12005742541097040440666694036627972620
"(13, 19)",(128404793777139600322098817722465857703*x-287121850339475248456446554441703261829)/2
"(13, 21)",-318634705555100715340211802047730822528*x+712488861612891944533440325939785348582
"(13, 23)",1417773073266215290754507052282164537400*x-3170236968492047085300468575374013195560
"(13, 25)",196970500382324450355365630817984203520*x-440439428417025786851372540432135392440
"(13, 27)",-5436095712869584534601109640063773560715*x+12155479546171569381102289903416516410865
"(13, 29)",-2986152136938872067784669198846010266752*x+6677239169351578707225356193679818792961
"(14, -30)",83690139746682671693383414651416082668784041131232000*x+187136841520039483690814867295831372124800714918547200
"(14, -28)",349922652004988948306516984723904527762218822260856125*x+782450836750158367559377362198253941480047673982790375
"(14, -26)",-96538481321374182296409820487817658629804285579264000*x-215866606679186392938974607109311289316815653892121600
"(14, -24)",133023982981116406418321126888981300200434259840414143*x+297450668583551408170596391589060136615149540114279757
"(14, -22)",-10452453801387491835515180917422144742931390083461120*x-23372397231578517373870815138641648114049235129118720
"(14, -20)",-6906255753641901227244234237220174479680507026741950*x-15442857335142331926074626846875619054830966715369050
"(14, -18)",-1163899474141341087319973784304033624925249705410560*x-2602558343156297342022451872494616114957617864593920
"(14, -16)",248515399168882505288655082359631795248052264356615*x+555697325997116020855115168736575739217989802506917
"(14, -14)",-20683870646783599817642405892010122145667891040000*x-46250540804020671032135817583447250834007611360000
"(14, -12)",-18924571652095090260402618569999649430943996435880*x-42316628659150122210885103019165775966991795177080
"(14, -10)",276229412758247894175993121715081470858203955200*x+617667744312289973136307492647212649291437414400
"(14, -8)",-4374779598798235386719074359432163158279193032705*x-9782304569492111599819588317654035826115712872435
"(14, -6)",-36612721801378248842815604752661450392977216000*x-81868534789170317860155342732793739142652684800
"(14, -4)",60988071651784522465488768899336723045892648093*x+136373474030018078438667801957494884387924568327
"(14, -2)",5963763371918728626284186151515909360742727680*x+13335380301333635971187639737552469000025786880
"(14, 0)",-294751967054123338216132841983904441925071250*x-659085434834853778586984677095295019777913750
"(14, 2)",-8709428113469831547434044140360367013525760*x-19474873305742139519531681278602120047371520
"(14, 4)",16095290260772811105745230054028055751072285*x+35990163152174432763459339043187956810733447
"(14, 6)",-236468118785803218998526333495296942899200*x-528758795017964346006376851721730396236800
"(14, 8)",379641982066072632486817003043159285065215*x+848904454376665867033895884525610844938765
"(14, 10)",-236448205407429497009338738375876377600*x-528662191843895890020086345684672793600
"(14, 12)",228007614686089744836844082236395587160*x+506273287871693407187964304671907837320
"(14, 14)",-3898861742442944273943644305616960000
"(14, 16)",-10040697213306189212454648166393713657*x+24392896024087050531844647720844312997
"(14, 18)",49057163849771885833123484400389786880*x-109697203785625268628061071428779595520
"(14, 20)",291094281815365844805529168527597725250*x-650906622478601608549961821135197577050
"(14, 22)",440564278092153426624578915373284720640*x-985131674247611795175772891012272005120
"(14, 24)",-5606876255459568861913952193778869306945*x+12537356448637132393776557445992483104077
"(14, 26)",4069035571847065481565894416999176665600*x-9098640141514767918015750501681624665600
"(14, 28)",-14749017168225472366285964532435064375875*x+32979804989463607486791558991023473270375
"(14, 30)",-3527486148331469731920432530658427699200*x+7887698817358072680054204507055641715200
