"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)","(120650937020597561608906184470139, 53956739349254785437069321772475)"
"(1, 1)","(-120650937020597561608906184470139, 53956739349254785437069321772475)"
"(2, -4)","(3395570185686969876877435895404394765964236, 1518545151513529616017959859164515854916950)"
"(2, -2)","(-7148839782302554797234010852934761380400, -3197058342923856996933027725403582910000)"
"(2, 0)","(0, -280736316328287087664153436758572300)"
"(2, 2)","(7148839782302554797234010852934761380400, -3197058342923856996933027725403582910000)"
"(2, 4)","(-3395570185686969876877435895404394765964236, 1518545151513529616017959859164515854916950)"
"(3, -5)","(-8833557005988303756936985009804287356782518750, -3950486789701872808344296530462626082573146450)"
"(3, -3)","(761555315392447182840012184959386575352308050, 340577890792963501007814177172155493921751250)"
"(3, -1)","(138146425253371382677399003640611533870228, 60726147256894642260860506486751907011100)"
"(3, 1)","(-138146425253371382677399003640611533870228, 60726147256894642260860506486751907011100)"
"(3, 3)","(-761555315392447182840012184959386575352308050, 340577890792963501007814177172155493921751250)"
"(3, 5)","(8833557005988303756936985009804287356782518750, -3950486789701872808344296530462626082573146450)"
"(4, -8)","(-201195181956153006487835879501332595167827052369600, -89977220719879446965715443471739645233298345020000)"
"(4, -6)","(-33190378010324074812126748513731862811304122917272, -14843188285999769601453993491902719869368912711200)"
"(4, -4)","(211137529270565975372066115388663918511228814336, 94423573616777512665573406852811502591811814400)"
"(4, -2)","(20138231657841114125436421817834781386870539400, 9004054527190445729003054577312284790051220000)"
"(4, 0)","(0, 820715026443179310567698617508306294484600000)"
"(4, 2)","(-20138231657841114125436421817834781386870539400, 9004054527190445729003054577312284790051220000)"
"(4, 4)","(-211137529270565975372066115388663918511228814336, 94423573616777512665573406852811502591811814400)"
"(4, 6)","(33190378010324074812126748513731862811304122917272, -14843188285999769601453993491902719869368912711200)"
"(4, 8)","(201195181956153006487835879501332595167827052369600, -89977220719879446965715443471739645233298345020000)"
"(5, -11)","(95564089017793348372655611032499138980921914846838889, 42737559850325407307504491871100728477164857146362375)"
"(5, -9)","(3854768509145532842693749561713817363178745428804772, 1723904884794986241012514653595788460939220133376500)"
"(5, -7)","(-64078568561343165538630244791288364879261094071023100, -28656807040808843539335797938020765472894765151012500)"
"(5, -5)","(-7204474748100827905103564751870560402251203170684375, -3221939056015788017360381408724845429980129576484375)"
"(5, -3)","(23242637503003681638533258133785448869690766975150, 10394508098760686158228125129768123019530856481250)"
"(5, -1)","(-2284257134082654368751190723700618790015445755872, -953338635296562607674421760404528028850390892000)"
"(5, 1)","(2284257134082654368751190723700618790015445755872, -953338635296562607674421760404528028850390892000)"
"(5, 3)","(-23242637503003681638533258133785448869690766975150, 10394508098760686158228125129768123019530856481250)"
"(5, 5)","(7204474748100827905103564751870560402251203170684375, -3221939056015788017360381408724845429980129576484375)"
"(5, 7)","(64078568561343165538630244791288364879261094071023100, -28656807040808843539335797938020765472894765151012500)"
"(5, 9)","(-3854768509145532842693749561713817363178745428804772, 1723904884794986241012514653595788460939220133376500)"
"(5, 11)","(-95564089017793348372655611032499138980921914846838889, 42737559850325407307504491871100728477164857146362375)"
"(6, -12)","(21433024786674990688058592122648801743195181082797848200, 9585140077288641587120720395184712313529738765894902500)"
"(6, -10)","(25824350289184609197797700687700295486210123298787500000, 11549000544276627651919327434711088876920759462702900000)"
"(6, -8)","(2662377899769205148180140516891263618550853621882756400, 1190651593135413611637742876645696229785190610544357500)"
"(6, -6)","(-4577604245071098679336432879736879648302736030726388000, -2047166853359595963407561213883199287163958075507700000)"
"(6, -4)","(-532830730779981139978802989192177225569750732855956328, -238289073668886642697761545569950862465425766687446300)"
"(6, -2)","(-8884260418869222601234216766542647077112779757460800, -3977919014990590533240994619399929326658260097560000)"
"(6, 0)","(0, -66038746319315117532171590350231805104843658325000)"
"(6, 2)","(8884260418869222601234216766542647077112779757460800, -3977919014990590533240994619399929326658260097560000)"
"(6, 4)","(532830730779981139978802989192177225569750732855956328, -238289073668886642697761545569950862465425766687446300)"
"(6, 6)","(4577604245071098679336432879736879648302736030726388000, -2047166853359595963407561213883199287163958075507700000)"
"(6, 8)","(-2662377899769205148180140516891263618550853621882756400, 1190651593135413611637742876645696229785190610544357500)"
"(6, 10)","(-25824350289184609197797700687700295486210123298787500000, 11549000544276627651919327434711088876920759462702900000)"
"(6, 12)","(-21433024786674990688058592122648801743195181082797848200, 9585140077288641587120720395184712313529738765894902500)"
"(7, -15)","(-248609447574481853560767904783883597916237427302118556250, -111181524925042327088507839622117310358535092841365291050)"
"(7, -13)","(566701341543501979940012080028841677389880753341373523100, 253436544526319204244931064734710080771742316970111072500)"
"(7, -11)","(2146343086114622720470954050645253596104888247225547044128, 959873808717796275146004275488169097402580711101854874400)"
"(7, -9)","(2304423105574022071945831540242097515169335474252548662422, 1030569342596920642788101649293015560862590743373669672650)"
"(7, -7)","(241875243719565305162440854950119919089016836971562035250, 108169897413942376474938305939001001005319998055516131250)"
"(7, -5)","(-119535736423843238162337971637050182504228270369146225000, -53458008717996073159455594408225292493807407801903884600)"
"(7, -3)","(-13769344066928092579506642922582879161998120040373295700, -6157789969572617062929453085590846638621083249877782500)"
"(7, -1)","(-838558349327657197241194907759293960365695432145013022, -382551295808411144000579170130397016828280319735232850)"
"(7, 1)","(838558349327657197241194907759293960365695432145013022, -382551295808411144000579170130397016828280319735232850)"
"(7, 3)","(13769344066928092579506642922582879161998120040373295700, -6157789969572617062929453085590846638621083249877782500)"
"(7, 5)","(119535736423843238162337971637050182504228270369146225000, -53458008717996073159455594408225292493807407801903884600)"
"(7, 7)","(-241875243719565305162440854950119919089016836971562035250, 108169897413942376474938305939001001005319998055516131250)"
"(7, 9)","(-2304423105574022071945831540242097515169335474252548662422, 1030569342596920642788101649293015560862590743373669672650)"
"(7, 11)","(-2146343086114622720470954050645253596104888247225547044128, 959873808717796275146004275488169097402580711101854874400)"
"(7, 13)","(-566701341543501979940012080028841677389880753341373523100, 253436544526319204244931064734710080771742316970111072500)"
"(7, 15)","(248609447574481853560767904783883597916237427302118556250, -111181524925042327088507839622117310358535092841365291050)"
"(8, -16)","(5942202499002132610625692797304254630786477372547615985664, 2657433744767578953661126111033989920545814843156484556800)"
"(8, -14)","(-62141225764959110910199963489472666592424794462834148544128, -27790401003121988196048035462092262552701803477597610590400)"
"(8, -12)","(-149681251288464881439572706940693633680106004657978922460800, -66939490567647091885664186245791062473164240737327494080000)"
"(8, -10)","(-70519413346349358549287164762160385780378341780576680950000, -31537240395172416264054789329043307740304428285071950490400)"
"(8, -8)","(22993328185675440861803859718017610399112798394789303500800, 10282928971157181649232149160676624604010691993783224320000)"
"(8, -6)","(6681596756309227383476098521074316438471231961272577346928, 2988100955319055529841225585807228247944999996191748837600)"
"(8, -4)","(-117909292476260809475207837392143434910716343637524304000, -52738124322771531193340854626644929110074016061275200000)"
"(8, -2)","(-268026247520742082265888651980916054628630324848487738400, -120213378857127492072857492965648852590569327615230240000)"
"(8, 0)","(0, -14847568645138208921532828439350401988621629317475635200)"
"(8, 2)","(268026247520742082265888651980916054628630324848487738400, -120213378857127492072857492965648852590569327615230240000)"
"(8, 4)","(117909292476260809475207837392143434910716343637524304000, -52738124322771531193340854626644929110074016061275200000)"
"(8, 6)","(-6681596756309227383476098521074316438471231961272577346928, 2988100955319055529841225585807228247944999996191748837600)"
"(8, 8)","(-22993328185675440861803859718017610399112798394789303500800, 10282928971157181649232149160676624604010691993783224320000)"
"(8, 10)","(70519413346349358549287164762160385780378341780576680950000, -31537240395172416264054789329043307740304428285071950490400)"
"(8, 12)","(149681251288464881439572706940693633680106004657978922460800, -66939490567647091885664186245791062473164240737327494080000)"
"(8, 14)","(62141225764959110910199963489472666592424794462834148544128, -27790401003121988196048035462092262552701803477597610590400)"
"(8, 16)","(-5942202499002132610625692797304254630786477372547615985664, 2657433744767578953661126111033989920545814843156484556800)"
"(9, -19)","(-934101804781608706597731391501805339702848965415138186770228, -417743026679383032958927441935453489796605995641701304088700)"
"(9, -17)","(654137714189816556200116320882606269701934893954764958649850, 292539279114951718081644031024469746800539946898433934086250)"
"(9, -15)","(-2077953568121571557523514321525278675402326535609077207812500, -929289086481614797133583124445606514346685525705481849487500)"
"(9, -13)","(1507151415706707122975947437009142903334853484741182746079300, 674018603581047836463395980494303034365622495665251692972500)"
"(9, -11)","(1455260599955027668722537004005380447461372059007229611121928, 650812325295526198315531852883248563393650739805740027259800)"
