numerator,(75025*x-167761)/2
denominator,9672000
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-12586269025*x-28143753123)/2
"(1, 1)",1
"(2, -4)",(354224848179261915075*x+792070839848372253127)/2
"(2, -2)",2728747931737729000*x+6101665868827517880
"(2, 0)",-72412004541750*x-161918164530870
"(2, 2)",-433607120
"(2, 4)",(12586269025*x-28143753123)/2
"(3, -5)",2037945578892154741843500*x+4556984848848018556937880
"(3, -3)",-779290037274750301748250*x-1742545497534686631558990
"(3, -1)",4094871565562572415700*x+9156411179729117289312
"(3, 1)",-1375076394529964850*x-3074764943113029438
"(3, 3)",123831778222260
"(3, 5)",72412004541750*x-161918164530870
"(4, -8)",-76797208125723501360677667000*x-171723777851316964683154732120
"(4, -6)",38699814667787843926840142250*x+86535416313817059858586145562
"(4, -4)",-138695292686336375236843200*x-310132102605877552343229504
"(4, -2)",-33352118965775412117647250*x-74577605201133651613173730
"(4, 0)",841985368261292455860000*x+1882736519358649565978400
"(4, 2)",-955359308517878574250*x-2136243057020564048730
"(4, 4)",22039143198170496
"(4, 6)",1375076394529964850*x-3074764943113029438
"(4, 8)",-2728747931737729000*x+6101665868827517880
"(5, -11)",-4984608338594651693107202880100*x-11145923086309929722690704506249
"(5, -9)",-115245054411586921752665059195950*x-257695775734970384240164781491938
"(5, -7)",26887363170568199849971107235500*x+60121971785114767655318074857520
"(5, -5)",(7266496881022750009221687011875*x+16248380984257070574262664200425)/2
"(5, -3)",65943647749201979531894464500*x+147454479051516536701252759530
"(5, -1)",-4885708138042792003636418700*x-10924775514889148513329338068
"(5, 1)",9686840979980602180571800*x+21660435694822575046974432
"(5, 3)",583525141813705037537625*x+1304791405010745877525155
"(5, 5)",-577335258493948329475
"(5, 7)",955359308517878574250*x-2136243057020564048730
"(5, 9)",-4094871565562572415700*x+9156411179729117289312
"(5, 11)",(-354224848179261915075*x+792070839848372253127)/2
"(6, -12)",21932146420274040213872503297284750*x+49041770288211425687640843393003510
"(6, -10)",-23696628336682069266364922194920000*x-52987271798368880198925839116521600
"(6, -8)",-16422521588620729832420833929288375*x-36721874634113788655694657795068595
"(6, -6)",1368106596982037114431772108940000*x+3059179351317743616575134716016800
"(6, -4)",-131954652239954281166461239729750*x-295059572355882667713824049799758
"(6, -2)",-4896755618268329832917007384000*x-10949478431652674479054552621440
"(6, 0)",-116093530160008444169957655000*x-259593025167253270275191818200
"(6, 2)",4266383490116090599381332000*x+9539924280093131171216878560
"(6, 4)",25612528801896074164693350*x+57292323509728093878587742
"(6, 6)",-217396687495647601483200
"(6, 8)",-583525141813705037537625*x+1304791405010745877525155
"(6, 10)",-841985368261292455860000*x+1882736519358649565978400
"(6, 12)",779290037274750301748250*x-1742545497534686631558990
"(7, -15)",-57355437250450122895884849897708750*x-128250656571230105214020495402468370
"(7, -13)",938653802301708329543338317721287500*x+2098893709285268386971709172193107520
"(7, -11)",-272624065968041591141680209812150100*x-609605943806928006520040028971813068
"(7, -9)",-720964642108530039875194546639561800*x-1612125949128480480308627122692218508
"(7, -7)",106557585574902253346323942817971250*x+238270004863732446958032637972550550
"(7, -5)",-42577560074371440788007282929844000*x-95206318642375543415689773181651440
"(7, -3)",-2577255245238185324640272215256250*x-5762917923720437045444353354631190
"(7, -1)",-193635632187167528963627349678100*x-432982436436862884855963678027888
"(7, 1)",1321616020238525688119950431450*x+2955223292175427095185313415862
"(7, 3)",-229782329324010569413593439500*x-513808498862302561139493787440
"(7, 5)",2785474670650976776357917000*x+6235276429054365217193473560
"(7, 7)",-16932354673692071880105700
"(7, 9)",-25612528801896074164693350*x+57292323509728093878587742
"(7, 11)",-9686840979980602180571800*x+21660435694822575046974432
"(7, 13)",33352118965775412117647250*x-74577605201133651613173730
"(7, 15)",-2037945578892154741843500*x+4556984848848018556937880
"(8, -16)",3903406076686478420000405674661313600*x+8728281331256722801893322177907570496
"(8, -14)",137502163668118029400961866746841171900*x+307464185015213746035128542803750811932
"(8, -12)",-120072048570625982707219137259907220000*x-268489262801576155478109194628759121440
"(8, -10)",-78436289021245195533411606417454635000*x-175388874154324703474755705026286276440
"(8, -8)",-5669475694826302505340078720058432000*x-12677333050414465145854258796499095040
"(8, -6)",-970349099525807005419643724323312800*x-2169766548445413404291727638462099328
"(8, -4)",-59400256574528629094655697018380000*x-132823011581575342721580098514546400
"(8, -2)",-51400627926661282866205998126342500*x-114935298130178350993871638702188420
"(8, 0)",-3041753023964665503071992682208000*x-6801566531867194261391010521291520
"(8, 2)",-65148894613439953119286291468500*x-145677348846890924060104572938420
"(8, 4)",3304732378928709654976422260000*x+7389615685627476153828765453600
"(8, 6)",-47058801176129833134113079600*x-105072486670948816010296949328
"(8, 8)",900898540078091570164904960
"(8, 10)",-2785474670650976776357917000*x+6235276429054365217193473560
"(8, 12)",-4266383490116090599381332000*x+9539924280093131171216878560
"(8, 14)",4885708138042792003636418700*x-10924775514889148513329338068
"(8, 16)",138695292686336375236843200*x-310132102605877552343229504
"(9, -19)",-1089158029916075340016068760575671781900*x-2435431393132094026442687007581957060688
"(9, -17)",-1855901742283614548683395099673250095875*x-4149922455306457912463431479780683037345
"(9, -15)",3267307651884738810154608451514048910000*x+7305922013019494847806646073165490056800
"(9, -13)",6466934571267591703633504001308221302250*x+14460505307397793372477572163256952806310
"(9, -11)",1323440933465814257316244218103324278000*x+2959303891435337027367238895445734850672
"(9, -9)",(-56524505181742419426092105031444398775*x-126392635980915154425968226804555952293)/2
"(9, -7)",33665425241722408333175840947850643000*x+75278179331928594395467656880810297590
"(9, -5)",21467981220923058708937529270977575000*x+48003865349672888030171778757492758600
"(9, -3)",2251995556347864848108550852447282000*x+5035615149021495142949487699374445120
"(9, -1)",-785213596684319931841449070058803125*x-1755790979035965299333210152057660023
"(9, 1)",-45798559460746657827009940697610900*x-102408692101022586696384677712506898
"(9, 3)",-1329791778067736843792755028361000*x-2973505169529355773385291095929880
"(9, 5)",10992964306513697472720117180000*x+24577604129992013766980968383600
"(9, 7)",-862782186002023975694620530375*x-1934589165691750654991478249285
"(9, 9)",4490965914479364104176384791
"(9, 11)",47058801176129833134113079600*x-105072486670948816010296949328
"(9, 13)",229782329324010569413593439500*x-513808498862302561139493787440
"(9, 15)",116093530160008444169957655000*x-259593025167253270275191818200
"(9, 17)",-65943647749201979531894464500*x+147454479051516536701252759530
"(9, 19)",-38699814667787843926840142250*x+86535416313817059858586145562
"(10, -22)",2161361666026011768051338092095866312000*x+4832951609196360054458315031725650892880
"(10, -20)",(-204506494288553780006081132639785569335625*x-457290423069378743808081588496023495018325)/2
"(10, -18)",137813081224211369970642210853863441564000*x+308159417806036559496913870295848619878560
"(10, -16)",-37195235190630470727109107917353484596450*x-83171074325342081337117597855436282209138
"(10, -14)",-93007631610410666275232031126938736360000*x-207971386707136486643583624561890997046400
"(10, -12)",24315594267004951558609528486989173254125*x+54371321694327243357358243859820480969465
"(10, -10)",845732239927663453084054705171713725000*x+1891114779241417303316169073398561207000
"(10, -8)",-3156310986539490243286967756054017284750*x-7057725924031723890694487676960500581390
"(10, -6)",-393194727051102784897371313073129640000*x-879210138080740876437433863372486189600
"(10, -4)",(596126064501781862721130153185658807025*x+1332978403385422589593717833566608354941)/2
"(10, -2)",51030117148763957128667236246751544000*x+114106810844526612354359198166603684160
"(10, 0)",-540602697351424415858694279170137500*x-1208824380011626943403804211500985500
"(10, 2)",-708958917043428330434087169409616000*x-1585280339872595270448617395341315840
"(10, 4)",(-88368958067038200577281538907956725*x-197599092065139725107766251305863809)/2
"(10, 6)",-2370446782470870649033865554290000*x-5300417662700942091113938817439600
"(10, 8)",12732443708563301750832327835250*x+28972157963179966747910239418610
"(10, 10)",-134389665157767188769279418000
"(10, 12)",862782186002023975694620530375*x-1934589165691750654991478249285
"(10, 14)",-3304732378928709654976422260000*x+7389615685627476153828765453600
"(10, 16)",-1321616020238525688119950431450*x+2955223292175427095185313415862
"(10, 18)",4896755618268329832917007384000*x-10949478431652674479054552621440
"(10, 20)",(-7266496881022750009221687011875*x+16248380984257070574262664200425)/2
"(10, 22)",76797208125723501360677667000*x-171723777851316964683154732120
"(11, -23)",-756711311200913956211157121410353142892250*x-1692057931188241627110641213772655715986230
"(11, -21)",3713699156072592271568342400398677403202600*x+8304083760961917239600183362096352858556492
"(11, -19)",5449633428092997079814518701599359870137750*x+12185750797671153584695641741576754067678362
"(11, -17)",1833534354836370631712604290841687004783000*x+4099907456495345023035274908213877863874080
"(11, -15)",-309361805551251479431435067660279975565000*x-691754026854670108307559795006264254741400
"(11, -13)",-361495063372839615736465662118731034270500*x-808327535232263784281840466684222391237640
"(11, -11)",354482864608223358082941650759210745940200*x+792647782122841785159469557467314087708344
"(11, -9)",-43694110413425208663729473264595624421500*x-97703001100800206090051171161172281489968
"(11, -7)",14749464099737621153599241592280309827750*x+32980804358706063310162381044345128534890
"(11, -5)",-10252902133730361440869602128963900505000*x-22926186137673597787219903236920558769600
"(11, -3)",210622430345597621311296575407881528750*x+470966071839999847991910075697959871650
"(11, -1)",266767343552841836158639959923260782600*x+596509914358088492573926851195272987152
"(11, 1)",19547194811309822854008433015866746500*x+43708856325129720923186205090777974652
"(11, 3)",-6475909352055943513933407334771927500*x-14480573560792311717822205799753409600
"(11, 5)",-817025899117889222379182173217737500*x-1826923820585243710598285740875332100
"(11, 7)",-27449093113002758890141091492109500*x-61380381860285928749590791149871360
"(11, 9)",-415967801883386070469480303351650*x-923189142025838875254986488508718
"(11, 11)",-56328505914519550496091775816656
"(11, 13)",-12732443708563301750832327835250*x+28972157963179966747910239418610
"(11, 15)",-10992964306513697472720117180000*x+24577604129992013766980968383600
"(11, 17)",65148894613439953119286291468500*x-145677348846890924060104572938420
"(11, 19)",193635632187167528963627349678100*x-432982436436862884855963678027888
"(11, 21)",131954652239954281166461239729750*x-295059572355882667713824049799758
"(11, 23)",-26887363170568199849971107235500*x+60121971785114767655318074857520
"(12, -26)",3243428360006404356458429021753435109036150*x+7252526293124980371762491139968613569533062
"(12, -24)",-38503654311410109414191094661404421219620000*x-86096788422465861074082365540547885518983200
"(12, -22)",72533635356940079326868105999118800589329250*x+162190139313300239685148274949678219569493810
"(12, -20)",85606346164558495569768094640652553853376000*x+191421609329331194047138124944115084514708480
"(12, -18)",37425333758929148050899360602759699768685000*x+83685590365583301965895223613852953464570120
"(12, -16)",66712875842342816382490993254998240418030000*x+149174525357982080332706503576010041850060400
"(12, -14)",11663201012909566793926404890375391430281450*x+26079710300110193598242384578451208106716282
"(12, -12)",415814114004464383158178356691542886368000*x+929788624917829652020349273372425634760960
"(12, -10)",-315472592386327748405277089639504534802000*x-705418161613911440936839667234650893885840
"(12, -8)",271116057467064902590711939558792655220000*x+606233934288096627428156418087935145516960
"(12, -6)",149928947499263524403210920765273902615000*x+335251318403350953992898767723684906482200
"(12, -4)",-11859775315773381550946963149715420812800*x-26519263803942314514450322795109691061248
"(12, -2)",-9761589693634482377264526116592191357250*x-21827578123466214398080930788941009211570
"(12, 0)",1292100738820387847117528865291759600000*x+2889225085574769551753199066580618224000
"(12, 2)",240181643474033770530244581902433213750*x+537062483306707317583099338876517163430
"(12, 4)",-6296062350082527414382489997059065600*x-14078421520803876085867886180616661248
"(12, 6)",-3856661083883822951075322815728605000*x-8623780173950548913803628087096017800
"(12, 8)",-343037465299041984907885822004052000*x-767098172480931148813149724823483040
"(12, 10)",-6763056638057681371551269904270000*x-15072524734436867422506442217385840
"(12, 12)",-66074245382573074812879801239040
"(12, 14)",415967801883386070469480303351650*x-923189142025838875254986488508718
"(12, 16)",2370446782470870649033865554290000*x-5300417662700942091113938817439600
"(12, 18)",1329791778067736843792755028361000*x-2973505169529355773385291095929880
"(12, 20)",3041753023964665503071992682208000*x-6801566531867194261391010521291520
"(12, 22)",2577255245238185324640272215256250*x-5762917923720437045444353354631190
"(12, 24)",-1368106596982037114431772108940000*x+3059179351317743616575134716016800
"(12, 26)",115245054411586921752665059195950*x-257695775734970384240164781491938
"(13, -29)",(280571172992510140037611932413038677189525*x+627376215338105766356982006981782561278127)/2
"(13, -27)",462191393247279586483149586405860360036307500*x+1033491373916254421814763705649367318652947030
"(13, -25)",1198292339312811351724964220554518441260729000*x+2679463127620689813908864712125899143603973560
"(13, -23)",1446606582735069345734358010976464596651159000*x+3234710655694288703679611976509903116882374080
"(13, -21)",1288943350067076350446403480418982495455037575*x+2882164949896290834865879825513924658804202477
"(13, -19)",1243517367850763451319515217310603137213204600*x+2780589365715918636255234176512786918074035283
"(13, -17)",772535249486688925043177956833277750792796250*x+1727441332866995950855941151015188503919722390
"(13, -15)",190022323785975423006329698633275219000408000*x+424902833227916244609439483310406430289864160
"(13, -13)",55634032061336190955170546160657899502557875*x+124401477551550472420281467128947803406715545
"(13, -11)",39188827883595857354480520430308408321221700*x+87628883106259552650016478092768232927711582
"(13, -9)",-8771392076491908214176296604579594810255600*x-19613428940338941434096436189573304140022608
"(13, -7)",-1297701799536204777079423841406041117620000*x-2901749438286756218694252852944902486342800
"(13, -5)",594338438342393311824838356996034961757000*x+1328981149774626401281123774070139549171960
"(13, -3)",85094151956788262383867457879515962312000*x+190276308262994638865551274331717987996240
"(13, -1)",-65410210257236332516953864510251971449550*x-146261676556580011040056820116668488520738
"(13, 1)",-7265006867730792741450651869023444952100*x-16245049202854975970608958921033919089488
"(13, 3)",507621810582024422059317347151485955000*x+1135076861801184991150914789254458371240
"(13, 5)",204353786389431953626134197624885286000*x+456948863383887009699038420891035296960
"(13, 7)",-17141709476463536810109791208077745000*x-38329821430793728539867972148126967800
"(13, 9)",-2556848223380997880839367410529060800*x-5715892632261845119054331974936672608
"(13, 11)",-119617699527721158029249471054989225*x-273700542517727542461124802408279043
"(13, 13)",-8840432689120307589352603427393830
"(13, 15)",6763056638057681371551269904270000*x-15072524734436867422506442217385840
"(13, 17)",27449093113002758890141091492109500*x-61380381860285928749590791149871360
"(13, 19)",(88368958067038200577281538907956725*x-197599092065139725107766251305863809)/2
"(13, 21)",45798559460746657827009940697610900*x-102408692101022586696384677712506898
"(13, 23)",51400627926661282866205998126342500*x-114935298130178350993871638702188420
"(13, 25)",42577560074371440788007282929844000*x-95206318642375543415689773181651440
"(13, 27)",16422521588620729832420833929288375*x-36721874634113788655694657795068595
"(13, 29)",4984608338594651693107202880100*x-11145923086309929722690704506249
"(14, -30)",666912057755066282372518112512670472279300000*x+1491260696154593998402649209361641691330978400
"(14, -28)",-2998930381802995043035341666252951787711713750*x-6705812193500895243494630550202205857957761950
"(14, -26)",1671746156476394692068003864280428889823000000*x+3738138047005218831364579589587259077162953600
"(14, -24)",22098857613860592967433182748485876302163298475*x+49414547849681084614529685621284458826091008727
"(14, -22)",19952764786649801150044973848393346612982312000*x+44615738402013043720276693076810085156325684160
"(14, -20)",22994164946968844017140708908080497760718707500*x+51416515907265182041464399738109733463595917900
"(14, -18)",9654632851373384056562021182293519386309616000*x+21588415353473510580730632155049403495592016960
"(14, -16)",3405679832532973823713346846780259514146321375*x+7615331615143829253353379785777993004558989707
"(14, -14)",468001340989580556641071659496830795013700000*x+1046482812013760821501846049014570804930764000
"(14, -12)",181078117052231186663110270817391800313123000*x+404902978966452770345732540544840051551121240
"(14, -10)",194872782353047347830218160347538610670080000*x+435748788305935294378582994396184119743660800
"(14, -8)",8285680422869303511695654379443951881859875*x+18527344665374956449329463484234164285051855
"(14, -6)",-10526155140483388893225887926395888805500000*x-23537198435829918826873699132792646963959200
"(14, -4)",1545525984429111763412634799651134845701350*x+3455901162175339992698113113921894990958942
"(14, -2)",1014922557617821849665208146436945643672000*x+2269435830739211647039640770251372270562560
"(14, 0)",59220316504122638171373500914974122475000*x+132420653342860618490740285064938004139000
