"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)","(635732448680106188279, 284308194097328019696)"
"(1, 1)","(-635732448680106188279, 284308194097328019696)"
"(2, -4)","(-6834096563739474569726002784759, -3056300896263837900598499494608)"
"(2, -2)","(-6834076705335794367496027194734, -3056292014747112451843673819616)"
"(2, 0)","(0, -6871582947598236570165293088)"
"(2, 2)","(6834076705335794367496027194734, -3056292014747112451843673819616)"
"(2, 4)","(6834096563739474569726002784759, -3056300896263837900598499494608)"
"(3, -5)","(82588300971000291802748408248765854720, 36934611023473708006044622574281486368)"
"(3, -3)","(691729515959463592812771106957055328, 309350843888123376010711316210959872)"
"(3, -1)","(3458617811692338357899582828312628, 1549678760024257022866475805618336)"
"(3, 1)","(-3458617811692338357899582828312628, 1549678760024257022866475805618336)"
"(3, 3)","(-691729515959463592812771106957055328, 309350843888123376010711316210959872)"
"(3, 5)","(-82588300971000291802748408248765854720, 36934611023473708006044622574281486368)"
"(4, -8)","(73466031543984741357055608481240417000814, 32855008113898742545378895859669636324768)"
"(4, -6)","(-35309518838061327801875510879587395011532, -15790896874942903800100647694091512768032)"
"(4, -4)","(-378420234648788070416455466747924772324, -169234673715736629782124255725851891776)"
"(4, -2)","(-33236020622899364930930970983154968236, -14863901929320350539928221020490841568)"
"(4, 0)","(0, -198844526782657902434639674345640640)"
"(4, 2)","(33236020622899364930930970983154968236, -14863901929320350539928221020490841568)"
"(4, 4)","(378420234648788070416455466747924772324, -169234673715736629782124255725851891776)"
"(4, 6)","(35309518838061327801875510879587395011532, -15790896874942903800100647694091512768032)"
"(4, 8)","(-73466031543984741357055608481240417000814, 32855008113898742545378895859669636324768)"
"(5, -11)","(73466245027806891602728196775931738915319, 32855103586766427430308059510477342178480)"
"(5, -9)","(-37215302695916168931138280896927826006148148, -16643189326259947771921887793953427184220960)"
"(5, -7)","(3625433527124251933504343878877588619357524, 1621343162911333759452566312439433351056480)"
"(5, -5)","(277943763524396142997296556913903532053375, 124300229809409544168695113433227358406000)"
"(5, -3)","(23776426672197686014674613300506387185454, 10633133551734596894912051308765495211520)"
"(5, -1)","(-593502522300373693894214240516294519032, -270235672025406342986884455350747939520)"
"(5, 1)","(593502522300373693894214240516294519032, -270235672025406342986884455350747939520)"
"(5, 3)","(-23776426672197686014674613300506387185454, 10633133551734596894912051308765495211520)"
"(5, 5)","(-277943763524396142997296556913903532053375, 124300229809409544168695113433227358406000)"
"(5, 7)","(-3625433527124251933504343878877588619357524, 1621343162911333759452566312439433351056480)"
"(5, 9)","(37215302695916168931138280896927826006148148, -16643189326259947771921887793953427184220960)"
"(5, 11)","(-73466245027806891602728196775931738915319, 32855103586766427430308059510477342178480)"
"(6, -12)","(-7436062635894318796897893180976049564424590688, -3325508307761192901049153437998713446673568256)"
"(6, -10)","(2389876066343955887335265778141306312004761600, 1068785068428976532183417953367840143810319040)"
"(6, -8)","(92646814221670746768345221722846927316142894, 41432914899688033621887129897288717249680832)"
"(6, -6)","(13963000171322744661273829705286645915618880, 6244443509422011771126569084071788717573120)"
"(6, -4)","(-7486864282724947501037093468180989007261328, -3348226494274036542144794792026612095428928)"
"(6, -2)","(165097313261174274333335764819503397051032, 73879050978291320148377565352155590207424)"
"(6, 0)","(0, -3997208019615055803901625658124810936320)"
"(6, 2)","(-165097313261174274333335764819503397051032, 73879050978291320148377565352155590207424)"
"(6, 4)","(7486864282724947501037093468180989007261328, -3348226494274036542144794792026612095428928)"
"(6, 6)","(-13963000171322744661273829705286645915618880, 6244443509422011771126569084071788717573120)"
"(6, 8)","(-92646814221670746768345221722846927316142894, 41432914899688033621887129897288717249680832)"
"(6, 10)","(-2389876066343955887335265778141306312004761600, 1068785068428976532183417953367840143810319040)"
"(6, 12)","(7436062635894318796897893180976049564424590688, -3325508307761192901049153437998713446673568256)"
"(7, -15)","(-887820694217084102329033470427984047657681315840, -397045484820090896552456226544601001844262219808)"
"(7, -13)","(357289422035603028580471933954620970406891334316, 159784687062643931572478472361703190816344190816)"
"(7, -11)","(57849874585140871207610438518490041588234755848, 25871250412442486729315925891712876331281927104)"
"(7, -9)","(-12026312384945997748005595333185150167197484688, -5378330402276750962447569257396990373021579456)"
"(7, -7)","(-2890524233912461079079759740543951823460825520, -1292681735287253287116088613737601108680692480)"
