numerator,(-7778742049*x+17393796001)/2
denominator,50
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(135301852344706746049*x+302544139324403592003)/2
"(1, 1)",1
"(2, -4)",(40934782466626840596168752972961528246147*x+91532956239544131967347531338448885552007)/2
"(2, -2)",118255716620706076417884492026678720*x+264427821091850501315858345362155840
"(2, 0)",-1868331953580224182686650625*x-4177717252740362855285653125
"(2, 2)",1748028050930560
"(2, 4)",(-135301852344706746049*x+302544139324403592003)/2
"(3, -5)",-565252882868210489575186732977571444929791602500*x-1263943870571044953757680511899307160526596306250
"(3, -3)",17480199129090452076306415769531434842851835*x+39086913512878872440181955749420006080981745
"(3, -1)",-968736881821186474894159382366173458492*x-2166161520063353228722124596394887288632
"(3, 1)",99105012544243902888258617512254*x+221605544959884431418441602240322
"(3, 3)",258388171723715638867830
"(3, 5)",1868331953580224182686650625*x-4177717252740362855285653125
"(4, -8)",35777574005202088708562987757714218855825670074042276160*x+80001087545661284825047678160698807099227482367812816960
"(4, -6)",29983640722931524323301091516783316074517711295446270*x+67045458869405825797285848716707176800605423730633598
"(4, -4)",120956572667510084924924755531888099459307587903488*x+270467118809945617957363713996497220926330628366336
"(4, -2)",-45748837928325563108035023229705514494484093130*x-102297511499356610715640029668592635888767759690
"(4, 0)",-3265896663308124779348203068490920855600000*x-7302766946646710204927484483684773622000000
"(4, 2)",-5266667826302987684725909640756862710*x-11776627275200783883820102865116021110
"(4, 4)",1787951466611863063785238708224
"(4, 6)",-99105012544243902888258617512254*x+221605544959884431418441602240322
"(4, 8)",-118255716620706076417884492026678720*x+264427821091850501315858345362155840
"(5, -11)",6192289264898652096246646813658390633866246890179543419008196*x+13846379732655588474662531352007366974634311884158497931104009
"(5, -9)",-293085666142397338173877171170587402064641082876707606127222*x-655359472725209006003835596011064072329315419922987830250218
"(5, -7)",-1593399484662113760870650635098376946150995795191609001260*x-3562949563017619890511709136454874115066770707538407423640
"(5, -5)",(19204232005470705101931049478264835070680955756935546875*x+42941968219909609773824080704995366417032390795306640625)/2
"(5, -3)",6408344677741245319297067057520188503641943407748140*x+14329494322678407991554952664421220404612484393487010
"(5, -1)",-7438356419619067789511937766872246271823812215408*x-16632670595140185919464456631632697886778418090832
"(5, 1)",391019455193543826861687412382952465371529728*x+874346082337697073240686999260533264690899232
"(5, 3)",-8638433620538257848578486690265945900465*x-19316124699916531712166267191933570056635
"(5, 5)",141936209095972583715468020310546875
"(5, 7)",5266667826302987684725909640756862710*x-11776627275200783883820102865116021110
"(5, 9)",968736881821186474894159382366173458492*x-2166161520063353228722124596394887288632
"(5, 11)",(-40934782466626840596168752972961528246147*x+91532956239544131967347531338448885552007)/2
"(6, -12)",5288531800729860062951541803013841112475569591888750102319875505*x+11825516607601339017594184026587843685162575684151412267032117405
"(6, -10)",-988077895122998111763500946411740672855914885618316998622400000*x-2209409340559931705177970029907094869319362385651019771244000000
"(6, -8)",-2613507458428394155399016430695071175748774366452374900233255*x-5843980336748595017632740485690839135833540070209322536576915
"(6, -6)",30555878413502055318130766244230981720547521581335953577600*x+68325021244809023516354569291780662602906942656665622627200
"(6, -4)",89639949948889060709242223184616015267405972495419598845*x+200441021585394738748634229574479107128905565276811628777
"(6, -2)",-1693379243394436835143134667624255531464193074134315520*x-3786511099917122484974493430612852121538408442909393920
"(6, 0)",-482754877658592081736866368941380738615929761893750*x-1079472722914206406629744909119411595308617101468750
"(6, 2)",173238341915163368763323685337339149836903082240*x+387372708831631366795607264503770714412854040320
"(6, 4)",-23908302487623756083898007082635879955292231*x-53460588263917491136262225122846172270848347
"(6, 6)",451669772201717484043857907536347884800
"(6, 8)",8638433620538257848578486690265945900465*x-19316124699916531712166267191933570056635
"(6, 10)",3265896663308124779348203068490920855600000*x-7302766946646710204927484483684773622000000
"(6, 12)",-17480199129090452076306415769531434842851835*x+39086913512878872440181955749420006080981745
"(7, -15)",-171013946948000658631791849971796020834662439866626465273042868156875*x-382398810476272165568334170913833730087856715079580203150156553265625
"(7, -13)",-13841042796116888556122517816335743060956028266804211521358732102100*x-30949512571601125026280969349604423775057481598556288412029993737960
"(7, -11)",118300644530627903826119601656408617640619131367346635870285349776*x+264528282952522694663193908914136627038764236812895215143332132528
"(7, -9)",-7233316709185676697139280533000989094465445560703643290540029848*x-16174187864524250571663585207673273750781321295076337447686597818
"(7, -7)",-71835388486681005475230994478513701195980504431871639715273925*x-160628811846324474360519042658540084680458931602197801777776975
"(7, -5)",-828065441478248919061957852828314825612729731396647582395000*x-1851610616963738525552651226142616816560201903362530751600000
"(7, -3)",8047346043530442041593866417314951741891301578491431598350*x+17994412791798050109858191235215419322830315831498389634770
