numerator,1
denominator,30000
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-9015562034791*x-20159409565159)/2
"(1, 1)",(9015562034791*x-20159409565159)/2
"(2, -4)",1363802728170805923976030246670791*x+3049555608089589464359187644694318
"(2, -2)",-25025746441000471484648387720*x-55959270229750484344514566280
"(2, 0)",-1413358273356760546140
"(2, 2)",25025746441000471484648387720*x-55959270229750484344514566280
"(2, 4)",-1363802728170805923976030246670791*x+3049555608089589464359187644694318
"(3, -5)",95614996205943045011757715817791763600430*x+213801631184873129962593583465884008259210
"(3, -3)",13070259191080168436932240959059866110*x+29225988034796669554496295844668123390
"(3, -1)",-82115904632818197688238794909638*x-183617169937584825089424615798834
"(3, 1)",82115904632818197688238794909638*x-183617169937584825089424615798834
"(3, 3)",-13070259191080168436932240959059866110*x+29225988034796669554496295844668123390
"(3, 5)",-95614996205943045011757715817791763600430*x+213801631184873129962593583465884008259210
"(4, -8)",7571392917943243981908818696681083856345987015440*x+16930149248881580739297698294160325654932136025120
"(4, -6)",28761433620611512168427601923533540732951940976*x+64312520706035237694904819417392372036508261596
"(4, -4)",28347097708558210094615639564170297927948032*x+63386037441164679790430642043690515875354368
"(4, -2)",19592108339473397846885729058689030049040*x+43809286058629211409325273540896252268580
"(4, 0)",-743283136163943084025096168703217600
"(4, 2)",-19592108339473397846885729058689030049040*x+43809286058629211409325273540896252268580
"(4, 4)",-28347097708558210094615639564170297927948032*x+63386037441164679790430642043690515875354368
"(4, 6)",-28761433620611512168427601923533540732951940976*x+64312520706035237694904819417392372036508261596
"(4, 8)",-7571392917943243981908818696681083856345987015440*x+16930149248881580739297698294160325654932136025120
"(5, -11)",(-825221045205420054015055934148375262473046449680533955*x-1845250353542746145270354719142451152072251968839112749)/2
"(5, -9)",24843714453414407798094177186865150860725331956365890*x+55552234331428648092085658060958433395183936350862906
"(5, -7)",742389928123231710812144324976416532939666519993350*x+1660034345094728975091898825585449395887308492524530
"(5, -5)",(778828515930914419934748092100876409968440978725*x+1741513504436802546264027175395362411291124847525)/2
"(5, -3)",-6261049822857482904440561480143436859637987275*x-14000133014487237255310921544949286987212237405
"(5, -1)",4425715467926011401851003384248770292082180*x+9894313994665193772749312517134286023628916
"(5, 1)",-4425715467926011401851003384248770292082180*x+9894313994665193772749312517134286023628916
"(5, 3)",6261049822857482904440561480143436859637987275*x-14000133014487237255310921544949286987212237405
"(5, 5)",(-778828515930914419934748092100876409968440978725*x+1741513504436802546264027175395362411291124847525)/2
"(5, 7)",-742389928123231710812144324976416532939666519993350*x+1660034345094728975091898825585449395887308492524530
"(5, 9)",-24843714453414407798094177186865150860725331956365890*x+55552234331428648092085658060958433395183936350862906
"(5, 11)",(825221045205420054015055934148375262473046449680533955*x-1845250353542746145270354719142451152072251968839112749)/2
"(6, -12)",-3954330317712225069710202161587306206307639281041186852220*x-8842151395892875928786559950269219932696309668993889373560
"(6, -10)",50283792569782193075677871399589236703489045446193631200*x+112437978352531821224107730751152279923241729951864426400
"(6, -8)",4389794704067096971084170205792328652369331195614000510*x+9815879365562601358839300731703214719259924057901419920
"(6, -6)",-69870899741592982273342656957852816939066526138797600*x-156236081471274398398003928397936666535851650918522400
"(6, -4)",108296119379985921539378978078346391943620253227956*x+242157484633132600440748620893097283049430358881936
"(6, -2)",1052854707561853852238789816788577428312620586080*x+2354255160991311307655064301659951500753573905440
"(6, 0)",-5259405484007150941352348219130613211053861200
"(6, 2)",-1052854707561853852238789816788577428312620586080*x+2354255160991311307655064301659951500753573905440
"(6, 4)",-108296119379985921539378978078346391943620253227956*x+242157484633132600440748620893097283049430358881936
"(6, 6)",69870899741592982273342656957852816939066526138797600*x-156236081471274398398003928397936666535851650918522400
"(6, 8)",-4389794704067096971084170205792328652369331195614000510*x+9815879365562601358839300731703214719259924057901419920
"(6, 10)",-50283792569782193075677871399589236703489045446193631200*x+112437978352531821224107730751152279923241729951864426400
"(6, 12)",3954330317712225069710202161587306206307639281041186852220*x-8842151395892875928786559950269219932696309668993889373560
"(7, -15)",-28927756733633153454681623546550204379825773147217720035361290*x-64684430492981008061241442234313316655022527396959686346551490
"(7, -13)",-5927477554374059257104366993629425453673675389700912721833770*x-13254242746684602391684287064950225423787061204395497988690270
"(7, -11)",127632990009805687830027336652616304469295349849950520826828*x+285396041833477067877978627036608475592836428996899977187676
"(7, -9)",-3497684700531086198112674768952935061611810942531173917498*x-7821060754248503515239872980758428834893974565463197014294
"(7, -7)",53162012770021797859691818871267100423822250334693573450*x+118873874374480634008067995028004562792096882271409279050
"(7, -5)",-387078201484853130378802827079646060545792459218259560*x-865533171128402076247136116185362273619511665052515480
"(7, -3)",13200799151342770175476963836749698996701810946191390*x+29517884353593817524506925154717858127372677067196390
"(7, -1)",-20445468603374625752390162785195445357088076410022*x-45763705652074012288433081191742019886908500976034
"(7, 1)",20445468603374625752390162785195445357088076410022*x-45763705652074012288433081191742019886908500976034
"(7, 3)",-13200799151342770175476963836749698996701810946191390*x+29517884353593817524506925154717858127372677067196390
"(7, 5)",387078201484853130378802827079646060545792459218259560*x-865533171128402076247136116185362273619511665052515480
"(7, 7)",-53162012770021797859691818871267100423822250334693573450*x+118873874374480634008067995028004562792096882271409279050
"(7, 9)",3497684700531086198112674768952935061611810942531173917498*x-7821060754248503515239872980758428834893974565463197014294
"(7, 11)",-127632990009805687830027336652616304469295349849950520826828*x+285396041833477067877978627036608475592836428996899977187676
"(7, 13)",5927477554374059257104366993629425453673675389700912721833770*x-13254242746684602391684287064950225423787061204395497988690270
"(7, 15)",28927756733633153454681623546550204379825773147217720035361290*x-64684430492981008061241442234313316655022527396959686346551490
"(8, -16)",-8576248278580516923944543899077327790167911804849287365986840064*x-19177074142821589433220393973635713732976065440921895315591273472
"(8, -14)",-1338846644148365424567800833234176734382322684480264711545979712*x-2993752107763216120587421036205256198281308753124340983514346424
"(8, -12)",-31420631249894450065863390174631785783167236086384612079244160*x-70258667370718172175672009819027530953906517508443312270103360
"(8, -10)",-6058542815244688653671945501303388494581408976784408496480080*x-13547313579480072992124204091744555175776684498695360335342880
"(8, -8)",46649231960429268741438281890301688245689923597644125429760*x+104310853761675624484791742774994315239753246965998977802240
"(8, -6)",3614705006965544175670087866344150329057549873968651735312*x+8082726114183810914540474234849534359311668119980141073296
"(8, -4)",-3121521134403384569027834924485884155292413010803926400*x-6979933435852137042422347889649543682962355647776132800
"(8, -2)",-96510844988298018865665712007792793799412220261018080*x-215815784525462109937513205052766108739753794421725880
"(8, 0)",-6825698990517321815588512399708815635091443612989440
"(8, 2)",96510844988298018865665712007792793799412220261018080*x-215815784525462109937513205052766108739753794421725880
"(8, 4)",3121521134403384569027834924485884155292413010803926400*x-6979933435852137042422347889649543682962355647776132800
"(8, 6)",-3614705006965544175670087866344150329057549873968651735312*x+8082726114183810914540474234849534359311668119980141073296
"(8, 8)",-46649231960429268741438281890301688245689923597644125429760*x+104310853761675624484791742774994315239753246965998977802240
"(8, 10)",6058542815244688653671945501303388494581408976784408496480080*x-13547313579480072992124204091744555175776684498695360335342880
"(8, 12)",31420631249894450065863390174631785783167236086384612079244160*x-70258667370718172175672009819027530953906517508443312270103360
"(8, 14)",1338846644148365424567800833234176734382322684480264711545979712*x-2993752107763216120587421036205256198281308753124340983514346424
"(8, 16)",8576248278580516923944543899077327790167911804849287365986840064*x-19177074142821589433220393973635713732976065440921895315591273472
"(9, -19)",-8701603180483874980167175892641656593233951295799460390424036524566*x-19457376224790315819870468026504485869534045853659573070102961817954
"(9, -17)",1894243929928016531979970354405329214774520317392393758434819762335*x+4235658193285393280950651537576938267255998082365415112442494052295
"(9, -15)",355803652109038227076443504519014493776463991907665086164647199400*x+795601152758495891103341111548979627612573403432712659191295991800
"(9, -13)",-6350382236986775667121283645733752886865850983247455523914054470*x-14199886365009609652038543899803804060957988627393721467116439310
"(9, -11)",-224797648115669286225720428260680565267221102395872843285748784*x-502662822368714031157007300621089291934307648506336157176770224
"(9, -9)",(74853053007356866291024729617107479378076137189110394725538719*x+167376514847845018761171372557253226895578046454060500820780831)/2
"(9, -7)",3547974606408982991926075229683423993045876096168459716105*x+7933512402373669382796312214746444187396803866596661952135
"(9, -5)",-6648108115685240048946315639349758925998604448820394127400*x-14865621668000538735412540051652664699433045689659718479400
"(9, -3)",253742209765888175231181338943664805241857631646308207960*x+567384006945801849087703508294520650841913188134282390280
"(9, -1)",7145778281162602183532901741844789090913331889475872641*x+16064799210567321742017858614871171285008027774049640041
"(9, 1)",-7145778281162602183532901741844789090913331889475872641*x+16064799210567321742017858614871171285008027774049640041
"(9, 3)",-253742209765888175231181338943664805241857631646308207960*x+567384006945801849087703508294520650841913188134282390280
"(9, 5)",6648108115685240048946315639349758925998604448820394127400*x-14865621668000538735412540051652664699433045689659718479400
"(9, 7)",-3547974606408982991926075229683423993045876096168459716105*x+7933512402373669382796312214746444187396803866596661952135
"(9, 9)",(-74853053007356866291024729617107479378076137189110394725538719*x+167376514847845018761171372557253226895578046454060500820780831)/2
"(9, 11)",224797648115669286225720428260680565267221102395872843285748784*x-502662822368714031157007300621089291934307648506336157176770224
"(9, 13)",6350382236986775667121283645733752886865850983247455523914054470*x-14199886365009609652038543899803804060957988627393721467116439310
"(9, 15)",-355803652109038227076443504519014493776463991907665086164647199400*x+795601152758495891103341111548979627612573403432712659191295991800
"(9, 17)",-1894243929928016531979970354405329214774520317392393758434819762335*x+4235658193285393280950651537576938267255998082365415112442494052295
"(9, 19)",8701603180483874980167175892641656593233951295799460390424036524566*x-19457376224790315819870468026504485869534045853659573070102961817954
"(10, -22)",-2290680553846023460420398907711914206530799839486926939851648773138600*x-5122117433136575787213882817301338079406773599112801440941982124549080
"(10, -20)",-117815001516810527391709158204921435065926811503350527866661231078725*x-263442352160829171317615252736567855792981470201080556938863404595050
"(10, -18)",-318535052753578961854201469353644297571414592981587420847047140362400*x-712266031173484126054475796939830368922141936782924643981152792092960
"(10, -16)",3128721595723734171509626956238311445454226404543107851077422467800*x+6996034170709884936248893079385130097443053572562763325427627270356
"(10, -14)",-938730224663698403880911242775287285136933254241420735101570636000*x-2099064594881679289298903369034952861060173171260958097676043984800
"(10, -12)",-8280338613864342259533288214674276974096925351311785216205028150*x-18515400017317051870698626326894192868150731535896066325851340340
"(10, -10)",4185467570843297399431290531968479821992172498633102294899327000*x+9358990006026529766456031370223741813888838706756637002765823000
"(10, -8)",479622104455308053022450722798590408764730216052221288388545600*x+1072467629073573394213921268258951214806292023299529974936045940
"(10, -6)",12991094445806329309437253394784800345303919149611993930014000*x+29048970282843616766530807293062438662545314514709821343294800
"(10, -4)",-371364829827406619608898470576514736878841056190684214082075*x-830397036409737572172044849738154246050256370508394930799646
"(10, -2)",4248982733267031335299636229244606884335291243905712011200*x+9510533876231944344892207481000444219850188628363102965440
"(10, 0)",-116849440587032001432805784692829973740548316743382751000
"(10, 2)",-4248982733267031335299636229244606884335291243905712011200*x+9510533876231944344892207481000444219850188628363102965440
"(10, 4)",371364829827406619608898470576514736878841056190684214082075*x-830397036409737572172044849738154246050256370508394930799646
"(10, 6)",-12991094445806329309437253394784800345303919149611993930014000*x+29048970282843616766530807293062438662545314514709821343294800
