numerator,1
denominator,-143100
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",25248145020566181702208465616606215598662107052824484321033264866191865007007204522529148497034491706981213913848321793717012692921412902821564755252596248333*x+56456568571758808048216060369305223267279803853578089919290955190125672011875686776213929183702884302506981106319053082945310245959862778048529125862325880649
"(1, 1)",-25248145020566181702208465616606215598662107052824484321033264866191865007007204522529148497034491706981213913848321793717012692921412902821564755252596248333*x+56456568571758808048216060369305223267279803853578089919290955190125672011875686776213929183702884302506981106319053082945310245959862778048529125862325880649
"(2, -4)",137070520534072062779093100002768983199726143598307755471979478215247394979728726191334770492878961642020337835008091658356536242787051190557035732127505328606177589055687015903664*x+306499001625465910835034987678138189417530126779723179126112418174853783270988509083965351273112131506771721084866061149521814048664223713844889594728806363150713220092413019884894
"(2, -2)",(4477380466140738584939373965052129653289034449282516574773324138400152748894084973137362456602779668787256767580558460832160960885304200212856029193086417326371553854944158885*x+10011727083420386948795761116387236840956837417352327184885688205456036347664957824928320063604088924601885398640438380792010604708982279602880408329718767015199475374080475905)/2
"(2, 0)",19266047199092506160603614494416923120089966204161591688152246245006263921406347845391760408495020767758008681786973806906118754243400257321384247459734913567110775930
"(2, 2)",(-4477380466140738584939373965052129653289034449282516574773324138400152748894084973137362456602779668787256767580558460832160960885304200212856029193086417326371553854944158885*x+10011727083420386948795761116387236840956837417352327184885688205456036347664957824928320063604088924601885398640438380792010604708982279602880408329718767015199475374080475905)/2
"(2, 4)",-137070520534072062779093100002768983199726143598307755471979478215247394979728726191334770492878961642020337835008091658356536242787051190557035732127505328606177589055687015903664*x+306499001625465910835034987678138189417530126779723179126112418174853783270988509083965351273112131506771721084866061149521814048664223713844889594728806363150713220092413019884894
"(3, -5)",23387952766355501134939105440839666309758647215474670065326721279221775573713368110752514596980871429616823457249878765424790021494986949001379947773284340311278202128900181495793278878145*x+52297052240125156898353398898970397758410923649777347375354406922259380189780909579192132381896002127549819517743427580792206562219412241078595399799930755450258225980485028200890646000755
"(3, -3)",1057306819855970560283642766320082637135936252965431350687331098934293180139806960006467592242112650202871188028642890913502489564013453477179210135425211524990759378321689428835783035*x+2364209922272074576613036993728757679631344676035877042262724443794917692529549163979226679657300514436683095258053056150728418077565579557070988526787516238664714330015814248495005855
"(3, -1)",9159988444070873859554219732389050689853425817126729164764390963299196059501377565183704903149498780975861157269013918038098532828542255234240290036144112883146091645564586882118*x+20482335548197918988314073383684689375299065824485897708512458254592945451098988436880555136831226787989844847321567276215758534595919453545733580213537717011240872736390060318338
"(3, 1)",-9159988444070873859554219732389050689853425817126729164764390963299196059501377565183704903149498780975861157269013918038098532828542255234240290036144112883146091645564586882118*x+20482335548197918988314073383684689375299065824485897708512458254592945451098988436880555136831226787989844847321567276215758534595919453545733580213537717011240872736390060318338
"(3, 3)",-1057306819855970560283642766320082637135936252965431350687331098934293180139806960006467592242112650202871188028642890913502489564013453477179210135425211524990759378321689428835783035*x+2364209922272074576613036993728757679631344676035877042262724443794917692529549163979226679657300514436683095258053056150728418077565579557070988526787516238664714330015814248495005855
"(3, 5)",-23387952766355501134939105440839666309758647215474670065326721279221775573713368110752514596980871429616823457249878765424790021494986949001379947773284340311278202128900181495793278878145*x+52297052240125156898353398898970397758410923649777347375354406922259380189780909579192132381896002127549819517743427580792206562219412241078595399799930755450258225980485028200890646000755
"(4, -8)",12153702195212494957902168134110950527395077808430111512995294976211493649499879567267267097568237522216201232450090592263943341183446341010564644535295836399238647573947787313215240577652455318040*x+27176504286783557816031761689849257438165302292031341886376581729601088851710017031061404177828676185160731937527259263565358365775653478542937423234827309821307130813979978732238976567033559100215
"(4, -6)",-25839894139179516963003735322621448415089500320380988393132253206756857247016281708807016760398504443216263481438216623994119892941363759435154624936191122871841188792714684908941670359641816856*x-57779759826603811782366663043219950587054601325641566565644412998162665358688663670114768735364263460908861442007828035068225468335410438843200178702513633010277903531847516284027663718635993452
"(4, -4)",27965101689491178130401647268541505220846456932146643160994918617300283128798968931060891991055932275500260173924832597811039332324352820240167053709090459372941634145745093039888371812812308*x+62531868375396490524859355689339303596003712826700438205386215574606939168542911905871693314284486932202115872709130191603770495999622414753538823181091388668171286846331385351414087734696324
"(4, -2)",1805139548152820388433552335199102233549667654015105066359699262360365000213416221269089700089869396876861471854387301669536055313295681916501018842465330264430263483424455663145631878440*x+4036414739502602369318892502441079818498366650982956386941790567838385105504738529197456930919245764988374138705556515248266938620353334532189057478873701454812857221679805305599873675060
"(4, 0)",186108096673810736931417554941599495560981048858852391730158081739440205736074455696683503714721329817874378252586308050816954252617810242216783821228220326397861138619292231545534050
"(4, 2)",-1805139548152820388433552335199102233549667654015105066359699262360365000213416221269089700089869396876861471854387301669536055313295681916501018842465330264430263483424455663145631878440*x+4036414739502602369318892502441079818498366650982956386941790567838385105504738529197456930919245764988374138705556515248266938620353334532189057478873701454812857221679805305599873675060
"(4, 4)",-27965101689491178130401647268541505220846456932146643160994918617300283128798968931060891991055932275500260173924832597811039332324352820240167053709090459372941634145745093039888371812812308*x+62531868375396490524859355689339303596003712826700438205386215574606939168542911905871693314284486932202115872709130191603770495999622414753538823181091388668171286846331385351414087734696324
"(4, 6)",25839894139179516963003735322621448415089500320380988393132253206756857247016281708807016760398504443216263481438216623994119892941363759435154624936191122871841188792714684908941670359641816856*x-57779759826603811782366663043219950587054601325641566565644412998162665358688663670114768735364263460908861442007828035068225468335410438843200178702513633010277903531847516284027663718635993452
"(4, 8)",-12153702195212494957902168134110950527395077808430111512995294976211493649499879567267267097568237522216201232450090592263943341183446341010564644535295836399238647573947787313215240577652455318040*x+27176504286783557816031761689849257438165302292031341886376581729601088851710017031061404177828676185160731937527259263565358365775653478542937423234827309821307130813979978732238976567033559100215
"(5, -11)",744146850557821640708141180437599019012705845880421119383432322201379339844862646467915633530789024478859497277051728427930451714916955770849330905119994907243055166720613607642686337570778458815413315*x+1663962943089666486189210501920805752786158926859110510874066955815795521036183595708895738990824112672695353125694191663623780835792096311999293648231978328122180007070856767601494501439233515849919609
"(5, -9)",49728949619179958144657788511992361488120143817334804923669129844510113164512420022589763248116102922963661885517589109421390674658114144753847919316569445197575624343076498128670557466131244619739970*x+111197311798148666040386658323548505832700667937153037751490151518413760580192659751277939365273768199010487538679182592290966511876764020882031505562921286171763625429899139590940298906416427570383818
"(5, -7)",1164953003206428389340905927849116143232899475488551706612675146076335978990790782964119006397468449682089845528174297874072048434634372974698271830595769199274874259583622685432566803880833497506550*x+2604914105762104349752383845608836108577898214111187582734872870445083263977557554394897005986134487010729963942243626035157083191058407065045488278684178152803092881124641126301050074605586930299410
"(5, -5)",-3300327663046868542026771452971054026774189622201385956290548246861525707097052086330792573502836956982916723630129809505545500198003930240953418164510502177940383086421104008528623805493121390425*x-7379757002595818757722453039075529904162692176443662725084500709622645145424894521201498310001224858315026407357618496204651245670561283470384922153523959815209154862325644242092629372708061967525
"(5, -3)",4252174247751300219264859432160372003614282749762289360015856666915855592179291523649583617375971590799226403076808615764715969206663640252495809720092257975709111496630215086373557947244202550*x+9508150670146620818715188358503846132501040134807836790486699473500132994977793545425056558296448913337664594817194067587910524158098005049486665526372798143346007660521562436086820681164882690
"(5, -1)",3636203928844726147196745839405445626136611147867539546417576278234445358173539174313967070528530794170908649110855292437900403792314903470465970358527474932528808186140306903136052240484380*x+8131183255558853813069810586909800288432241282393666024558256682361665779940353328997926902928598721809653117288730170098046770291889519105831709015192506988800609209364201928674915901122668
"(5, 1)",-3636203928844726147196745839405445626136611147867539546417576278234445358173539174313967070528530794170908649110855292437900403792314903470465970358527474932528808186140306903136052240484380*x+8131183255558853813069810586909800288432241282393666024558256682361665779940353328997926902928598721809653117288730170098046770291889519105831709015192506988800609209364201928674915901122668
"(5, 3)",-4252174247751300219264859432160372003614282749762289360015856666915855592179291523649583617375971590799226403076808615764715969206663640252495809720092257975709111496630215086373557947244202550*x+9508150670146620818715188358503846132501040134807836790486699473500132994977793545425056558296448913337664594817194067587910524158098005049486665526372798143346007660521562436086820681164882690
"(5, 5)",3300327663046868542026771452971054026774189622201385956290548246861525707097052086330792573502836956982916723630129809505545500198003930240953418164510502177940383086421104008528623805493121390425*x-7379757002595818757722453039075529904162692176443662725084500709622645145424894521201498310001224858315026407357618496204651245670561283470384922153523959815209154862325644242092629372708061967525
"(5, 7)",-1164953003206428389340905927849116143232899475488551706612675146076335978990790782964119006397468449682089845528174297874072048434634372974698271830595769199274874259583622685432566803880833497506550*x+2604914105762104349752383845608836108577898214111187582734872870445083263977557554394897005986134487010729963942243626035157083191058407065045488278684178152803092881124641126301050074605586930299410
"(5, 9)",-49728949619179958144657788511992361488120143817334804923669129844510113164512420022589763248116102922963661885517589109421390674658114144753847919316569445197575624343076498128670557466131244619739970*x+111197311798148666040386658323548505832700667937153037751490151518413760580192659751277939365273768199010487538679182592290966511876764020882031505562921286171763625429899139590940298906416427570383818
"(5, 11)",-744146850557821640708141180437599019012705845880421119383432322201379339844862646467915633530789024478859497277051728427930451714916955770849330905119994907243055166720613607642686337570778458815413315*x+1663962943089666486189210501920805752786158926859110510874066955815795521036183595708895738990824112672695353125694191663623780835792096311999293648231978328122180007070856767601494501439233515849919609
"(6, -12)",5740049260800401296665676136647837805711050729542843718753915030831984830254482042311146624038253881576838845212075452716525426775781844258178938502743293672492966281035522876071709104632250448583506979280*x+12835140341347116205652529579689800762720578077957156142588954298407260094776144857357116789203433491468955096553979777956086358057404947818768277949696906028390719654166110627223096238383204690353212930130
