numerator,(-433494437*x+969323029)/2
denominator,44
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(420196140727489673*x+939587134549734843)/2
"(1, 1)",1
"(2, -4)",(394810887814999156320699623170776339*x+882823983411381527490828321608234647)/2
"(2, -2)",-2140439526790626082027579990400*x-4786168283631322187079729206400
"(2, 0)",88314705710251000201875*x+197477685381010082559375
"(2, 2)",-10187811449600
"(2, 4)",(-420196140727489673*x+939587134549734843)/2
"(3, -5)",82979361276897842666843895473071721632500*x+185547492544657325668521828617434971243750
"(3, -3)",42377569937456429107679891635143743175*x+94759127101404086774053563932373263925
"(3, -1)",1719546750438825939381392084449356*x+3845023424470081128890834354270688
"(3, 1)",-8742332006958511022247753042*x-19548448649423210628430160478
"(3, 3)",201703756079661889950
"(3, 5)",-88314705710251000201875*x+197477685381010082559375
"(4, -8)",-2011129441654194765689181915210820321292485507200*x-4497022143089976596362498966934162011175007145600
"(4, -6)",-8214182679698860394849949657062318261562193050*x-18367470851408033600053734219188966493192405642
"(4, -4)",-43215809051755271699326949062361690629177344*x-96633486742375514773852949897358172417327104
"(4, -2)",-48389379088046653343731450702269881812650*x-108201941029879098107781125706260664777850
"(4, 0)",-899733570002949639946514036388000000*x-2011865424165161057511441896820000000
"(4, 2)",-257495217718132440451997505489550*x-575776810929170474803730010405150
"(4, 4)",-205693507688744215384621056
"(4, 6)",8742332006958511022247753042*x-19548448649423210628430160478
"(4, 8)",2140439526790626082027579990400*x-4786168283631322187079729206400
"(5, -11)",185479615385565940463726659027500998744886089090395052*x+414745028442641308156470011207091076576950472312985289
"(5, -9)",1615664003969124469591859338116206508340891214358066*x+3612734541674452345224425605834651409222823477342462
"(5, -7)",-241939193824429551730293009506892699868659289203300*x-540992483812921797147565009965047914718302836863600
"(5, -5)",(-2318777788431710766445075370932049241835501953125*x-5184944759649930743094579021679261338506068359375)/2
"(5, -3)",1582373477261459212245989430301829056474673700*x+3538294660949340560601336386767724353673596650
"(5, -1)",6765367811433757482710081747145839027867184*x+15127822319154860688454658267176214157398608
"(5, 1)",2025335563397265431780565209254421741536*x+4528787997004152608729896821947589672192
"(5, 3)",376153373196347602456476747848333175*x+841104519964475116199323856829787725
"(5, 5)",-5518322430132718939872361328125
"(5, 7)",257495217718132440451997505489550*x-575776810929170474803730010405150
"(5, 9)",-1719546750438825939381392084449356*x+3845023424470081128890834354270688
"(5, 11)",(-394810887814999156320699623170776339*x+882823983411381527490828321608234647)/2
"(6, -12)",39817419506715672231448256645746318650133069386740946525*x+89034456705642387127827714419997077109766263731545548825
"(6, -10)",-845378086897274717490811636596425694129567503472000000*x-1890322868991030541754282659896232938220523002440000000
"(6, -8)",353428871655146755879326116904283124188753532244990225*x+790290982231956756523960208356432244733883629052605525
"(6, -6)",-431734692215043364364351911292204692460066856480000*x-965388120037786215472934826833917938316037635680000
"(6, -4)",-39713765108394844134174124265039573473094225282175*x-88802678424830175447122943777947283034235970692163
"(6, -2)",-17518418072243144729611221819139959168146457600*x-39172373667796493337554935582935937864069324800
"(6, 0)",17813407858827590810731597507459194033656250*x+39831990883267470366498779529185345590781250
"(6, 2)",89065230116696465464623458769160829683200*x+199155908972511441676313200191733808908800
"(6, 4)",-116246120309323361483613389173070104587*x-259934416157158147077007069080855370767
"(6, 6)",-2054919835615705012129385171520000
"(6, 8)",-376153373196347602456476747848333175*x+841104519964475116199323856829787725
"(6, 10)",899733570002949639946514036388000000*x-2011865424165161057511441896820000000
"(6, 12)",-42377569937456429107679891635143743175*x+94759127101404086774053563932373263925
"(7, -15)",77966340288927670545918487638435163200209264164131090995625*x+174338036842922865320071924382279624361888313510882338421875
"(7, -13)",-45466038039978616389362961041094897350973552119003208653500*x-101665151724983487221950734733125027164878824046896989222400
"(7, -11)",1902979238514116223818297474390171336799587826802107406032*x+4255190937088349766426190284896925882464170764184733187248
"(7, -9)",-109223398797725981788083416032702288159308650525353307016*x-244230944445284097623112099522026524171244059096332842418
"(7, -7)",-2028366223945742992240604967520982414982537315540366625*x-4535564760007243029693841106949341289033435532126687875
"(7, -5)",-3452830979132251759903700667635494629192322948365000*x-7720764784156872755035255636808093192523095940150000
"(7, -3)",-1536585397348818505467284372809713811810076744315250*x-3435909401705483308108129708309414390323471994729950
"(7, -1)",-9147982591947463270402933092816048371395385442268*x-20455510932579248127881447564859530921688880148922
"(7, 1)",-34441098214350579113561796398560550706886269291*x-77012636827034561369277304762153609969456898713
"(7, 3)",-44111832319246115344749990856608076973775300*x-98637055685220176416766167555446018366790800
"(7, 5)",722815002696509890115538643689655372500*x+1616247046808691035115491974975513387500
"(7, 7)",-9654378169366395338687576646733155250
"(7, 9)",116246120309323361483613389173070104587*x-259934416157158147077007069080855370767
"(7, 11)",-2025335563397265431780565209254421741536*x+4528787997004152608729896821947589672192
"(7, 13)",48389379088046653343731450702269881812650*x-108201941029879098107781125706260664777850
"(7, 15)",-82979361276897842666843895473071721632500*x+185547492544657325668521828617434971243750
"(8, -16)",-40605018194187229409546580960520251718129798633937474422996992*x-90795580909818400941001536392752591104291778927741966612463616
"(8, -14)",6356652556120055035688435871927570841435237628507749442833648*x+14213907224832239883982343695462994655636421232639425467626352
"(8, -12)",83684544353342059410724293990203079485862477937275545280000*x+187124329840169024992048940653488668865336350655335238643200
"(8, -10)",679144224362193459229964420480555729549513859602445652500*x+1518612652200233329375002916247601619763872729017650812500
"(8, -8)",1102708462231991780340586893485494857531965366798699724800*x+2465731080914993092513558426312233707225445705168243916800
"(8, -6)",-51930019219978024780555700572579213932668293197872969844*x-116119053048741468395988424928422814000535802167632777652
"(8, -4)",492981870312236501434229397852203062640154472117440000*x+1102340973693146291406174247321019287025887670471360000
"(8, -2)",2575987755147763180956532771474809563098874787745000*x+5760083729717482290217719822409745785841418462426600
"(8, 0)",-18165761598040696773111914683236208125826375680000*x-40619877796274208557712220585246785566258995200000
"(8, 2)",443581630213683231695744862026251331617060733400*x+991878678727982530796414053165814590508031549400
"(8, 4)",2623312727286034462366050385617076343151680000*x+5865905586798377377835708912792714304805440000
"(8, 6)",131810032025744583718356715264114499943348*x+294489021349173881036817432536182287988212
"(8, 8)",5248541599277241692168034175644021555200
"(8, 10)",-722815002696509890115538643689655372500*x+1616247046808691035115491974975513387500
"(8, 12)",-89065230116696465464623458769160829683200*x+199155908972511441676313200191733808908800
"(8, 14)",-6765367811433757482710081747145839027867184*x+15127822319154860688454658267176214157398608
"(8, 16)",43215809051755271699326949062361690629177344*x-96633486742375514773852949897358172417327104
"(9, -19)",-7717940366686314647260744864765221549317808694381632808829688108*x-17257839306200252859656062061069753184761808360776387083967023728
"(9, -17)",1486777761287594464981799262182694368173945846798595427794062275*x+3324536141674016476450086935407604773375644156680208370803288225
"(9, -15)",16737248846641543640360997802508496025666844347145249343375000*x+37425626177420444251847001137992016876111231855501027125312500
"(9, -13)",-41446910130115427169218973458359899475659517806510556407093150*x-92678108508262748637795000716380432469459724861086584857114450
"(9, -11)",123795080276758156868670964272602001919394529551814048704520*x+276814214778874717536047980014313798581348536573156142448368
"(9, -9)",(-390399748575793763354703690847336165679476431393499010534853*x-872960376214301563412682710769705064245004704963619754282223)/2
"(9, -7)",11226702544984071262248827776249050214360041457340775430200*x+25103670053754273981234259165346714450400327533981557162050
"(9, -5)",-101699119203652573257781253819135232151976188776856687500*x-227406143791221432407245111222113551193690396646195312500
"(9, -3)",346839038318088184200792966132310124290341704020372200*x+775555666929899506217309143187505822197718859966785600
"(9, -1)",296449924173785154067852878798140427191070784476913455*x+662882182377241783497326636546160127944756424331213973
"(9, 1)",1019163201735163296130519208358087557118745800894132*x+2278918199246158159537203403803528557324974155155082
"(9, 3)",-1763361202698980499599462890401988256466581727900*x-3942995518119055182337061688153029153259275396100
"(9, 5)",-20340471207199848930320939752066188224222625000*x-45482676797731537238461995989136661939166250000
"(9, 7)",110492346412783073270981823973234715654025525*x+247121833106260585999712284421789830960342575
"(9, 9)",-929089324570879862044528621053674904557661
"(9, 11)",-131810032025744583718356715264114499943348*x+294489021349173881036817432536182287988212
"(9, 13)",44111832319246115344749990856608076973775300*x-98637055685220176416766167555446018366790800
"(9, 15)",-17813407858827590810731597507459194033656250*x+39831990883267470366498779529185345590781250
"(9, 17)",-1582373477261459212245989430301829056474673700*x+3538294660949340560601336386767724353673596650
"(9, 19)",8214182679698860394849949657062318261562193050*x-18367470851408033600053734219188966493192405642
"(10, -22)",-1889631349292473006832146390325129876288585727882892360152787379200*x-4225344149432618776102407048494642786660646397282359322030564934400
"(10, -20)",(-2178693777890122417236465470601124233045589033216829791777365234375*x-4871707389518142063612553205932112749881218079407403745593560546875)/2
"(10, -18)",-16460080238343226116195471603812966360993369413505152708912473600*x-36805858328036393958486975068705678191305056060109220543852915200
"(10, -16)",-32360412781967659168147976713431273281038686411974935656929048581*x-72360082760432766595521308603381858334393937257187659862377808137
"(10, -14)",2464830888951516999306474613417163097840583522746777402103680000*x+5511529420736827349409371429282253241379730000079145033474560000
"(10, -12)",103828413858208505557588982158561037698664961251268055079297775*x+232167391382935429307191321446936838429706325876876533136678675
"(10, -10)",11811635451031374687052365176758249144781363058905018750000000*x+26411619793952542256172994146377972641651372295360456250000000
"(10, -8)",53135064755396015193429294346698677367846669180145172945775*x+118813616781918725410213864079722053929716122329662121321675
"(10, -6)",-16120922629187659415323087649709555245374645733283995520000*x-36047478858878241768863977502173316106092627772082203840000
"(10, -4)",(-6158992544652519923280419076680649642173387768141938494517*x-13771926002757443406880094427397671469693378664120696889969)/2
"(10, -2)",-68924291650080128274303444860924350969103830623309926400*x-154119401430600315117331306024793130453527155133502156800
"(10, 0)",-989360002257127309024475345542896967953754885253906250*x-2212276219266282035598320439452277680653969152832031250
"(10, 2)",-20633736842060727439224329953601617697847632690585600*x-46138438208689956445964151756464306633480368329523200
"(10, 4)",(-1177729493292554439060176602391568094714199352717153*x-2633483206137849185459605835488841230504996136687581)/2
"(10, 6)",-3832179642255411853207602897405420884540520480000*x-8569014258804391374069762024388942543092536160000
"(10, 8)",-2673107683455887315098490930843425055896788025*x-5976997585374016047770316395932749741774392925
"(10, 10)",56219628436290610063210416701260137500000000
"(10, 12)",-110492346412783073270981823973234715654025525*x+247121833106260585999712284421789830960342575
"(10, 14)",-2623312727286034462366050385617076343151680000*x+5865905586798377377835708912792714304805440000
"(10, 16)",34441098214350579113561796398560550706886269291*x-77012636827034561369277304762153609969456898713
"(10, 18)",17518418072243144729611221819139959168146457600*x-39172373667796493337554935582935937864069324800
"(10, 20)",(2318777788431710766445075370932049241835501953125*x-5184944759649930743094579021679261338506068359375)/2
"(10, 22)",2011129441654194765689181915210820321292485507200*x-4497022143089976596362498966934162011175007145600
"(11, -23)",-227322953860768666427790098967829070782889706027016884860870215092350*x-508309577678727001701086588317935308372498819788712597368335748009650
"(11, -21)",-37314542760377951367207694497374318493980372918331181585326174428112*x-83437854161527745466932919090791271952535117936382697335169972764642
"(11, -19)",-8595326750478773266793571813290360428117054364253921037648570813215*x-19219734902892910067280218727049562709605542582321243383091995390533
"(11, -17)",416783592871377289083821230497644803464587092473852992871901601200*x+931956445566996381354914616483210484631105294616581592229993317600
"(11, -15)",-19111645158663411170961820160945493945251682662734412328279562500*x-42734937736626141172700038352041859030189220550008737348453437500
"(11, -13)",-2511564453576441414491868502733179693740619144231777193954709300*x-5616028848069037804326892694892236692645387656965593048166507450
"(11, -11)",-67228942702485948728388911819128473849591517147019523987185064*x-150328485938197001107199500410364014064151075335718368711173624
"(11, -9)",-177929055571011736029557568705802538962217563329127657176757260*x-397861463429119901093077751265546609573927151347145075902619728
"(11, -7)",5331930332764282463086606135981991774137958802716685696028350*x+11922558675354009747377769626295420368281493843857140412100050
"(11, -5)",148563795639298559711003535004469434626526492464220116750000*x+332198746044858406431956928436773438002517610303042257187500
"(11, -3)",11571269051452625746946870681856214082258171144424807142125*x+25874144184987582811609013307692411658444855367013928327375
"(11, -1)",1578109703079543996853464477073450228377509055306730030248*x+3528760572037869584704442389988383904762185368125501828368
"(11, 1)",36835489656345280838133163112299117391803434173284456300*x+82366658856078423040949670963311425625897516802053640852
"(11, 3)",217549304671853982201749652391054080713969248055068500*x+486455033704133159318048175147350268911834524922175750
"(11, 5)",665150554181137261673329207105369887668756677218750*x+1487321855127796303117646758264856566814969660156250
