"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)","(-24953282, -11159447)"
"(1, 1)","(-24953282, 11159447)"
"(2, -4)","(14948876908818278, 6685340991078919)"
"(2, -2)","(720217654232830, 322091127767305)"
"(2, 0)",350783074890
"(2, 2)","(720217654232830, -322091127767305)"
"(2, 4)","(14948876908818278, -6685340991078919)"
"(3, -5)","(-210145222559269146420, -93979800557869627440)"
"(3, -3)","(6845838334472822760, 3061551985991972460)"
"(3, -1)","(-20964261581162604, -9424044913702032)"
"(3, 1)","(-20964261581162604, 9424044913702032)"
"(3, 3)","(6845838334472822760, -3061551985991972460)"
"(3, 5)","(-210145222559269146420, 93979800557869627440)"
"(4, -8)","(-431464087997900200228570, -192956606122651197304985)"
"(4, -6)","(-32512816408851772283124, -14540173526032662977856)"
"(4, -4)","(201850985704613479548, 90270505373537307858)"
"(4, -2)","(-114987707357461418380, -51422013766867043360)"
"(4, 0)",-3838105635219680850
"(4, 2)","(-114987707357461418380, 51422013766867043360)"
"(4, 4)","(201850985704613479548, -90270505373537307858)"
"(4, 6)","(-32512816408851772283124, 14540173526032662977856)"
"(4, 8)","(-431464087997900200228570, 192956606122651197304985)"
"(5, -11)","(-8955492125724254346583402, -4005017833016705153461735)"
"(5, -9)","(12591668976225451512964236, 5631165556203058575164640)"
"(5, -7)","(1374587048117065150285420, 614734016115934719729200)"
"(5, -5)","(1425738150165252620620550, 637609486505509690525925)"
"(5, -3)","(272826936722777530680, 121639838350686709950)"
"(5, -1)","(-80378742731177028584, -11335674878135516800)"
"(5, 1)","(-80378742731177028584, 11335674878135516800)"
"(5, 3)","(272826936722777530680, -121639838350686709950)"
"(5, 5)","(1425738150165252620620550, -637609486505509690525925)"
"(5, 7)","(1374587048117065150285420, -614734016115934719729200)"
"(5, 9)","(12591668976225451512964236, -5631165556203058575164640)"
"(5, 11)","(-8955492125724254346583402, 4005017833016705153461735)"
"(6, -12)","(-4101167718126367481888618040, -1834097960971650826870149420)"
"(6, -10)","(2299311513738652242508431300, 1028283369233513600272431600)"
"(6, -8)","(-249211848920248557975413520, -111450926996816261622975090)"
"(6, -6)","(-34644428259684123464771400, -15493459377778330423491900)"
"(6, -4)","(1894313107217731111640496, 847153643126978525541444)"
"(6, -2)","(-187570814621617122406740, -84122900529677754460920)"
"(6, 0)",-42977449950383989276200
"(6, 2)","(-187570814621617122406740, 84122900529677754460920)"
"(6, 4)","(1894313107217731111640496, -847153643126978525541444)"
"(6, 6)","(-34644428259684123464771400, 15493459377778330423491900)"
"(6, 8)","(-249211848920248557975413520, 111450926996816261622975090)"
"(6, 10)","(2299311513738652242508431300, -1028283369233513600272431600)"
"(6, 12)","(-4101167718126367481888618040, 1834097960971650826870149420)"
"(7, -15)","(125892660523410243178415560980, 56300909359729911637635220320)"
"(7, -13)","(68884837673310577302129658220, 30806235931312180317719431280)"
"(7, -11)","(16483957304273815980956436776, 7371849814112087355341163232)"
"(7, -9)","(-5982897666284217865544246784, -2675633176844444329052560092)"
"(7, -7)","(-1313570103959508401203813000, -587446411094164853716985500)"
"(7, -5)","(98081001289235548631446560, 43863125224421261573682480)"
"(7, -3)","(-20614273245459440746679340, -9220235080466849998865760)"
"(7, -1)","(-3294139953693883968283204, -1581148423336018899786808)"
"(7, 1)","(-3294139953693883968283204, 1581148423336018899786808)"
"(7, 3)","(-20614273245459440746679340, 9220235080466849998865760)"
"(7, 5)","(98081001289235548631446560, -43863125224421261573682480)"
"(7, 7)","(-1313570103959508401203813000, 587446411094164853716985500)"
"(7, 9)","(-5982897666284217865544246784, 2675633176844444329052560092)"
"(7, 11)","(16483957304273815980956436776, -7371849814112087355341163232)"
"(7, 13)","(68884837673310577302129658220, -30806235931312180317719431280)"
"(7, 15)","(125892660523410243178415560980, -56300909359729911637635220320)"
