numerator,5473*x-12238
denominator,19800
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-133957148*x-299537289
"(1, 1)",1
"(2, -4)",80250321908183544*x+179445175002939041
"(2, -2)",522753034783720*x+1168911321220710
"(2, 0)",790255336260*x+1767064645560
"(2, 2)",-3902390
"(2, 4)",133957148*x-299537289
"(3, -5)",-473421881291952262020*x-1058603508604641219240
"(3, -3)",8423620851478893840*x+18835788840591466620
"(3, -1)",25283217345271428*x+56534992674132912
"(3, 1)",-27357752176284*x-61173982318848
"(3, 3)",-62882951580
"(3, 5)",-790255336260*x+1767064645560
"(4, -8)",-313168053711276380270160*x-700265056479719284207990
"(4, -6)",16389359123253264179580*x+36647721107250652913232
"(4, -4)",-11530514477682392148528*x-25783014187643310734004
"(4, -2)",-503747759392256421180*x-1126414233514216123360
"(4, 0)",-9266896301584061400*x-20721410001605288400
"(4, 2)",-10366652177603740*x-23176778454002160
"(4, 4)",86076141884436
"(4, 6)",27357752176284*x-61173982318848
"(4, 8)",-522753034783720*x+1168911321220710
"(5, -11)",-48075927731509211234387284*x-107501042489021854447262409
"(5, -9)",-15146532761628118776733668*x-33868676878428091789992288
"(5, -7)",6209894030811349335300540*x+13885745185964350629211840
"(5, -5)",2406654057609335741023700*x+5381442071140169757548475
"(5, -3)",-95586667626990508248540*x-213738286556630356974390
"(5, -1)",-1818300196925508162888*x-4065842843705745636128
"(5, 1)",-16201413429689287688*x-36227448186618040128
"(5, 3)",143041011383631660*x+320562986555209110
"(5, 5)",-17965850225546275
"(5, 7)",10366652177603740*x-23176778454002160
"(5, 9)",-25283217345271428*x+56534992674132912
"(5, 11)",-80250321908183544*x+179445175002939041
"(6, -12)",-5046377106831719003104799520*x-11284042250974442072894634780
"(6, -10)",5551561981974336013147027800*x+12413669972998077472403583600
"(6, -8)",-85787820198969323330188020*x-191827397606424940918031190
"(6, -6)",-193136438483025321509877600*x-431866205380250983870021800
"(6, -4)",10249203314759890620392520*x+22917915327019115284196772
"(6, -2)",682754103157341850087080*x+1526684586589383643540320
"(6, 0)",-102076063845325939090800*x-228249016871752026784800
"(6, 2)",-1696361745181533081240*x-3793185273465872753280
"(6, 4)",23297414694508752024*x+52018091897471233692
"(6, 6)",1441777772717476200
"(6, 8)",-143041011383631660*x+320562986555209110
"(6, 10)",9266896301584061400*x-20721410001605288400
