numerator,-5473*x+12238
denominator,950400
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-133957148*x-299537289
"(1, 1)",1
"(2, -4)",80250321908183544*x+179445175002939041
"(2, -2)",3863297356890400*x+8638595507302200
"(2, 0)",-1176783224760*x-2631367276560
"(2, 2)",-28839800
"(2, 4)",133957148*x-299537289
"(3, -5)",704980912593792926520*x+1576385243399558568240
"(3, -3)",-227526103005707095200*x-508763832976380288600
"(3, -1)",-841309927510450392*x-1881226188047539548
"(3, 1)",-1506743321378184*x-3369174210804708
"(3, 3)",1698499157400
"(3, 5)",1176783224760*x-2631367276560
"(4, -8)",-2314403233767631772251200*x-5175162958049761354631800
"(4, -6)",902650778099026447755960*x+2018388499772501533052772
"(4, -4)",496483588121362525549632*x+1110171052752373720955376
"(4, -2)",22679116256609393315400*x+50712045619393102499300
"(4, 0)",35762012375402196000*x+79966290416621976000
"(4, 2)",812503951737954200*x+1816644766795998300
"(4, 4)",-3706286641167984
"(4, 6)",1506743321378184*x-3369174210804708
"(4, 8)",-3863297356890400*x+8638595507302200
"(5, -11)",-48075927731509211234387284*x-107501042489021854447262409
"(5, -9)",504007389789026915855956392*x+1126994784730497572867215452
"(5, -7)",-486727782894490669555012200*x-1088356409089840486763716700
"(5, -5)",-273822305104771212789208300*x-612285287969956108979877525
"(5, -3)",-3075139976363172014820300*x-6876222027476023258046550
"(5, -1)",-1313712663353895879441648*x-2937550817915785593958808
"(5, 1)",-32929676970014126452688*x-73632986375098866508008
"(5, 3)",117089269643405072700*x+261842522505420280950
"(5, 5)",2044103724160887725
"(5, 7)",-812503951737954200*x+1816644766795998300
"(5, 9)",841309927510450392*x-1881226188047539548
"(5, 11)",-80250321908183544*x+179445175002939041
"(6, -12)",136305104142128509648545825600*x+304787478541987503662064053400
"(6, -10)",-21424112436462835773571092000*x-47905771765529544874348104000
"(6, -8)",-70148279939927467582826640900*x-156856322450362681499504642550
"(6, -6)",-14994201689487712429146864000*x-33528054246036718994930052000
"(6, -4)",-4460103916233922910359053360*x-9973095543411999922485714168
"(6, -2)",-207562404650145187449938400*x-464123646372413319760569600
"(6, 0)",-28026367294088378624058000*x-62668862222739553736748000
"(6, 2)",183551287186574918503200*x+410434704975442881398400
"(6, 4)",-10659811533519372268176*x-23802768211257315475848
"(6, 6)",111932822647789668000
"(6, 8)",-117089269643405072700*x+261842522505420280950
"(6, 10)",-35762012375402196000*x+79966290416621976000
"(6, 12)",227526103005707095200*x-508763832976380288600
"(7, -15)",-422336142710181381697570783800*x-944372324455017832023294926160
"(7, -13)",-13586482000840399507307537947000*x-30380297328956488140645688793700
"(7, -11)",19727331020774868104786821124016*x+44111653177092921077348820179432
"(7, -9)",6381561992086416873472080976368*x+14269606416934203118028995506312
"(7, -7)",-779576390415002947848028948000*x-1743185802621862089251160939000
"(7, -5)",-332690268207350492350372352880*x-743918055164273476151182606320
"(7, -3)",65255755256443013668958907000*x+145916304676655673148110063900
"(7, -1)",-2157706235938769890462989064*x-4824777814431173859553211808
"(7, 1)",-616620210466209891027603912*x-1378804690795236256632038848
"(7, 3)",-21416055551111294958634200*x-47888243161227459636587100
"(7, 5)",90005812666047607433040*x+203742672906391775135280
"(7, 7)",5819595311293152851000
"(7, 9)",10659811533519372268176*x-23802768211257315475848
"(7, 11)",32929676970014126452688*x-73632986375098866508008
"(7, 13)",-22679116256609393315400*x+50712045619393102499300
"(7, 15)",-704980912593792926520*x+1576385243399558568240
"(8, -16)",-297430696037731067778660008455296*x-665075254935444021673344992863344
"(8, -14)",787011859379061561662430024771856*x+1759812016670087080614451118491032
"(8, -12)",-109961117475058826712876381588000*x-245880533556071572123530769305600
"(8, -10)",-54252884508666875843208473610000*x-121313137736824412715687576305520
"(8, -8)",35443490659097607232998114972800*x+79254054473621075128884101810400
"(8, -6)",6556737284932002795400216646448*x+14661310279715379288584462691072
"(8, -4)",-193950176709231867012401772000*x-433685779366758027652115824000
"(8, -2)",197845811106638828461525558000*x+442396682774666477241821152200
"(8, 0)",97301552342456106419619723840*x+217572884627622479510927495040
"(8, 2)",-10266363363019861427253663600*x-22956287838359347958901465800
"(8, 4)",-426103326920784214966156000*x-952794556581301001370144000
"(8, 6)",-1794562441014918704783184*x-4061710135899303859332288
"(8, 8)",-264588274595825280133600
"(8, 10)",-90005812666047607433040*x+203742672906391775135280
"(8, 12)",-183551287186574918503200*x+410434704975442881398400
"(8, 14)",1313712663353895879441648*x-2937550817915785593958808
"(8, 16)",-496483588121362525549632*x+1110171052752373720955376
"(9, -19)",-540755133971045909893497462606696*x-1209165238741264448548768226825508
"(9, -17)",1842238183630814338789524373406100*x+4119369809344241195909916625324950
"(9, -15)",16789884131552630024823388373466000*x+37543322252496702381490184929092000
"(9, -13)",12829879697461812901390979780274600*x+28688483146669049688127302182679900
"(9, -11)",1081633474330594317567692752942800*x+2418605975342482730734677332683392
"(9, -9)",182422495894587251079660287910012*x+407909101445473405886214938537841
"(9, -7)",421733798659912511658914960383800*x+943025442212778052227536553499350
"(9, -5)",26851041648976764809463022530000*x+60040754393854277723503972554000
"(9, -3)",-42353809835723985129161716630800*x-94705997898416097829151748265200
"(9, -1)",3937180589453051070788632539780*x+8803803424533133446455337581202
"(9, 1)",1765097122532006351227847524524*x+3946877123479498150591562295822
"(9, 3)",-48483675383255985355906251600*x-108412477781676108262223749200
"(9, 5)",-8598016423369415621994822000*x-19225949639321971662843906000
"(9, 7)",-530313903563857616494335600*x-1188966211726045864595250150
"(9, 9)",-1361797400274506076224169
"(9, 11)",1794562441014918704783184*x-4061710135899303859332288
"(9, 13)",21416055551111294958634200*x-47888243161227459636587100
"(9, 15)",28026367294088378624058000*x-62668862222739553736748000
"(9, 17)",3075139976363172014820300*x-6876222027476023258046550
"(9, 19)",-902650778099026447755960*x+2018388499772501533052772
"(10, -22)",1386500140591179350157482393103200*x+3100308565174892477888158423078200
"(10, -20)",164039981877628060088243165276597400*x+366804550506209930621538414620171725
"(10, -18)",124345359974634517097489318024498400*x+278044677589964305672166851278230400
"(10, -16)",369401490213609637788017909469560072*x+826006843107354459283312233698417952
"(10, -14)",255267476809288133778044177580396000*x+570795430590419386844824090715056000
"(10, -12)",318119311783710610165088853920760600*x+711336406103826799888817087862187350
"(10, -10)",55379684147986747686855892468580000*x+123832738327365891740602263073815000
"(10, -8)",17415002446508493945935317327055400*x+38941129298718186554585397294232400
"(10, -6)",126248475043202518945879761204000*x+282300172252754206193097101154000
"(10, -4)",1175023208808483200932848819011248*x+2627431770030885742399843266948483
"(10, -2)",-100823611615606002376380882369600*x-225448449332465623864772832281600
"(10, 0)",-39866843401683351109662242286000*x-89144971596893997968216064516000
"(10, 2)",3072066737017019143907588862400*x+6869350808041728962706659078400
"(10, 4)",644652243722126606059440820188*x+1441477467175430342922909520933
"(10, 6)",-62648203611263566643812836000*x-140086584397220384383500546000
"(10, 8)",-6534545828622481388284384600*x-14741692953916465685321967600
"(10, 10)",-413413430897967069938335000
"(10, 12)",530313903563857616494335600*x-1188966211726045864595250150
"(10, 14)",426103326920784214966156000*x-952794556581301001370144000
"(10, 16)",616620210466209891027603912*x-1378804690795236256632038848
"(10, 18)",207562404650145187449938400*x-464123646372413319760569600
"(10, 20)",273822305104771212789208300*x-612285287969956108979877525
"(10, 22)",2314403233767631772251200*x-5175162958049761354631800
"(11, -23)",291586241138392615576102429761897400*x+652006656489091551878643400968054300
"(11, -21)",2671934871453974056996348200749213904*x+5974628004023248336467373183538696952
"(11, -19)",1292626952126366795502011507106811080*x+2890401734502922480751707889054255872
"(11, -17)",6150317497141595396789294681649518800*x+13752528006814975816167579725895280200
"(11, -15)",5150879911508750978617964970857646000*x+11517717626071668525768447762849114000
"(11, -13)",3932095287150181852945257165561754200*x+8792432356074361941131153136805440400
"(11, -11)",1491498112676845255553501179698466368*x+3335091168258066832842753100604832624
"(11, -9)",540596880844802774531437742407136520*x+1208811373993333532876336849623101012
"(11, -7)",45895158145548880947920321457953400*x+102624693451547919417732583146381100
"(11, -5)",6425142770249490373149908897262000*x+14367055999376826342628401482856000
"(11, -3)",2181032306038658717210502558765000*x+4876936497695414408809652360208000
"(11, -1)",1860846537433446032811086369074464*x+4160979355863368881941455431888072
"(11, 1)",-330482530500788212487415994650560*x-738981417467266852867624252973448
"(11, 3)",-36148125532795526264901078699000*x-80829682232093792914846785012000
"(11, 5)",5672765855150615240478348030000*x+12684642108391347106946426496000
"(11, 7)",343745590525812561810247229800*x+768295896637486119112049678100
"(11, 9)",-78254053214429901479029739496*x-179016978130624811033578411668
"(11, 11)",-11134143529816305551335724016
"(11, 13)",6534545828622481388284384600*x-14741692953916465685321967600
"(11, 15)",8598016423369415621994822000*x-19225949639321971662843906000
"(11, 17)",10266363363019861427253663600*x-22956287838359347958901465800
"(11, 19)",2157706235938769890462989064*x-4824777814431173859553211808
"(11, 21)",4460103916233922910359053360*x-9973095543411999922485714168
"(11, 23)",486727782894490669555012200*x-1088356409089840486763716700
"(12, -26)",-301938014346742807805738656813352184*x-675153925070623675314225158894439708
"(12, -24)",8982645049576738359676512450823392000*x+20085804948605555492459482393628388000
"(12, -22)",-39093064042346296250330900205324880200*x-87414748647439035599348740568808947100
"(12, -20)",-58290886311000251094400670560304815680*x-130342384260108508683945014990612588160
"(12, -18)",29045295016303231969078588323115194000*x+64947254082989889105971835045316102800
"(12, -16)",37531072389350840436435996917444412000*x+83922029131053933393337186660618434000
