"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)","(199, 89)"
"(1, 1)","(-199, 89)"
"(2, -4)","(7881196, 3524578)"
"(2, -2)","(748240, 334640)"
"(2, 0)","(0, -81060)"
"(2, 2)","(-748240, 334640)"
"(2, 4)","(-7881196, 3524578)"
"(3, -5)","(-3589134150, -1605109590)"
"(3, -3)","(-1014297030, -453630330)"
"(3, -1)","(-134421132, -58002876)"
"(3, 1)","(134421132, -58002876)"
"(3, 3)","(1014297030, -453630330)"
"(3, 5)","(3589134150, -1605109590)"
"(4, -8)","(29633296960, 13252413280)"
"(4, -6)","(93517703208, 41822385312)"
"(4, -4)","(-50605273344, -22632509184)"
"(4, -2)","(-14982221240, -6621214880)"
"(4, 0)","(0, -304785600)"
"(4, 2)","(14982221240, -6621214880)"
"(4, 4)","(50605273344, -22632509184)"
"(4, 6)","(-93517703208, 41822385312)"
"(4, 8)","(-29633296960, 13252413280)"
"(5, -11)","(312119004989, 139583862445)"
"(5, -9)","(-5229962387388, -2338910283540)"
"(5, -7)","(3499612034660, 1565073744500)"
"(5, -5)","(419867886125, 187780109875)"
"(5, -3)","(236327295510, 104788407750)"
"(5, -1)","(-116911117792, -37709301280)"
"(5, 1)","(116911117792, -37709301280)"
"(5, 3)","(-236327295510, 104788407750)"
"(5, 5)","(-419867886125, 187780109875)"
"(5, 7)","(-3499612034660, 1565073744500)"
"(5, 9)","(5229962387388, -2338910283540)"
"(5, 11)","(-312119004989, 139583862445)"
"(6, -12)","(-40170219576120, -17964668328660)"
"(6, -10)","(-13495144404000, -6035212058400)"
"(6, -8)","(-39866217890640, -17828709327180)"
"(6, -6)","(-3813756832800, -1705650040800)"
"(6, -4)","(5853071508312, 2622506420268)"
"(6, -2)","(-505423456320, -218090813760)"
"(6, 0)","(0, 413160388200)"
"(6, 2)","(505423456320, -218090813760)"
"(6, 4)","(-5853071508312, 2622506420268)"
"(6, 6)","(3813756832800, -1705650040800)"
"(6, 8)","(39866217890640, -17828709327180)"
"(6, 10)","(13495144404000, -6035212058400)"
"(6, 12)","(40170219576120, -17964668328660)"
"(7, -15)","(-142140479742450, -63567155011710)"
"(7, -13)","(-589841295733060, -263785046637140)"
"(7, -11)","(645341911533088, 288605674311136)"
"(7, -9)","(218432551576302, 97686139079886)"
"(7, -7)","(148774355005850, 66537274349350)"
"(7, -5)","(-42648546061800, -19019218203720)"
"(7, -3)","(-7727962161780, -3097984810620)"
"(7, -1)","(-8498723046982, -4733572886294)"
"(7, 1)","(8498723046982, -4733572886294)"
"(7, 3)","(7727962161780, -3097984810620)"
"(7, 5)","(42648546061800, -19019218203720)"
"(7, 7)","(-148774355005850, 66537274349350)"
"(7, 9)","(-218432551576302, 97686139079886)"
"(7, 11)","(-645341911533088, 288605674311136)"
"(7, 13)","(589841295733060, -263785046637140)"
"(7, 15)","(142140479742450, -63567155011710)"
"(8, -16)","(-2004171245515776, -896292628704768)"
"(8, -14)","(-3984689086383488, -1782007132902976)"
"(8, -12)","(351626564062080, 157252168773120)"
"(8, -10)","(2381750827520400, 1065150389308320)"
"(8, -8)","(-391129973370880, -174927475527680)"
"(8, -6)","(-230873487309072, -103409990307936)"
"(8, -4)","(-56333151862400, -24895767948800)"
"(8, -2)","(58775824899040, 19009336482560)"
"(8, 0)","(0, 20613384207360)"
"(8, 2)","(-58775824899040, 19009336482560)"
"(8, 4)","(56333151862400, -24895767948800)"
"(8, 6)","(230873487309072, -103409990307936)"
"(8, 8)","(391129973370880, -174927475527680)"
"(8, 10)","(-2381750827520400, 1065150389308320)"
"(8, 12)","(-351626564062080, 157252168773120)"
"(8, 14)","(3984689086383488, -1782007132902976)"
"(8, 16)","(2004171245515776, -896292628704768)"
"(9, -19)","(3703581465725292, 1656291983514012)"
"(9, -17)","(9319403666191890, 4167764021450430)"
"(9, -15)","(18293709088525500, 8181195426942300)"
"(9, -13)","(15854220294259620, 7090222696150860)"
"(9, -11)","(-7094486909047032, -3172756217107608)"
"(9, -9)","(617359834461861, 276105654608571)"
"(9, -7)","(-2421676206054630, -1083367782136710)"
"(9, -5)","(-1600522530243000, -709708775567400)"
"(9, -3)","(685140477170040, 295638918885720)"
"(9, -1)","(58528249297098, -9920298861018)"
"(9, 1)","(-58528249297098, -9920298861018)"
"(9, 3)","(-685140477170040, 295638918885720)"
"(9, 5)","(1600522530243000, -709708775567400)"
"(9, 7)","(2421676206054630, -1083367782136710)"
"(9, 9)","(-617359834461861, 276105654608571)"
"(9, 11)","(7094486909047032, -3172756217107608)"
"(9, 13)","(-15854220294259620, 7090222696150860)"
"(9, 15)","(-18293709088525500, 8181195426942300)"
"(9, 17)","(-9319403666191890, 4167764021450430)"
"(9, 19)","(-3703581465725292, 1656291983514012)"
"(10, -22)","(1173567458758640, 524835322793200)"
"(10, -20)","(16628447762094500, 7436467911269750)"
"(10, -18)","(-19664658576578880, -8794302666110400)"
"(10, -16)","(-41303309058068512, -18471401565401540)"
"(10, -14)","(13158541250321600, 5884677279320000)"
"(10, -12)","(-15995579367421080, -7153495263287100)"
"(10, -10)","(1578703251830000, 706053213130000)"
"(10, -8)","(-14716231600048880, -6582314869700900)"
"(10, -6)","(888590631117600, 394004413140000)"
"(10, -4)","(-1701694707796772, -729107654885710)"
"(10, -2)","(-439585802897920, -141786972812800)"
"(10, 0)","(0, 323723384355000)"
"(10, 2)","(439585802897920, -141786972812800)"
"(10, 4)","(1701694707796772, -729107654885710)"
"(10, 6)","(-888590631117600, 394004413140000)"
"(10, 8)","(14716231600048880, -6582314869700900)"
"(10, 10)","(-1578703251830000, 706053213130000)"
"(10, 12)","(15995579367421080, -7153495263287100)"
"(10, 14)","(-13158541250321600, 5884677279320000)"
"(10, 16)","(41303309058068512, -18471401565401540)"
"(10, 18)","(19664658576578880, -8794302666110400)"
"(10, 20)","(-16628447762094500, 7436467911269750)"
"(10, 22)","(-1173567458758640, 524835322793200)"
"(11, -23)","(138595120426418740, 61981622124648380)"
"(11, -21)","(232017623495256438, 103761435622793718)"
"(11, -19)","(-377878237887696658, -168992285450499742)"
"(11, -17)","(-322163600631790160, -144075941034036880)"
"(11, -15)","(268616572421211000, 120128947169015400)"
"(11, -13)","(-44986614813702430, -20118958149514510)"
"(11, -11)","(-62056787188526064, -27754040501401104)"
"(11, -9)","(38928549730180572, 17406192058920588)"
"(11, -7)","(-18035947058730580, -8044223540939740)"
"(11, -5)","(18262428723535500, 8071354099601100)"
"(11, -3)","(4328223287566950, 2068079060858250)"
