numerator,-98209*x+219602
denominator,26880
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-43133785636*x-96450076809
"(1, 1)",1
"(2, -4)",8320513875310281831048*x+18605234632923999244961
"(2, -2)",42752354863634421080*x+95597171673280317270
"(2, 0)",-1361315904117180*x-3043994900426040
"(2, 2)",-991157030
"(2, 4)",43133785636*x-96450076809
"(3, -5)",262598047025469264768840060*x+587187083907635724547838760
"(3, -3)",-30929278118083995524117040*x-69159968367032581508485260
"(3, -1)",-15267957846725262586524*x-34140191622878995401048
"(3, 1)",-284795099526575388*x-636820848232750488
"(3, 3)",717054570148140
"(3, 5)",1361315904117180*x-3043994900426040
"(4, -8)",-8246935820726329268124497467440*x-18440709101222091307357787225830
"(4, -6)",54937003180372144693395367260*x+122842873591434255832859866632
"(4, -4)",63116558556821521265102629104*x+141132915438898944244833762876
"(4, -2)",-2092931324232899428813222620*x-4679936713223415230951690920
"(4, 0)",30778549284437231050003800*x+68822928448115598499556400
"(4, 2)",-33766119880998808594460*x-75503290868464703557320
"(4, 4)",-1463274266938991964
"(4, 6)",284795099526575388*x-636820848232750488
"(4, 8)",-42752354863634421080*x+95597171673280317270
"(5, -11)",-1605028404728053862623990388146028*x-3588952618789973294871796462342089
"(5, -9)",2945191414066451366386768090068444*x+6585648208601315573108522950942152
"(5, -7)",6513487619197149824246883850533660*x+14564601087128091171433090020074680
"(5, -5)",1017021766546714962703654770700*x+2274129804595376202592418172675
"(5, -3)",-17576169476917827837751384000260*x-39301509734445183637678222612830
"(5, -1)",462210032802386556687303950904*x+1033533053228460079585736707312
"(5, 1)",3618103764831843487683214904*x+8090325957096184251870147312
"(5, 3)",-11112292229743833632660460*x-24847433331213620872467330
"(5, 5)",-23578309938506668075
"(5, 7)",33766119880998808594460*x-75503290868464703557320
"(5, 9)",15267957846725262586524*x-34140191622878995401048
"(5, 11)",-8320513875310281831048*x+18605234632923999244961
"(6, -12)",5966262500272248680429401439811450720*x+13340968522216605579797195769918522540
"(6, -10)",-5937186885076347296939855228433744600*x-13275953470150944221634555463354611600
"(6, -8)",2143545301996216338700599964650544020*x+4793113008113855385856596821908912770
"(6, -6)",22580330784891401201138005124484000*x+50491154589448354316326334618721000
"(6, -4)",-11495627094629181222143731799713560*x-25705003627579256818724893002267828
"(6, -2)",245301484385435195470348785621720*x+548510794067433929442092751559440
"(6, 0)",-17607952786027807664969133956400*x-39372579373756769938015372879200
"(6, 2)",103122858691434240479146487640*x+230589716381160190804799042640
"(6, 4)",970527421896588288612488568*x+2170431800359432705577480052
"(6, 6)",-523495224264423782169000
"(6, 8)",11112292229743833632660460*x-24847433331213620872467330
"(6, 10)",-30778549284437231050003800*x+68822928448115598499556400
"(6, 12)",30929278118083995524117040*x-69159968367032581508485260
"(7, -15)",-50655203610999809132445401517768219900*x-113268478688288386988459786398994207640
"(7, -13)",403726773956450432061495217828823844700*x+902760510903314885508472995269559305880
"(7, -11)",-697932771579716721909838489214403171768*x-1560625120977079872615843899858826482128
"(7, -9)",-187226384401428006964670908572268552584*x-418650922703099297264410542539128360308
"(7, -7)",-60225063776195032195750094505808864400*x-134667336552832272740335657434208376100
"(7, -5)",-3678295975805336833194607732895108640*x-8224919843264654907101927283723995280
"(7, -3)",-431924936548023321781779760522244700*x-965813519298663784612939681857343560
"(7, -1)",-9119052859191293604818632750080548*x-20390822083548570450043377289170288
"(7, 1)",-732409822412538367089768644428164*x-1637718150091571580677114346391648
"(7, 3)",12043755034829940568181351941860*x+26930664975845775218646015854040
"(7, 5)",-15286711223748020071403731680*x-34096849001915728441104013680
"(7, 7)",1396238769405169865201072900
"(7, 9)",-970527421896588288612488568*x+2170431800359432705577480052
"(7, 11)",-3618103764831843487683214904*x+8090325957096184251870147312
"(7, 13)",2092931324232899428813222620*x-4679936713223415230951690920
"(7, 15)",-262598047025469264768840060*x+587187083907635724547838760
"(8, -16)",-12175193841450363833846750856697277698272*x-27224561068719810237604986587386446493404
"(8, -14)",-89160386331357567718234165476152246755768*x-199368684737058610527626212826438174002128
"(8, -12)",-19892415037803487063737315920932352659800*x-44480792261167645914745855818968083830960
"(8, -10)",2945130647399192504663932562237558109600*x+6585512330202558647486437831672097489520
"(8, -8)",-1610947809621538577044316484884539406240*x-3602188810518150018300909079150845187560
"(8, -6)",-460728286447297812313920013434714164784*x-1030219767653152986781805522962747525968
"(8, -4)",-96498205021257881390423024985140481000*x-215776546134244158357881192838443626000
"(8, -2)",-8404063947226698704521848580237310200*x-18792058273254347229609751671330599280
"(8, 0)",-174777147686917522732704961622046480*x-390813583137415734068644166849521440
"(8, 2)",10512920464409343810627993376790280*x+23507604995305103217002907818661520
"(8, 4)",-132408827333769519732350648993000*x-296072901555574179508283185146000
"(8, 6)",3184289616855534298315972501392*x+7130969421741407801659140862992
"(8, 8)",37347702870694040675607452840
"(8, 10)",15286711223748020071403731680*x-34096849001915728441104013680
"(8, 12)",-103122858691434240479146487640*x+230589716381160190804799042640
"(8, 14)",-462210032802386556687303950904*x+1033533053228460079585736707312
"(8, 16)",-63116558556821521265102629104*x+141132915438898944244833762876
"(9, -19)",-10597356352806341273763805059364001171292*x-23696409186664223319105543984731559524088
"(9, -17)",3390445792113451683952826523598427719280220*x+7581267265193798334555782526081729210186270
"(9, -15)",3396576797305647229806276009753010980298800*x+7594976609573951738184406536381246329824800
"(9, -13)",-2323242628281193024131314774247477126894180*x-5194928445062023000489329383268297608573160
"(9, -11)",-614710684542082226070932854235015233001040*x-1374534877131525041024850142222095143579088
"(9, -9)",-107944285351727854157817579681487248146556*x-241370759829098277906280443965109031755039
"(9, -7)",26426987844217200643822700133964220035560*x+59092541260230283224923994349346674948710
"(9, -5)",-773076501774920497848257268149337948000*x-1728651609776459017597652677038221648400
"(9, -3)",-2342054557008391626514982000154194109360*x-5236993196483920412800058604535382406720
"(9, -1)",-108119322032548926332519786854527460980*x-241762153745840319210146800689428359398
"(9, 1)",-5599187325731179602462255268252405692*x-12520163476583570897011671693415415418
"(9, 3)",10371679903472142010417478900041680*x+23191835602481891350588990371991680
"(9, 5)",-1703136630471647962406358285549600*x-3808311357944221618804813982684400
"(9, 7)",-43774665358971161799489723401520*x-98495802335963028232928949385590
"(9, 9)",2502546061286032727707544442471
"(9, 11)",-3184289616855534298315972501392*x+7130969421741407801659140862992
"(9, 13)",-12043755034829940568181351941860*x+26930664975845775218646015854040
"(9, 15)",17607952786027807664969133956400*x-39372579373756769938015372879200
"(9, 17)",17576169476917827837751384000260*x-39301509734445183637678222612830
"(9, 19)",-54937003180372144693395367260*x+122842873591434255832859866632
"(10, -22)",1590835186695895824158422319863364318776840*x+3557215618450592124724444012379491777235670
"(10, -20)",-196183654999711049678794145878068565392600*x-438679988653720391812555377041163843320075
"(10, -18)",-47318694020673774405155447076229058490895320*x-105807816436739398630161445971411089857096560
"(10, -16)",141281967245591697521743953501453822615616804*x+315916082756041760763207008325943940481352752
"(10, -14)",25541586634858356457495132011966711866193000*x+57112723968743384635500491999302574201854000
"(10, -12)",8470566660166297426197323658299501714734920*x+18940762860075201108875541428210311040615910
"(10, -10)",-4605820858565666278148973367628277721997000*x-10298928531939274324855821696239738331299250
"(10, -8)",1555266080885174554096928354304342017448180*x+3477680679958936596912340371087385963542440
"(10, -6)",630321553828291368810702094369085733783000*x+1409441842043352302891587899131007699496500
