numerator,98209*x-219602
denominator,1120
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-43133785636*x-96450076809
"(1, 1)",1
"(2, -4)",8320513875310281831048*x+18605234632923999244961
"(2, -2)",25925507939285755000*x+57971198103453438750
"(2, 0)",260141331948700*x+581693701988600
"(2, 2)",-601048750
"(2, 4)",43133785636*x-96450076809
"(3, -5)",-50181302895035219963447900*x-112208804472805745786743400
"(3, -3)",2956512328439501126370000*x+6610962542706909249592500
"(3, -1)",6721892791105229287516*x+15030609218377119760312
"(3, 1)",-1438765922963661988*x-3217178563295203528
"(3, 3)",-68542843732500
"(3, 5)",-260141331948700*x+581693701988600
"(4, -8)",-5001034464112900756699111590000*x-11182653019575678591184752848750
"(4, -6)",277538174281926742422256560100*x+620594224045572078456655803992
"(4, -4)",-9882471974763569003908340816*x-22097879121307926463909667604
"(4, -2)",198654338492083093780237500*x+444204604893550860655825000
"(4, 0)",-262992353973927063125000*x-588068781042290736250000
"(4, 2)",211122595116532437500*x+472079868727580325000
"(4, 4)",229112094592400756
"(4, 6)",1438765922963661988*x-3217178563295203528
"(4, 8)",-25925507939285755000*x+57971198103453438750
"(5, -11)",-1605028404728053862623990388146028*x-3588952618789973294871796462342089
"(5, -9)",-1296654152007926952330872053294876*x-2899406827197070093242004844405288
"(5, -7)",-40725382375871431722136203637500*x-91064723402120412436795021675000
"(5, -5)",-7405843983181774729536555672500*x-16559970577152257558753542918125
"(5, -3)",180669776811869620861479657500*x+403989902431055702788630791250
"(5, -1)",-3669022972566367143828773976*x-8204184777665332270677799408
"(5, 1)",-60848160249872240620619096*x-136060622539453454702314608
"(5, 3)",121723293747539448432500*x+272177370673893553228750
"(5, 5)",171694737060147213125
"(5, 7)",-211122595116532437500*x+472079868727580325000
"(5, 9)",-6721892791105229287516*x+15030609218377119760312
"(5, 11)",-8320513875310281831048*x+18605234632923999244961
"(6, -12)",-570311682329490637496057030706660000*x-1275255690051006679796309811056932500
"(6, -10)",50731265481666970889566156073125000*x+113438558201595957958285611988750000
"(6, -8)",-23480261393012486642523377824127500*x-52503460604239825655708523524908750
"(6, -6)",-2921294216691869173966502483100000*x-6532212450800020285862593460775000
"(6, -4)",-67661850442747608247884559774600*x-151296497073407894147095714446388
"(6, -2)",-4521356948062477814281082405000*x-10110061486408717579915931210000
"(6, 0)",-35955096179745379578810750000*x-80398039194620094352513500000
"(6, 2)",1342655489640635553653915000*x+3002269050021430653635990000
"(6, 4)",-10378502103120553320768632*x-23205467556330270875612108
"(6, 6)",67726358204314908975000
"(6, 8)",-121723293747539448432500*x+272177370673893553228750
"(6, 10)",262992353973927063125000*x-588068781042290736250000
"(6, 12)",-2956512328439501126370000*x+6610962542706909249592500
"(7, -15)",9679981037203682060469260113607553500*x+21645095620096353865735276434245632600
"(7, -13)",-38320452412004999055905918965991837500*x-85687136521788956030084623454105175000
"(7, -11)",11737619455904013508024916132835515352*x+26246114997425469455502624614043251152
"(7, -9)",2001946988166248065141181258075935976*x+4476489552890697728143274098695253132
"(7, -7)",47240017588724998715958485288230000*x+105631890586674799937159456794057500
"(7, -5)",-3133945818787523093416276224350400*x-7007715888610139184554175955858800
"(7, -3)",-1026443269067287519238740365962500*x-2295196924681562514973041630035000
"(7, -1)",33178552190286692044743916850852*x+74189498092488141387059622439872
"(7, 1)",752238984590586327650649812676*x+1682057504100766810097375680912
"(7, 3)",20062516644483341814963597500*x+44861174813520796982285065000
"(7, 5)",-48177456140717718645676800*x-107655410508185731195702800
"(7, 7)",-1095197578700300441117500
"(7, 9)",10378502103120553320768632*x-23205467556330270875612108
"(7, 11)",60848160249872240620619096*x-136060622539453454702314608
"(7, 13)",-198654338492083093780237500*x+444204604893550860655825000
"(7, 15)",50181302895035219963447900*x-112208804472805745786743400
"(8, -16)",1906330362057472280083862185797899472288*x+4262684277132293871968993301592325590516
"(8, -14)",707755095035962373584508528418380026072*x+1582588503922235831029299716240091772752
"(8, -12)",-258998454729086553977470498988196875000*x-579138150841639412869799041337580610000
"(8, -10)",9290304744650117828432141355354312000*x+20773752940726489133311279117428589200
"(8, -8)",-256989536689289141113357312397940000*x-574646073543426769859717317315485000
"(8, -6)",513731569838493965118235269840166416*x+1148738712346553162643414339589588752
"(8, -4)",-149180877801743630100432470498925000*x-333578583707788152045668829545550000
"(8, -2)",-3808408213223796522645388160225000*x-8515859650836739698401912868210000
"(8, 0)",79806963373260113459868273217200*x+178453795178595316478265663381600
"(8, 2)",-7885931735394493600389690465000*x-17633479337972044407863298610000
"(8, 4)",16725258012125834195789475000*x+37402272418472801471943450000
"(8, 6)",-402118688368937469622519728*x-911074911926073815570449488
"(8, 8)",5957963876808495138165000
"(8, 10)",48177456140717718645676800*x-107655410508185731195702800
"(8, 12)",-1342655489640635553653915000*x+3002269050021430653635990000
"(8, 14)",3669022972566367143828773976*x-8204184777665332270677799408
"(8, 16)",9882471974763569003908340816*x-22097879121307926463909667604
"(9, -19)",-53537156453842925454274169099575285779812*x-119712721152834363366977235766044802439528
"(9, -17)",-34851227701139424028243549682992577402500*x-77929714239071476994019201289903443471250
"(9, -15)",6935743576386893564698568433170982750000*x+15508794111308599238944128488771356500000
"(9, -13)",-3870063569127787595636000127568286717500*x-8653725217815189559758064890125485135000
"(9, -11)",78082488328875201714738499273275742320*x+174597751755698906120503692196919858832
"(9, -9)",-193971725888304099563317664645467388796*x-433733964799203745865056584849807301599
"(9, -7)",-7087923466001524583347759038100695000*x-15849078689295328468235022757083476250
"(9, -5)",-193191811170364581551539709860000000*x-431990022473238370164480392611750000
"(9, -3)",-542520432505817908891131411493470000*x-1213112566265599583913382081812540000
"(9, -1)",40120366366092753498524404810799980*x+89711866476841767703097393625967402
"(9, 1)",-2681078245728757730123497256173852*x-5995073211375525314595564864743818
"(9, 3)",179841613228051207747794738210000*x+402138084938769456596970400260000
"(9, 5)",-1669774434091970231961917000000*x-3733724662823236614238894250000
"(9, 7)",-129935374711215625101085110000*x-290380006367520440425857813750
"(9, 9)",4496978946508531295917846311
"(9, 11)",402118688368937469622519728*x-911074911926073815570449488
"(9, 13)",-20062516644483341814963597500*x+44861174813520796982285065000
"(9, 15)",35955096179745379578810750000*x-80398039194620094352513500000
"(9, 17)",-180669776811869620861479657500*x+403989902431055702788630791250
"(9, 19)",-277538174281926742422256560100*x+620594224045572078456655803992
"(10, -22)",964700316376290864062821142807184946865000*x+2157135485332939961416074673945134665838750
"(10, -20)",1428588442026705353745471991171859298105000*x+3194420868242230604058888394771008349313125
"(10, -18)",872170449843064960492027310791370545205000*x+1950232413815664038031110300503866981790000
"(10, -16)",-145107015651793885250214137857979406810916*x-324469151009537080711867743773641772779488
"(10, -14)",-3226454020717560466744287648758069475000*x-7214570516601979996740662353179356550000
"(10, -12)",25057465818739884944937866738454327285000*x+56030196914579806452371224634557716123750
"(10, -10)",4533072743627956737798622638120734375000*x+10136258801703587913671946802855183593750
