numerator,1
denominator,1944000
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(499477968390129161908374263236069074083173220029853530328411856984755739332117934610275909074382993117779805860528400214503353096502237901380205890213*x+1116866690583820004930006692288843817230822241931377186784446666713111963845493704288593756932895033411885558408890410339338255273805024031072930646527)/2
"(1, 1)",(-499477968390129161908374263236069074083173220029853530328411856984755739332117934610275909074382993117779805860528400214503353096502237901380205890213*x+1116866690583820004930006692288843817230822241931377186784446666713111963845493704288593756932895033411885558408890410339338255273805024031072930646527)/2
"(2, -4)",614325698187727561784119080208169868533993810624406589647623018042606989446888680231054934132629906745359271409171647561219554083321325397493611574830478428574203626712*x+1373674021472778189499355671166464452475259875351867994377549783764719508792302674487027849325551268081396166807344924346473481905322850768571708818061542161282848576521
"(2, -2)",5767737285319229734328639597129713212973745596630690588284113073911222446811241459527569325397981488040563888509464665073258852619743756181472972085596263373240280*x+12897052646333897508522016214622303928206585285818450711280529752457153133312122428082495916800623137483974727855090988084340923283559670404351334408359838089914120
"(2, 0)",4402208655682207455220751271965210096156185505274975962588993883664909330668720826723499213242677222213094614849193563489580534070603773417852472553861515430
"(2, 2)",-5767737285319229734328639597129713212973745596630690588284113073911222446811241459527569325397981488040563888509464665073258852619743756181472972085596263373240280*x+12897052646333897508522016214622303928206585285818450711280529752457153133312122428082495916800623137483974727855090988084340923283559670404351334408359838089914120
"(2, 4)",-614325698187727561784119080208169868533993810624406589647623018042606989446888680231054934132629906745359271409171647561219554083321325397493611574830478428574203626712*x+1373674021472778189499355671166464452475259875351867994377549783764719508792302674487027849325551268081396166807344924346473481905322850768571708818061542161282848576521
"(3, -5)",2421407969966731881529500518982897369960397017238615388381658397309467511151866505635156742922137212600370200007572592166572806632045166060460061923872879952097308422754647665*x+5414432822105381669825500331052114127531028305046389676912463517422071185432234476235810426507433681703573463375947421333850979443789623483575071678710501357605296320808788605
