numerator,1
denominator,1944000
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(140624665109870151564301876857482203858307645371730701234468426936368387076881285388169551083488454079575718460603815451637063*x+314446310498812591479636410926870750234094787170018108777342848857934763640632248908553566625763053609621858541810810230412677)/2
"(1, 1)",(-140624665109870151564301876857482203858307645371730701234468426936368387076881285388169551083488454079575718460603815451637063*x+314446310498812591479636410926870750234094787170018108777342848857934763640632248908553566625763053609621858541810810230412677)/2
"(2, -4)",172959271566028108364035574691187524886076659424943364633149700450468928291920477960724643806361726485181623487470801417572206632693263262471112*x+386748688560485356021842818950233315993511033133588601362202521918778607360639247050609864262974282314586164709923351973943147673225354803877971
"(2, -2)",1887350407845307532933360252426186394457590666700869068140988674139894829275689040605458887608093383087172245181828067329388309061145304100*x+4220243809304060034895168478568325275190497613378272025724331229755466750750684244134906644313787886451158887609681957987323070163822313900
"(2, 0)",1128678512357847448100829002455597771516440797193359384582986040787083492248198889263479565200688611226918052480393387813971074032490
"(2, 2)",-1887350407845307532933360252426186394457590666700869068140988674139894829275689040605458887608093383087172245181828067329388309061145304100*x+4220243809304060034895168478568325275190497613378272025724331229755466750750684244134906644313787886451158887609681957987323070163822313900
"(2, 4)",-172959271566028108364035574691187524886076659424943364633149700450468928291920477960724643806361726485181623487470801417572206632693263262471112*x+386748688560485356021842818950233315993511033133588601362202521918778607360639247050609864262974282314586164709923351973943147673225354803877971
"(3, -5)",620822718574650661448313305511235438314535566482228567920506410643641434682998683481109218030723347496769318620563164378997537553501051444329272869095*x+1388201800709140226066784339899057047934457310107489027052916651456551502572822922823185853036710402980765188956816023099280704668248620265032877131515
"(3, -3)",215481696085721425575542791198362969762327253769580189711729509366919340066835270847280910111882342366800006077234556907490480350722241747584014075*x+481831720354623458532430207768190340014838999107659098590782134334162015520333789257329138324627001805014374948080574057257125364809629022092979425
