numerator,(-701408733*x+1568397607)/2
denominator,1944000
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(1100087778366101931*x+2459871053643326447)/2
"(1, 1)",1
"(2, -4)",(2706074082469569338358691163510069157*x+6050965600552329018623146299409643807)/2
"(2, -2)",23711905081808077531013779424640*x+53021431638945573269153137911680
"(2, 0)",375455582806407359459175*x+839544205686928119332325
"(2, 2)",43109114650880
"(2, 4)",(-1100087778366101931*x+2459871053643326447)/2
"(3, -5)",923572320074266472928406235963205253760400*x+2065170489823253451341780410355753535166950
"(3, -3)",2512280140662006169119648631989603081855*x+5617629173042979304141152771533642803635
"(3, -1)",36853025501330231970808396380323952*x+82405870197507665038975855510695132
"(3, 1)",126334852536156828125114170674*x+282493318198325375769802999722
"(3, 3)",4567417600790645212410
"(3, 5)",-375455582806407359459175*x+839544205686928119332325
"(4, -8)",58328228937477782468001340604726557971215355454080*x+130425884911370652358416624250680965467552979550080
"(4, -6)",310767446820027222213120652265564279007436339230*x+694897136283631721759057588207603125111585552602
"(4, -4)",341277880978499053380852895955901680562044928*x+763120541085006327315148892637017084255502336
"(4, -2)",-602603529948457131903265509059725136729310*x-1347462456446080488494192847471263538135130
"(4, 0)",16185557765514384526398975545737824000*x+36192007417439765203610576621073696000
"(4, 2)",1005581375676412287454891485562770*x+2248548311824656082657042443852470
"(4, 4)",620455726697336389385650176
"(4, 6)",-126334852536156828125114170674*x+282493318198325375769802999722
"(4, 8)",-23711905081808077531013779424640*x+53021431638945573269153137911680
"(5, -11)",3328296652240658696799419976075873295011776691065496624*x+7442297563695090582682763281413839664090276032624768641
"(5, -9)",90653690669901576575738013507627377805311049863329218*x+202707814749138373661102335648141742433919095966756282
"(5, -7)",2473600517506638444438624015284257840614733482848880*x+5531138906323502162208518607371955037953980055409220
"(5, -5)",(-30005528948508321154512581905438730303206108906875*x-67094402429702393055408899287709062474593001429375)/2
