"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)","(-1930697454217, -863434150323)"
"(1, 1)","(1930697454217, -863434150323)"
"(2, -4)","(4749266780971259812023670322782, 2123936673106668325128193642704)"
"(2, -2)","(50035252945846609788272590, 22376445371661924618033210)"
"(2, 0)","(0, -2331442542472904100)"
"(2, 2)","(-50035252945846609788272590, 22376445371661924618033210)"
"(2, 4)","(-4749266780971259812023670322782, 2123936673106668325128193642704)"
"(3, -5)","(6411978617343083283477423765469542750, 2867524011730849239834378644212366350)"
"(3, -3)","(8389615096095419019349764443680170, 3751949931985557474435894597925230)"
"(3, -1)","(-109065199637672541021362081184, -48775184954954636360906438328)"
"(3, 1)","(109065199637672541021362081184, -48775184954954636360906438328)"
"(3, 3)","(-8389615096095419019349764443680170, 3751949931985557474435894597925230)"
"(3, 5)","(-6411978617343083283477423765469542750, 2867524011730849239834378644212366350)"
"(4, -8)","(-123080270383210053448720732950575487803915140, -55043170253182353989985280893033191735338080)"
"(4, -6)","(-701633041236157930075162360554854781108204, -313779835092792441325148071835635332152844)"
"(4, -4)","(-2131446706409213415686470170205388176368, -953211945189807575001770177609086131792)"
"(4, -2)","(-2979660149617029372859557977286395740, -1332544520640500214159474404725007220)"
"(4, 0)","(0, -96420428184854106665325490308000)"
"(4, 2)","(2979660149617029372859557977286395740, -1332544520640500214159474404725007220)"
"(4, 4)","(2131446706409213415686470170205388176368, -953211945189807575001770177609086131792)"
"(4, 6)","(701633041236157930075162360554854781108204, -313779835092792441325148071835635332152844)"
"(4, 8)","(123080270383210053448720732950575487803915140, -55043170253182353989985280893033191735338080)"
"(5, -11)","(-11682583880541022160596615761809683936169989761337, -5224610341946601627817549441478355882137317642365)"
"(5, -9)","(268285625915500063167723126138731630685847165044, 119980979386627478143615154888687703688309013460)"
"(5, -7)","(-22655411534851349158040449479526694378347713340, -10131808050032092512113681640331543886776113300)"
"(5, -5)","(-115832308528908178080168448256802932307090625, -51801783172273469976385473864332543182846875)"
"(5, -3)","(-434482687274459971956665699372437967247090, -194306564755240804970856519805788205695450)"
"(5, -1)","(-28092912133216659413310058338216167584, -12350881011024987469040027393413668720)"
"(5, 1)","(28092912133216659413310058338216167584, -12350881011024987469040027393413668720)"
"(5, 3)","(434482687274459971956665699372437967247090, -194306564755240804970856519805788205695450)"
"(5, 5)","(115832308528908178080168448256802932307090625, -51801783172273469976385473864332543182846875)"
"(5, 7)","(22655411534851349158040449479526694378347713340, -10131808050032092512113681640331543886776113300)"
"(5, 9)","(-268285625915500063167723126138731630685847165044, 119980979386627478143615154888687703688309013460)"
"(5, 11)","(11682583880541022160596615761809683936169989761337, -5224610341946601627817549441478355882137317642365)"
"(6, -12)","(-20637371326094195834683146831976588163608940926775820, -9229313032410320268250754902924042010752816385483040)"
"(6, -10)","(265177336577461081004887054207859720923201461870000, 118590910135908880748294692043022060051189287838000)"
"(6, -8)","(-8949928459864324193962128589276362610797783109740, -4002529686003325424540893110456498919742695282320)"
"(6, -6)","(-1276505166857635426542943873113589339421768108400, -570870465344676884544239700647997394991007099600)"
"(6, -4)","(-2264318341596088333791512584740446954389073436, -1012633946891213499992239431320575578666725736)"
"(6, -2)","(44845707026520551613737164399464975459412680, 20055601921607043897700773268092847213579560)"
"(6, 0)","(0, 53284679752834491067340506265853924396000)"
"(6, 2)","(-44845707026520551613737164399464975459412680, 20055601921607043897700773268092847213579560)"
"(6, 4)","(2264318341596088333791512584740446954389073436, -1012633946891213499992239431320575578666725736)"
"(6, 6)","(1276505166857635426542943873113589339421768108400, -570870465344676884544239700647997394991007099600)"
"(6, 8)","(8949928459864324193962128589276362610797783109740, -4002529686003325424540893110456498919742695282320)"
"(6, 10)","(-265177336577461081004887054207859720923201461870000, 118590910135908880748294692043022060051189287838000)"
"(6, 12)","(20637371326094195834683146831976588163608940926775820, -9229313032410320268250754902924042010752816385483040)"
"(7, -15)","(-15772640597382209760929606248477413999623897974072109250, -7053739312083902506329636102894687648298642764934954350)"
"(7, -13)","(7329579729082062232617233261797964555519983514502422440, 3277887704146396678216255493069087086204725453668060640)"
"(7, -11)","(-584837553816143420899500475881720813196576280419901224, -261547305225517646516611927429182938927364770524683432)"
"(7, -9)","(-28808916242617674267582068546907808450907625109490406, -12883739015318188717346477639626265098910122678032462)"
"(7, -7)","(1017265101599458951997266357983467863543373449292350, 454934783662924051506736592219697660578089916464650)"
"(7, -5)","(-14266066971670591094849580986664525858810671817000, -6379979104049151351485573844580650196954552156200)"
"(7, -3)","(-463016959345499989298688239460335135587531333080, -207067479706056389044170242304650112377988204480)"
"(7, -1)","(-1304054210132819538528108414761833954261374134, -586517614738570621498127700469912388125319382)"
"(7, 1)","(1304054210132819538528108414761833954261374134, -586517614738570621498127700469912388125319382)"
"(7, 3)","(463016959345499989298688239460335135587531333080, -207067479706056389044170242304650112377988204480)"
"(7, 5)","(14266066971670591094849580986664525858810671817000, -6379979104049151351485573844580650196954552156200)"
"(7, 7)","(-1017265101599458951997266357983467863543373449292350, 454934783662924051506736592219697660578089916464650)"
"(7, 9)","(28808916242617674267582068546907808450907625109490406, -12883739015318188717346477639626265098910122678032462)"
"(7, 11)","(584837553816143420899500475881720813196576280419901224, -261547305225517646516611927429182938927364770524683432)"
"(7, 13)","(-7329579729082062232617233261797964555519983514502422440, 3277887704146396678216255493069087086204725453668060640)"
"(7, 15)","(15772640597382209760929606248477413999623897974072109250, -7053739312083902506329636102894687648298642764934954350)"
"(8, -16)","(5243084055479429688219048783805314944559349341057246628128, 2344778471959456699277110476688642127452466330667807234816)"
"(8, -14)","(68520103815228910195807339125611377823369301081351392824, 30643121991238906579438382027491552801574413629397321272)"
"(8, -12)","(21893014474540805063630525638736158155541206280220248080, 9790853719492015808059211898971163794594140482893630880)"
"(8, -10)","(14162825349289055217099241443673721194643744705761956000, 6333808046893506053831549698054826905481898056678197200)"
"(8, -8)","(-412988815559861454229023954143964641124158921653425280, -184694213107794615671278044421785666832948696871848320)"
"(8, -6)","(5150088806285108691861684222142508206100096126917296, 2303189732203371660811444745433382578075453594012672)"
"(8, -4)","(458000845882184055671641235107545168714651473174800, 204824205130882068671707407950209307233831440674400)"
"(8, -2)","(-7770972451042618239342804357943008953650290770360, -3475453173971861744538816271707917633258238679560)"
"(8, 0)","(0, -56488320384221638905872097582554895981143366400)"
"(8, 2)","(7770972451042618239342804357943008953650290770360, -3475453173971861744538816271707917633258238679560)"
"(8, 4)","(-458000845882184055671641235107545168714651473174800, 204824205130882068671707407950209307233831440674400)"
"(8, 6)","(-5150088806285108691861684222142508206100096126917296, 2303189732203371660811444745433382578075453594012672)"
"(8, 8)","(412988815559861454229023954143964641124158921653425280, -184694213107794615671278044421785666832948696871848320)"
"(8, 10)","(-14162825349289055217099241443673721194643744705761956000, 6333808046893506053831549698054826905481898056678197200)"
"(8, 12)","(-21893014474540805063630525638736158155541206280220248080, 9790853719492015808059211898971163794594140482893630880)"
"(8, 14)","(-68520103815228910195807339125611377823369301081351392824, 30643121991238906579438382027491552801574413629397321272)"
"(8, 16)","(-5243084055479429688219048783805314944559349341057246628128, 2344778471959456699277110476688642127452466330667807234816)"
"(9, -19)","(1725926808416559320644551974090055873830972282809094239790004, 771857933561736561803424779433456183414696128082646897903596)"
"(9, -17)","(1068771385726659826250819847692899675424043074071944997679490, 477969094178291967810996278802441545582946544133151707848470)"
"(9, -15)","(-146544562425612271575651939526384828349555882933259021690000, -65536720663326101490730918187572298291681975795342650506000)"
"(9, -13)","(1484286523412919892999468343702903553903511760862612143820, 663793112887624406344629744049777333595490826616217852540)"
"(9, -11)","(-1435122397585970958644737321013628176746110418936594910424, -641806247406942230495399132386114809061154387418803918904)"
"(9, -9)","(-68096099839667962163683667659409388563663931205350285303, -30453501648822018689755180138947645538421309147371012557)"
