numerator,1
denominator,676800
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-119391977294333459050518029109186716077548366444265647743634354134098938229963077924054458606630603967283411*x-266968577198241031459798547047612648285100589565610531762886911173905361671546886161196212106769905151657991)/2
"(1, 1)",(119391977294333459050518029109186716077548366444265647743634354134098938229963077924054458606630603967283411*x-266968577198241031459798547047612648285100589565610531762886911173905361671546886161196212106769905151657991)/2
"(2, -4)",-1006486727182973944978475668634905709088670023412914708541831884487520867635546650455332839610641458517973479126992902522440364*x-2250572740432415153810370747935681622568676095880738618055650145922748463229428605452240708330945446293492802689386579152802293
"(2, -2)",-14045681267561547872179770630808934940743536506243452861547343707621234021816166488336063272138086356899642099534832119860*x-31407098104563032853833866567666737826284818909994684706953130938810239336095846899317275795346445567953729778263489250660
"(2, 0)",4701673254786158013254095111670042809798671181664971018510245738814588165365476957330387337138022959999235921415610
"(2, 2)",14045681267561547872179770630808934940743536506243452861547343707621234021816166488336063272138086356899642099534832119860*x-31407098104563032853833866567666737826284818909994684706953130938810239336095846899317275795346445567953729778263489250660
"(2, 4)",1006486727182973944978475668634905709088670023412914708541831884487520867635546650455332839610641458517973479126992902522440364*x-2250572740432415153810370747935681622568676095880738618055650145922748463229428605452240708330945446293492802689386579152802293
"(3, -5)",17725575706909898073948436851427069919827599857549702062654952402360834814662001040668478878203264368109480558416969877378752574178345*x+39635592220969420808724399492822760786985612962579167629851912008847899115182486934156505698338895536761214454417617364293956314901835
"(3, -3)",-2426829963372594231106024328284386033146977002375471413510119818147971112922653725107519844187890787456736643776369431705802829595*x-5426556767934445490865504977108640123408928842387064517513449702021142243943033194310179433991511779721738211842731237708880443695
"(3, -1)",8139743789230707734735720413427092579514966541172425304216998632404706230362329757818455180759379095105844718292752207008262*x+18201658157056661039567958721295794039141890317078706537720189555492228041082646136370406506876729471884499484434334490656194
"(3, 1)",-8139743789230707734735720413427092579514966541172425304216998632404706230362329757818455180759379095105844718292752207008262*x+18201658157056661039567958721295794039141890317078706537720189555492228041082646136370406506876729471884499484434334490656194
"(3, 3)",2426829963372594231106024328284386033146977002375471413510119818147971112922653725107519844187890787456736643776369431705802829595*x-5426556767934445490865504977108640123408928842387064517513449702021142243943033194310179433991511779721738211842731237708880443695
"(3, 5)",-17725575706909898073948436851427069919827599857549702062654952402360834814662001040668478878203264368109480558416969877378752574178345*x+39635592220969420808724399492822760786985612962579167629851912008847899115182486934156505698338895536761214454417617364293956314901835
"(4, -8)",-236813093985238534910845858537865107355479903106809117715167666206514492839643186602122021513386818028791429129717451148445357034415144773280*x-529530176113039942969138452579713824301741804611774018737496640596060174917099341867914037447620269443724165718985430758677995084323544150360
"(4, -6)",2404259180204332771224649567627222704603194202349565997417919173057689032088530162585949589858763755337614792761787129243033681748976304456*x+5376086962464804792150398214176393309227910495497234539660509885735243838268621813757180324983195001056954425364442741510775157365481908564
"(4, -4)",2058108186714371280682069981343428033195284834903270631170639752920675634063577216669998000933604626668626396172390007684207221583200992*x+4602069810542163732782774993207087813153912035703644120535817457721178183156419169171960926077493813050369995382421688448334071238182752
"(4, -2)",-1486354611280235164593245500639090301853405864993309517683891428398452454774964044245810194597444562343155744969605227997793318894680*x-3323589962408494695738812952093757590465439745818275634899944849139117569955344300156722350863362864118129011687323072009880697566740
"(4, 0)",-205191659481301855051107739023873061255704177094128916850358450843391097214464391920963459760625238486235349127479741601556190800
"(4, 2)",1486354611280235164593245500639090301853405864993309517683891428398452454774964044245810194597444562343155744969605227997793318894680*x-3323589962408494695738812952093757590465439745818275634899944849139117569955344300156722350863362864118129011687323072009880697566740
"(4, 4)",-2058108186714371280682069981343428033195284834903270631170639752920675634063577216669998000933604626668626396172390007684207221583200992*x+4602069810542163732782774993207087813153912035703644120535817457721178183156419169171960926077493813050369995382421688448334071238182752
"(4, 6)",-2404259180204332771224649567627222704603194202349565997417919173057689032088530162585949589858763755337614792761787129243033681748976304456*x+5376086962464804792150398214176393309227910495497234539660509885735243838268621813757180324983195001056954425364442741510775157365481908564
"(4, 8)",236813093985238534910845858537865107355479903106809117715167666206514492839643186602122021513386818028791429129717451148445357034415144773280*x-529530176113039942969138452579713824301741804611774018737496640596060174917099341867914037447620269443724165718985430758677995084323544150360
"(5, -11)",(-33939149177440538716661673281518986914853487315774817465321602394979105545875094911243128997756893039493573740165666495897671387173375421414406805*x-75890244659263116509734507053869101705136351419865872052304584435782228487309538937635509985692532266332877512027408803987358198798301045520259551)/2
"(5, -9)",137240169680116668149222091218521951873428602434089778615993000374056932254195772443246880847753489971260417825961498928080740995913011282326770*x+306878348648346438011980366178858635871761633111824158287259720003462948906402982153573192306661725054665660441271218501445352947813031067890554
"(5, -7)",-48692596509193012026987759688027637229131258423069982633254414112028760797958307342239854934213050791367638436385991135269858364114596652680750*x-108879955795524538332427154249775157797064789959329380862078939269329371228303994679419170127740308559724920929242924979573440249474179501664090
"(5, -5)",(640510822468016529521942096065836167559561614448557387659965605418217518155266036743526418937364981509202035104108436543187554137254477507475*x+1432225739362784578048664159557859390875777999120094945277391611592838755257756220072218385522916814052962193707299655585900906406927938987975)/2
"(5, -3)",249196498365494277790203587738299212823258081837617660232074315274254784355419455228203075472985865243700295612769079580169762671884488625*x+557220310081881239832217546333754694075440746494519770151137416197703482869735704672529365325158138021634969180827662862753782561481866915
"(5, -1)",1688340529264071457220100515800625023958440909652961066946867602552239138784925408180322670481413098571366502972086816466927076349553360*x+3773805376890454236395896355724798934479677988668188905313258837763218299146399284410171689277267982539475257668558444018941115143725264
"(5, 1)",-1688340529264071457220100515800625023958440909652961066946867602552239138784925408180322670481413098571366502972086816466927076349553360*x+3773805376890454236395896355724798934479677988668188905313258837763218299146399284410171689277267982539475257668558444018941115143725264
"(5, 3)",-249196498365494277790203587738299212823258081837617660232074315274254784355419455228203075472985865243700295612769079580169762671884488625*x+557220310081881239832217546333754694075440746494519770151137416197703482869735704672529365325158138021634969180827662862753782561481866915
