numerator,1
denominator,33840
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-156529631436392939788836642650432536130296572469634923773951273964485619031959941235159772597113490714320279595304769470131174081216916379*x-350010896384762662066860602457148538368629951214741717032880189427528496730698757960889553347702279400560854171591987478510102266593837999)/2
"(1, 1)",(-156529631436392939788836642650432536130296572469634923773951273964485619031959941235159772597113490714320279595304769470131174081216916379*x+350010896384762662066860602457148538368629951214741717032880189427528496730698757960889553347702279400560854171591987478510102266593837999)/2
"(2, -4)",1319560995821196012992724895470322121363787565102842251237775979187913078496319374666383893481644833579868280434953546418173164479044922777282790549370619596*x+2950628087113510211987970512196760717416623669574676732089588757445819754430842056385301124657618647510394452063987703967808205188824274351018044207942570477
"(2, -2)",17732537782782734136491146377238252451283593070664640067992272347722218052786481404037221548995106418220952399212878820813336328762148021343145544254520*x+39651159895885593430837303758173890325022322895678832136945435826653593849176562396272551555399641049750054498907542378812303759937508610868838485260120
"(2, 0)",1184600493281936658174546864787436359303160365195434995818251435744682309011809344979892431380063204314024102583138341787419868644426401704512960*x
"(2, 2)",17732537782782734136491146377238252451283593070664640067992272347722218052786481404037221548995106418220952399212878820813336328762148021343145544254520*x-39651159895885593430837303758173890325022322895678832136945435826653593849176562396272551555399641049750054498907542378812303759937508610868838485260120
"(2, 4)",1319560995821196012992724895470322121363787565102842251237775979187913078496319374666383893481644833579868280434953546418173164479044922777282790549370619596*x-2950628087113510211987970512196760717416623669574676732089588757445819754430842056385301124657618647510394452063987703967808205188824274351018044207942570477
"(3, -5)",-9986304779619901191498815088732254701720297748075527294722515689654621284075700699734668214855962325494863426761373053151905720262146231862726705938110779003414560*x-22330056331261155520270355429153592824451280653166138091829571805079699974666759595423808619346272825513208002524756880339623905289321438101660036145956502200549600
"(3, -3)",4604483641329640669741933379282739809100216253965721730109270941550354077952560077849266248431200923034699013197473845515748230529309924278815732856992017236360*x+10295938423298836684969247705608046796595172631549277221378006716830444453417264062798144562725477383387203660741203134589482401874606280479027042019620036237160
"(3, -1)",20391280980256282210271451703842611430190968098900031982979064138252444374196172744361729851965706268171820464177978000156540229167026260239609199111678258*x+45596327377452937330269070861004922397604805744666384019946740044804151638625694699093638170260532087590283710645071834899666416714469775265073868110296406
"(3, 1)",20391280980256282210271451703842611430190968098900031982979064138252444374196172744361729851965706268171820464177978000156540229167026260239609199111678258*x-45596327377452937330269070861004922397604805744666384019946740044804151638625694699093638170260532087590283710645071834899666416714469775265073868110296406
"(3, 3)",4604483641329640669741933379282739809100216253965721730109270941550354077952560077849266248431200923034699013197473845515748230529309924278815732856992017236360*x-10295938423298836684969247705608046796595172631549277221378006716830444453417264062798144562725477383387203660741203134589482401874606280479027042019620036237160
"(3, 5)",-9986304779619901191498815088732254701720297748075527294722515689654621284075700699734668214855962325494863426761373053151905720262146231862726705938110779003414560*x+22330056331261155520270355429153592824451280653166138091829571805079699974666759595423808619346272825513208002524756880339623905289321438101660036145956502200549600
"(4, -8)",-298974258105171667408857760012016574275493079701733021733572341896981939037464992599029058011337724575919132893332721309791724961725760205860289982272841512204994153856960*x-668526764645731317273183081038012115398478874908439921254720973224199501955101799960787990982988315989528284160630314487377025891497137243653991285504866620747350830805520
