numerator,1
denominator,960
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(4065441153840086695002088131351061737441312602003*x+9090602778511614037233139774548606959474011340269)/2
"(1, 1)",(-4065441153840086695002088131351061737441312602003*x+9090602778511614037233139774548606959474011340269)/2
"(2, -4)",-89725495835857626854817824711736818775941574760984802871197289206963*x-200632308003851966065239225541655507188645482596059315431775632338618
"(2, -2)",-2599708035959801683501802617187991076876200728077568216625851000*x-5813123890058584293530517201525225558269500696966158210315973000
"(2, 0)",651217010236300826801302142669488568076357712504245711900
"(2, 2)",2599708035959801683501802617187991076876200728077568216625851000*x-5813123890058584293530517201525225558269500696966158210315973000
"(2, 4)",89725495835857626854817824711736818775941574760984802871197289206963*x-200632308003851966065239225541655507188645482596059315431775632338618
"(3, -5)",-6427601179353655002132880722389055022172669887207462972818091609515993793650*x-14372553169292590350243611147797277558013849827487149439495125326532853575850
"(3, -3)",488586608323976893633481367851079957374071062795397740312288308193632250*x+1092512869108476925736089616240010809523621474139214535869287663456191750
"(3, -1)",8675463205317973644641186993807270725462849978270348763957004019554*x+19399029822774582626401730920135239129227894721883680349683964557594
"(3, 1)",-8675463205317973644641186993807270725462849978270348763957004019554*x+19399029822774582626401730920135239129227894721883680349683964557594
"(3, 3)",-488586608323976893633481367851079957374071062795397740312288308193632250*x+1092512869108476925736089616240010809523621474139214535869287663456191750
"(3, 5)",6427601179353655002132880722389055022172669887207462972818091609515993793650*x-14372553169292590350243611147797277558013849827487149439495125326532853575850
"(4, -8)",114752659663823550765808529109829762505425318044101664446080447557061241365372342000*x+256594747607207624181385879842164881955295275469833998251392028117697878836134612000
"(4, -6)",-1030041442394598509715196727753856190938132282443285003108436709178856124426651488*x-2303242684836256025129338530328050468877020189997510331298444379707485857918619676
"(4, -4)",-2079443512947478013121243962328750216239440176627863185645728730937711637926016*x-4649777050321524909877364767179801549872943115173414626617938964289610248400768
"(4, -2)",1211260313958606477160236194150074516288362944030464739462712160135555840000*x+2708460398922720308635754062459505996136677517617136477332253092327863757500
"(4, 0)",-31169092478243099094662511029638125750348094178552517462426656309400000
"(4, 2)",-1211260313958606477160236194150074516288362944030464739462712160135555840000*x+2708460398922720308635754062459505996136677517617136477332253092327863757500
"(4, 4)",2079443512947478013121243962328750216239440176627863185645728730937711637926016*x-4649777050321524909877364767179801549872943115173414626617938964289610248400768
"(4, 6)",1030041442394598509715196727753856190938132282443285003108436709178856124426651488*x-2303242684836256025129338530328050468877020189997510331298444379707485857918619676
"(4, 8)",-114752659663823550765808529109829762505425318044101664446080447557061241365372342000*x+256594747607207624181385879842164881955295275469833998251392028117697878836134612000
"(5, -11)",(7921073554722199872535457116407614096299647490146079972199928826152294652601050385328415*x+17712058923134739213119359820477536113759786688505336100187658333600551283999287354458479)/2
"(5, -9)",-382941138259529524979390479277990743753668122806844712058876595076091679170271589928710*x-856282416529453521125750296534453742585520288246203092841624929732972125285932437657266
"(5, -7)",15165082343618202003594611892181401207926312597537929112512919726440845400760537558750*x+33910155004712123715092211640320790627711987366738342340520142185030909194812255163750
"(5, -5)",(-440027934479786679569418863939332108669571824266952823875835949394952457977867620625*x-983932373495626575716964272305354503992836418391357846388092266256506590719617899375)/2
"(5, -3)",70686367879016184186268728376559051964231615173651402909736438226277112588376875*x+158059523664355916986913073458911773608527710886259986663700596057511033207107875
"(5, -1)",98738107641764126569020274482983080986010748685536241456016276345425060960020*x+220785256153530009838620435474867943613000402651105617854739145802631501587644
"(5, 1)",-98738107641764126569020274482983080986010748685536241456016276345425060960020*x+220785256153530009838620435474867943613000402651105617854739145802631501587644
"(5, 3)",-70686367879016184186268728376559051964231615173651402909736438226277112588376875*x+158059523664355916986913073458911773608527710886259986663700596057511033207107875
"(5, 5)",(440027934479786679569418863939332108669571824266952823875835949394952457977867620625*x-983932373495626575716964272305354503992836418391357846388092266256506590719617899375)/2
"(5, 7)",-15165082343618202003594611892181401207926312597537929112512919726440845400760537558750*x+33910155004712123715092211640320790627711987366738342340520142185030909194812255163750
"(5, 9)",382941138259529524979390479277990743753668122806844712058876595076091679170271589928710*x-856282416529453521125750296534453742585520288246203092841624929732972125285932437657266
"(5, 11)",(-7921073554722199872535457116407614096299647490146079972199928826152294652601050385328415*x+17712058923134739213119359820477536113759786688505336100187658333600551283999287354458479)/2
"(6, -12)",-21566503624936333555158712360669277525961662842475024274290978522839276211957746525137904500*x-48224168142353270425795233439055585295714663208437294524280368517103103907125263293185487000
"(6, -10)",307643216352475397828502354538015678385700679095787858440602677454936691202383899934900000*x+687911144580809891467794864274975851995070986250542452067295389991697162038620690672100000
"(6, -8)",-42620228401992935730295461243821730946653692688490276885021485680504027094021878930904750*x-95301727923423437580654480003116296347711953289551567596652096427298901414051699785524000
"(6, -6)",330297804997450479470634148591485119957048236441942487657386470284000213131333226940000*x+738568344793269023438408793774038560930730672606332098322699193846415569677018135620000
"(6, -4)",-172517602672922716252967332627678354269893712979324023174449943937077601789685881668*x-385761086888134289541189079159424537922259640914112748427906992106262567322181722336
"(6, -2)",-7198032767390864075853906968829756551691853444374609306615538930723486928268036000*x-16095284464364032336620826390131555231719468401774349723141423070350229112991796000
"(6, 0)",14075153607113414344127863209676243666760688822366394291870806813234601724250000
"(6, 2)",7198032767390864075853906968829756551691853444374609306615538930723486928268036000*x-16095284464364032336620826390131555231719468401774349723141423070350229112991796000
"(6, 4)",172517602672922716252967332627678354269893712979324023174449943937077601789685881668*x-385761086888134289541189079159424537922259640914112748427906992106262567322181722336
"(6, 6)",-330297804997450479470634148591485119957048236441942487657386470284000213131333226940000*x+738568344793269023438408793774038560930730672606332098322699193846415569677018135620000
"(6, 8)",42620228401992935730295461243821730946653692688490276885021485680504027094021878930904750*x-95301727923423437580654480003116296347711953289551567596652096427298901414051699785524000
"(6, 10)",-307643216352475397828502354538015678385700679095787858440602677454936691202383899934900000*x+687911144580809891467794864274975851995070986250542452067295389991697162038620690672100000
"(6, 12)",21566503624936333555158712360669277525961662842475024274290978522839276211957746525137904500*x-48224168142353270425795233439055585295714663208437294524280368517103103907125263293185487000
"(7, -15)",283718140801471847389161237453845744109105133989878984561349219397691178691917979272321761716950*x+634413049281947715870877303476779801988618726501871950311975641464690217393392379602629983159650
"(7, -13)",-53465751003553261490775068599007465680735878114482066032827531253996307845029004567141707561250*x-119553053712022692695783768774098628488524565190175005670841170695079149433315052808738471236250
"(7, -11)",-1337372526646527346095809243295595884188945255236068615755548859194769566917378526202467844*x-2990455880822284005938272447783181274405764070943565918520200856913276250231557375210741196
"(7, -9)",-37707097335405928819783461048874748091372398672530896252915531547266457745966890276800661206*x-84315632876168844459592891863509500935415223404268964557705108731229550519169930770873807366
"(7, -7)",667955378074274038013058477008165594057314659816949024402318224119349986038022020258472750*x+1493593631310649319478422630917831970175966622537561740312711975507123773078515838039223250
"(7, -5)",-36525371094601892148752614003767821631601826241050300748506901923246140090122828404434200*x-81673212670933109239826491883836298914325369816815516153633249249345409964980104465138200
"(7, -3)",-65242181978399016443361823291435382831125807190184443217030954641004261249997920494250*x-145885957209345642136574326297876563755849435054368115704302607192156955400799805814750
"(7, -1)",1430993600111098200781255816570290296223277794157847888627522771410985919826488126626*x+3196395277231045426483792600732742138064844310209673052007242497062546186264393471594
"(7, 1)",-1430993600111098200781255816570290296223277794157847888627522771410985919826488126626*x+3196395277231045426483792600732742138064844310209673052007242497062546186264393471594
"(7, 3)",65242181978399016443361823291435382831125807190184443217030954641004261249997920494250*x-145885957209345642136574326297876563755849435054368115704302607192156955400799805814750
"(7, 5)",36525371094601892148752614003767821631601826241050300748506901923246140090122828404434200*x-81673212670933109239826491883836298914325369816815516153633249249345409964980104465138200
"(7, 7)",-667955378074274038013058477008165594057314659816949024402318224119349986038022020258472750*x+1493593631310649319478422630917831970175966622537561740312711975507123773078515838039223250
"(7, 9)",37707097335405928819783461048874748091372398672530896252915531547266457745966890276800661206*x-84315632876168844459592891863509500935415223404268964557705108731229550519169930770873807366
"(7, 11)",1337372526646527346095809243295595884188945255236068615755548859194769566917378526202467844*x-2990455880822284005938272447783181274405764070943565918520200856913276250231557375210741196
"(7, 13)",53465751003553261490775068599007465680735878114482066032827531253996307845029004567141707561250*x-119553053712022692695783768774098628488524565190175005670841170695079149433315052808738471236250
"(7, 15)",-283718140801471847389161237453845744109105133989878984561349219397691178691917979272321761716950*x+634413049281947715870877303476779801988618726501871950311975641464690217393392379602629983159650
"(8, -16)",91787874034596907997771958403688967105389410624502249803329759677635967488297820576200075116118272*x+205243925851546569774827726829591620510496596520695976355729419336233286772406196796682324367662592
"(8, -14)",-4358360162802003786857313300493473587536282367655440875877375606894242865505894984013899599280704*x-9745589594452330761833021937779838256182084106339425645186690945381821973865041872118658334657896
"(8, -12)",-60284753078585230875867895277236717383743701407108931735050284467589392236152669487253672608000*x-134800805890506297665927972947081479087340053724300067209036541492763817815637487905600664616000
"(8, -10)",-25894188343296978237204813032134919458123389075460384165412077964063126482269615162329466855600*x-57901165357794704167937949144971753249901216799306862836901131410181183613953522610301834247200
"(8, -8)",61225380826787369622594368452922434492260091583025095905391650257217886097218383377452288000*x+136904113477008835490898851526517263144958547751485100455716741613633615955640741068845824000
"(8, -6)",-22444418815693932041441181592015917311854205159788908308404820992386642083740532843581677456*x-50187246187367064054522680516247429675839553028052511257316909208732034508065102938235730576
"(8, -4)",249816065594877913144171915713801375779684984166716517432190643849793053701180174944160000*x+558605704567428940794776462593728057297317225753830567681850999543248408494915714753640000
"(8, -2)",1559459906334077235429817020689692528689162518974896961441078113579985730993751559852000*x+3487230148152300318004750945001902932982694226703472747259874172875558793211531386399000
"(8, 0)",-166641197372211392221100156985979142044003881754628473296476625992252820677447456793600
"(8, 2)",-1559459906334077235429817020689692528689162518974896961441078113579985730993751559852000*x+3487230148152300318004750945001902932982694226703472747259874172875558793211531386399000
