"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)","(172819227541813572622976848323388226500341090418363624821878375841651080027275800461846817199985778316206502322352790602609295777995292831074503405581007697952839320491930622931915224418319029955483704600, 77287108120499805506100527738051709758892165857458307887674163218290885675731798471324672333564788713285911080683827080221024237980301536258463396227120093995059002121339981057295891047734596805003540200)"
"(1, 1)","(172819227541813572622976848323388226500341090418363624821878375841651080027275800461846817199985778316206502322352790602609295777995292831074503405581007697952839320491930622931915224418319029955483704600, -77287108120499805506100527738051709758892165857458307887674163218290885675731798471324672333564788713285911080683827080221024237980301536258463396227120093995059002121339981057295891047734596805003540200)"
"(2, -4)","(-7628343539796351568863392040903922374654184799345043907073010683057252285182042826211413105754078363046877955491435868168257669977879848247050993144618152571592526555706401036911840462215637410296695948718172764637795362400, -3411498942141202869285768199058859244037927115812662565100871356938446603705667055088125746235261531631626844812325945340985661405075134900847367936286669871943264490951450138874187302386112660924608263642044235229708008400)"
"(2, -2)","(-214927717678685377250987083204910335778389826273010139065709507244776797468993735589019553048803149010846931853904266373024289335766869497307364797757491616441754013586825240803813926671762142706965961958879348636121817, -96118597395684761263883763389912083579629962831345648331737971601265184919988249661566097306064279249492835935482081721105628436108208135916111098847533579605772699191825471975469105113206102763726321887248001526387879)"
"(2, 0)",-1499297436064160134761015316184074649966909513410213031190984041431447817296901857917880228728781847517293674552365634542204802389598409441770445059790094565542802088375600896879476592914053421592479894271741817
"(2, 2)","(-214927717678685377250987083204910335778389826273010139065709507244776797468993735589019553048803149010846931853904266373024289335766869497307364797757491616441754013586825240803813926671762142706965961958879348636121817, 96118597395684761263883763389912083579629962831345648331737971601265184919988249661566097306064279249492835935482081721105628436108208135916111098847533579605772699191825471975469105113206102763726321887248001526387879)"
"(2, 4)","(-7628343539796351568863392040903922374654184799345043907073010683057252285182042826211413105754078363046877955491435868168257669977879848247050993144618152571592526555706401036911840462215637410296695948718172764637795362400, 3411498942141202869285768199058859244037927115812662565100871356938446603705667055088125746235261531631626844812325945340985661405075134900847367936286669871943264490951450138874187302386112660924608263642044235229708008400)"
"(3, -5)","(66179880984979244620588377383033916485537724980797452532430684920985581123334996971156371735068643008740829109106785923985262747909136658883351378449896560633241739499383737940243474055313284501052174427988359814953750428430380331, 29596542525051865906325041499729977777066076718236149693852669266394943149927924851758285608674241445934408840121415502403983526593576724360093597233626955200567042065105294676526887433531986425852978001670519847537752761962074439)"
"(3, -3)","(614439885124061483692402411229862313107874578574888429938908493889077164848163996706784553775422891268472060527487787941346419923236746238584696214118358374446377466341282317789616456147298738568397228277387085105024862046237871, 274785870244912655914756679912512877243837571825502928835819738459216548718620818226365755240512591528504506335521573137589046399044759762537116694956879884951053274668187236267396010913060181131509990386868671731914776639412177)"
"(3, -1)","(-16903464048456312826276625725242968675079720992524472338502310653314966802697204051040352099732515568283893630496807437439419894032623835350945885889059342478867804427762178701078691520987253577850697495201376440155004177370, -7559464174797569661775154112459066794381675195865812817437213837800834827975443776474060016431888554846365337004169866635476155694185408478696913086099746362826018862194490343751270275774636342230281217519673765191585902550)"
"(3, 1)","(-16903464048456312826276625725242968675079720992524472338502310653314966802697204051040352099732515568283893630496807437439419894032623835350945885889059342478867804427762178701078691520987253577850697495201376440155004177370, 7559464174797569661775154112459066794381675195865812817437213837800834827975443776474060016431888554846365337004169866635476155694185408478696913086099746362826018862194490343751270275774636342230281217519673765191585902550)"
"(3, 3)","(614439885124061483692402411229862313107874578574888429938908493889077164848163996706784553775422891268472060527487787941346419923236746238584696214118358374446377466341282317789616456147298738568397228277387085105024862046237871, -274785870244912655914756679912512877243837571825502928835819738459216548718620818226365755240512591528504506335521573137589046399044759762537116694956879884951053274668187236267396010913060181131509990386868671731914776639412177)"
"(3, 5)","(66179880984979244620588377383033916485537724980797452532430684920985581123334996971156371735068643008740829109106785923985262747909136658883351378449896560633241739499383737940243474055313284501052174427988359814953750428430380331, -29596542525051865906325041499729977777066076718236149693852669266394943149927924851758285608674241445934408840121415502403983526593576724360093597233626955200567042065105294676526887433531986425852978001670519847537752761962074439)"
"(4, -8)","(9487037351099644138120541711405042782418066486278168513513463403377285290814881205931330930227494460453387421341000542465694297429852179737145618133133031291662008462515533805354870125848349957057661355267173203797209902128384748242842148, 4242732084427668702175138114921025916092925509979450012431392765201347515300369017428337972872439067659359513130710983753442795236316202108163529480736467143203228237598324539415082032789793126047651252692354787230014389999534739079922318)"
"(4, -6)","(-258660916452042148598711039344256105035717862492160700599939741626014805605394301969396758845072270588485838276516157473517903518043716905590829022936275434427318528760192509280681404387075875246458034676431587295889084965188319851355170, -115676678461831993128467591744698539512274943233297411635626042582754033561374973259684484684104994075498486486356852223862942332163477595126375802039731076253364110725189560217285595082008418875804310204956882926582212379248454631504430)"
"(4, -4)","(-956734635273344751220683656259751650510136204419864784621476846248113659180201700129548378579852140257744459927436626688375049126903370280318663208712620519015385746216561221837681666304246225475807245763621069785665654510214416668840, -427864736179933390577988221686332214142838612004111406249716581227902291212893231061923859625730549454692825689556309221985577269892547553964101387555259979300229090951138254500018034874281994013581057743692209367853737203665186485080)"
"(4, -2)","(-292691421607872255727394085889224025686678499866139642284677851692694293471136793871904458660075015350829517796226158243869179206950768449278952928043126321279221944721748939315141317777282058124839592520199827600168708484337463318, -130895582851519765792747688062041994212858104652454185659888433983961463455234667075647992670549896877635591451089859627547324103322668328826346760638909022055581188570645977825806245457970648656572007509429387597856720859775096062)"
"(4, 0)",76418821906674474606696237560417970687820385025091547730979781575675522690133372784363386269593322213959654467820719580680127140981624819960846109308289714476032134128896153263000988449208047835462613979469629323123806545053260
"(4, 2)","(-292691421607872255727394085889224025686678499866139642284677851692694293471136793871904458660075015350829517796226158243869179206950768449278952928043126321279221944721748939315141317777282058124839592520199827600168708484337463318, 130895582851519765792747688062041994212858104652454185659888433983961463455234667075647992670549896877635591451089859627547324103322668328826346760638909022055581188570645977825806245457970648656572007509429387597856720859775096062)"
"(4, 4)","(-956734635273344751220683656259751650510136204419864784621476846248113659180201700129548378579852140257744459927436626688375049126903370280318663208712620519015385746216561221837681666304246225475807245763621069785665654510214416668840, 427864736179933390577988221686332214142838612004111406249716581227902291212893231061923859625730549454692825689556309221985577269892547553964101387555259979300229090951138254500018034874281994013581057743692209367853737203665186485080)"
"(4, 6)","(-258660916452042148598711039344256105035717862492160700599939741626014805605394301969396758845072270588485838276516157473517903518043716905590829022936275434427318528760192509280681404387075875246458034676431587295889084965188319851355170, 115676678461831993128467591744698539512274943233297411635626042582754033561374973259684484684104994075498486486356852223862942332163477595126375802039731076253364110725189560217285595082008418875804310204956882926582212379248454631504430)"
"(4, 8)","(9487037351099644138120541711405042782418066486278168513513463403377285290814881205931330930227494460453387421341000542465694297429852179737145618133133031291662008462515533805354870125848349957057661355267173203797209902128384748242842148, -4242732084427668702175138114921025916092925509979450012431392765201347515300369017428337972872439067659359513130710983753442795236316202108163529480736467143203228237598324539415082032789793126047651252692354787230014389999534739079922318)"
"(5, -11)","(336719623093288510369868309199262179462405275701259638653688905112232320551599214920835911764093105981246018598745043244485034661117423113755448612438617373801322906765640970319747504269009375989494792324162737603213130931326246525647036718600, 150585593318940223972180199932109485136556747369937574986013098611957692131385608711231254277066531525601409918433488890144323799985355820444414635622269294567153189410061494898211148478783192909030455728775907669856884104597188859845844261000)"
"(5, -9)","(746129220167952927282163461371846086140714174507458887783577136484830364151557483982716158895590527375376608958153851609711230886373377004522071523885884245230919300645546983123160146066484215822799250655205412339801053256180356974252720524080, 333679131258889959753762010417090309551484438460946675665333420386343441008396997693045113010756462118429619525093173258906125708153055916420582082503800865719981638396538745000343120522264149107448109267995426144231458264217257170259042635220)"
"(5, -7)","(8771140079666864703178525709179740823505722962528788160926936819974391407842803504262280797609703245745097962615027504592733780649397262985145430616678821201967821284006177242904604039342366466274258516025595250368293618216754745589045469852, 3922573091661606085669629821793266859295923106312860198346027296126575330152690232185928221695685625288181278402032304869046067630691098271687591580590432449222559959232605822036039891297893332713007579036784972437395849651143729424337504120)"
"(5, -5)","(-9820561190187417069707836532706088032166817704758445608915432937005587732697179623320034976433335017886064547991742798670201623053376742039991188640322786834869863624006299927962301599580818380448855062693509763744150869782554577686929960, -4391888479691061046944665921690902317867446528548116137609934583838311915904268129587937622360562483592672865245141367454902636925499899603578960975479345279458469660022880123327627236465157217980313798014263402384549304764075750499330520)"
"(5, -3)","(5247209853909194023454905015399515733585307100271573488415754034011208983363922014905172013968648234467074871916397486365425402848926423077188511728620583870102466557620113809252690179095823487660903952990765945297305669900504634665448, 2346623586316005333878150804402120964292936806685021207588752576830885954634818058279655978947911464879049556213000376518927720541960741423399698961360187914364287229999889632276848611685748342656549280255917144726473852717954128136120)"
"(5, -1)","(-5859997945500852513944761962903412798223823292031182866162859104370787193331626123483677454505917744743333172630309693282792312963971525123126703497027731044998350464700475460145927776483639633615052963611516973132741846656075384260, -2641372639109533531797136692679750471375935416239190142934968651303720020546422887522539888147937125542616425427619800300332355226746201401925320852752921054404008554181484011760949716013471809795497788218398764300568403525757125780)"
"(5, 1)","(-5859997945500852513944761962903412798223823292031182866162859104370787193331626123483677454505917744743333172630309693282792312963971525123126703497027731044998350464700475460145927776483639633615052963611516973132741846656075384260, 2641372639109533531797136692679750471375935416239190142934968651303720020546422887522539888147937125542616425427619800300332355226746201401925320852752921054404008554181484011760949716013471809795497788218398764300568403525757125780)"
"(5, 3)","(5247209853909194023454905015399515733585307100271573488415754034011208983363922014905172013968648234467074871916397486365425402848926423077188511728620583870102466557620113809252690179095823487660903952990765945297305669900504634665448, -2346623586316005333878150804402120964292936806685021207588752576830885954634818058279655978947911464879049556213000376518927720541960741423399698961360187914364287229999889632276848611685748342656549280255917144726473852717954128136120)"
"(5, 5)","(-9820561190187417069707836532706088032166817704758445608915432937005587732697179623320034976433335017886064547991742798670201623053376742039991188640322786834869863624006299927962301599580818380448855062693509763744150869782554577686929960, 4391888479691061046944665921690902317867446528548116137609934583838311915904268129587937622360562483592672865245141367454902636925499899603578960975479345279458469660022880123327627236465157217980313798014263402384549304764075750499330520)"
"(5, 7)","(8771140079666864703178525709179740823505722962528788160926936819974391407842803504262280797609703245745097962615027504592733780649397262985145430616678821201967821284006177242904604039342366466274258516025595250368293618216754745589045469852, -3922573091661606085669629821793266859295923106312860198346027296126575330152690232185928221695685625288181278402032304869046067630691098271687591580590432449222559959232605822036039891297893332713007579036784972437395849651143729424337504120)"
"(5, 9)","(746129220167952927282163461371846086140714174507458887783577136484830364151557483982716158895590527375376608958153851609711230886373377004522071523885884245230919300645546983123160146066484215822799250655205412339801053256180356974252720524080, -333679131258889959753762010417090309551484438460946675665333420386343441008396997693045113010756462118429619525093173258906125708153055916420582082503800865719981638396538745000343120522264149107448109267995426144231458264217257170259042635220)"
"(5, 11)","(336719623093288510369868309199262179462405275701259638653688905112232320551599214920835911764093105981246018598745043244485034661117423113755448612438617373801322906765640970319747504269009375989494792324162737603213130931326246525647036718600, -150585593318940223972180199932109485136556747369937574986013098611957692131385608711231254277066531525601409918433488890144323799985355820444414635622269294567153189410061494898211148478783192909030455728775907669856884104597188859845844261000)"
"(6, -12)","(-27121742151898519879244451524334460780458026633467453290145386376822142849933695083800442749708743272344615441027948245684878425843500941941396549175942887369030294870775348593914990838216619519329986463344874881802192862644103311373639239620284924, -12129211823973303466372334964093336233594266411700337190817340638057388680877219254906010597355162490221404448614496772306595461494400072894432252832591635940978441412419041193718248106643253830991873113723181125562806151507032915914185270434369634)"
"(6, -10)","(-3373172271989143998924810907473256142876595696562144625273002100551933560303981234053386669679509538917143918098734168855153811417073088962981175038369946833526610697669344187024742299424224279498408366287436441591039425731793296472659492311006180, -1508528499997027146678157793859305208414768888167760930802312487884481648041990596921092756876423229420618399011925018664805409029318758786509328830997097998677359706016105122273050143255538519769203222610866164640100893437696948011545409580874420)"
"(6, -8)","(59539906700343600965981610915731704325515128558314518806121915612290387033387082764244581179912485911601541287857197804373692393422187177251280429431852760734230098498381562898920588501659602310723665395248587782824492180410836100039275636164568, 26627055751192698582178600004580735388808373164929033228261731131478514753135637957352707489208998090053339404888851835056600394205860431967081230272005604006511766706161826898399299854477791849055076377463309896753969654861243787005074658305672)"
"(6, -6)","(768822382883699571881365324878129683258129332034360049521837990768434330551943090982530539788942370401448898666204455654522855955814213898056443279627271801698522784924548771419645143015060371532493512943778683044154616202439964285364979989220, 343827822150264606676889224588530362965966445003536686917947680235309170499015306022069039929186369672215831704289027858659844276293295450573100762457262443656938944921959850761408155641335510162711884592840654382293264550917722708708406330140)"
"(6, -4)","(5938274413161177512451074179560031041241672377650734774229686414739046979887706561673604023315741685093055570667044517882466799740121731893194190822731043751839346437440780018468940870796042051842259399736228263173938048694385349860330107040, 2655677051374484930310904813102216791988367703157496988061822322331619151718185719275176189759395199545073952341201862456753910927883325574401072081334752630073705624772235253411595352641429358214851547701873625069275085070508243360502466990)"
"(6, -2)","(8863153361385911645541833559962517306871374882328577359740133789262957197177747757300653783427779772364311102656837088379518537862918282865765367347280864912554458655512736541890180789613198359254386653308262604748306166825283196046651476, 3963728514404564046109149377284268765921992297036587224502810612617873906232377477095026800748954329481484315830256271130287443303418395892593913685413627493601097998232357817646540576298427732628894100830610081681242358278402081525219876)"
"(6, 0)",-43501662654804566005023078385958682282341927648780494888991215650680826984078515621754383057643003509038478792732307826263847024718167678469421969551350805255588459803286662288313400991150073665420310440507323462582230566050239392643880
"(6, 2)","(8863153361385911645541833559962517306871374882328577359740133789262957197177747757300653783427779772364311102656837088379518537862918282865765367347280864912554458655512736541890180789613198359254386653308262604748306166825283196046651476, -3963728514404564046109149377284268765921992297036587224502810612617873906232377477095026800748954329481484315830256271130287443303418395892593913685413627493601097998232357817646540576298427732628894100830610081681242358278402081525219876)"
"(6, 4)","(5938274413161177512451074179560031041241672377650734774229686414739046979887706561673604023315741685093055570667044517882466799740121731893194190822731043751839346437440780018468940870796042051842259399736228263173938048694385349860330107040, -2655677051374484930310904813102216791988367703157496988061822322331619151718185719275176189759395199545073952341201862456753910927883325574401072081334752630073705624772235253411595352641429358214851547701873625069275085070508243360502466990)"
"(6, 6)","(768822382883699571881365324878129683258129332034360049521837990768434330551943090982530539788942370401448898666204455654522855955814213898056443279627271801698522784924548771419645143015060371532493512943778683044154616202439964285364979989220, -343827822150264606676889224588530362965966445003536686917947680235309170499015306022069039929186369672215831704289027858659844276293295450573100762457262443656938944921959850761408155641335510162711884592840654382293264550917722708708406330140)"
"(6, 8)","(59539906700343600965981610915731704325515128558314518806121915612290387033387082764244581179912485911601541287857197804373692393422187177251280429431852760734230098498381562898920588501659602310723665395248587782824492180410836100039275636164568, -26627055751192698582178600004580735388808373164929033228261731131478514753135637957352707489208998090053339404888851835056600394205860431967081230272005604006511766706161826898399299854477791849055076377463309896753969654861243787005074658305672)"
"(6, 10)","(-3373172271989143998924810907473256142876595696562144625273002100551933560303981234053386669679509538917143918098734168855153811417073088962981175038369946833526610697669344187024742299424224279498408366287436441591039425731793296472659492311006180, 1508528499997027146678157793859305208414768888167760930802312487884481648041990596921092756876423229420618399011925018664805409029318758786509328830997097998677359706016105122273050143255538519769203222610866164640100893437696948011545409580874420)"
"(6, 12)","(-27121742151898519879244451524334460780458026633467453290145386376822142849933695083800442749708743272344615441027948245684878425843500941941396549175942887369030294870775348593914990838216619519329986463344874881802192862644103311373639239620284924, 12129211823973303466372334964093336233594266411700337190817340638057388680877219254906010597355162490221404448614496772306595461494400072894432252832591635940978441412419041193718248106643253830991873113723181125562806151507032915914185270434369634)"
"(7, -15)","(-2921219327022574570359119968038368143184810568126713930529304762856531070681763073395564730847794145253932724490425318662512263282137394663829231426001443344163527547777646846288688888104525001742671304082780127372104060729435940638206447510135125199, -1306408998481733014694356941859102064016948317829835295567620689373482858589780146014398540251588624500811762710626795624512858174605332626219611802544107276456736967329799436994384356979872455799718950281385225001331597457379120639903418138995328277)"
"(7, -13)","(12919573507063543655352628031391822280262661994898366222546319976856498107749916448220407493313114890911283659232048663312951243226095480775301212016838570186340802483750170313092373013939089621812036599899841431637164908904191255857034357532439811622, 5777808920419888598541365562061562884292678598107405582197837092432221495901513692779520351798392969859594451414334468690955103997350309495598169949193348437147629853789329324262889647495610310568282388181384626851947429498370028595601111516362783986)"
"(7, -11)","(-1021652378777400459147504492830367825051906115710854045401863098341196642484943009946643571730268824396216034327299115590355513607025586963982585580953639289235549856475200695160538463146529432354003020176459544837850426826572437115366704051637443560, -456896833664126182045939719004317536762328578476271883847223717365286311884652131733818087063941401548487857294143622800767901583832736163849520697811031702374635892205449290815528217994328768737476792335540297048850532451112060700108256562607002560)"
"(7, -9)","(-35928185399033622038310617364784358830636703383310857868198484718956227433888177304829109749991652448569767092276269307048200093564318259092425217506667736148323468150555817001335718630824376713477135792504170229485816334046915904122954600658040035, -16067572972090917171860671629948027214808111076312387395066153597305000650013530575476364768677489803518788586397618982270859602901427383401265062117193254764843187175102373952687679096775309705220732396366771067812281032941817539221355206479640555)"
