"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)","(967577964463458999953138480128962989351290428328099083998486047470243372177066136859064261695656902126824230170512660415774997841960071727778374509600362784940317610843936408470787539467804787501069166400, 432714020414234030731417342340322250584140424433834947581936213511203757533333121450841946437538273455728984168258090107829226989382298802995438978700672538221396727936341652439083602503979985942813636800)"
"(1, 1)","(967577964463458999953138480128962989351290428328099083998486047470243372177066136859064261695656902126824230170512660415774997841960071727778374509600362784940317610843936408470787539467804787501069166400, -432714020414234030731417342340322250584140424433834947581936213511203757533333121450841946437538273455728984168258090107829226989382298802995438978700672538221396727936341652439083602503979985942813636800)"
"(2, -4)","(-42709467108793180372478424027391375693664874954519435442286610500784714184890855786843465337206740377522649495760190033983266367129453553322268996589587854976500992484485796260616824541004235598242617842254969191665349561600, -19100254347610591469397053596554812667435002134087328522936778684140854936364423816860447685260610496720316591326991686645333447012462835848848198430012010470437131047204727716905533219228206264172087670067661315080671625600)"
"(2, -2)","(-1203334412128668681951059711219307119036152298853147282250670216904902772940594743813684948286921049453416807892918258870793185887319701467002485953172367990436285165175096775137929623251208842388821184061306330833996369, -538147509036890116798395595513933973698404154553259722196248749942032802051127470817733270021903153214166082272174273886965625400756377458896832225924380659606150922868360279289594757587919973093096261521284361394022703)"
"(2, 0)",-8395631992950728390465441460361863313125278020115975893832378732128250318481024412587013204527977931315070334978080301728237515557519540220694559215668775234624935013665102087333235441956749778277453793932076369
"(2, 2)","(-1203334412128668681951059711219307119036152298853147282250670216904902772940594743813684948286921049453416807892918258870793185887319701467002485953172367990436285165175096775137929623251208842388821184061306330833996369, 538147509036890116798395595513933973698404154553259722196248749942032802051127470817733270021903153214166082272174273886965625400756377458896832225924380659606150922868360279289594757587919973093096261521284361394022703)"
"(2, 4)","(-42709467108793180372478424027391375693664874954519435442286610500784714184890855786843465337206740377522649495760190033983266367129453553322268996589587854976500992484485796260616824541004235598242617842254969191665349561600, 19100254347610591469397053596554812667435002134087328522936778684140854936364423816860447685260610496720316591326991686645333447012462835848848198430012010470437131047204727716905533219228206264172087670067661315080671625600)"
"(3, -5)","(370588191990602671172507354750882748310358586023633672436351095644365796148232747421294658722994840945554948986862039376387678235214500142642657479597897878430383297521452325140809457307712540104241312654404433808135501131820249267, 165732077789946135581462522548561718959657331949445503877425369291114010393441339594181389500456828089245935439371971351380087927815520340492871763433430493749269260842020856569320857268358670820936721326843704521773703538979040623)"
"(3, -3)","(3501283043470819571563597866011324292617895901234232689503744369176761080493459676795906861234899727535107904908589937220283250734373127332556952333290209080646499974066283731472954858819098748220658703564789684818472024023043547, 1565821378733620753522364905863858943066544364236390969625567609981299957963946535015559159047639731917090902671460330675040338513815388257948977935112623748463174208719376038325376127528437189993549370964560674983154320802740389)"
"(3, -1)","(-94675970126721055499378541543287507618605899622994467603292937503724724687833014858321855802777499863758791421726273738057452189248487515856475252573652961369902561818390046879630837330800031889831041376911666778453203122190, -42340410352191059380647493597052104683358164699372360516846159243960049097282088975595038968745670498992007286368073518180005081984129039671841004903713629710591162241428117188896473048192060790801360317058787551459587493450)"
"(3, 1)","(-94675970126721055499378541543287507618605899622994467603292937503724724687833014858321855802777499863758791421726273738057452189248487515856475252573652961369902561818390046879630837330800031889831041376911666778453203122190, 42340410352191059380647493597052104683358164699372360516846159243960049097282088975595038968745670498992007286368073518180005081984129039671841004903713629710591162241428117188896473048192060790801360317058787551459587493450)"
"(3, 3)","(3501283043470819571563597866011324292617895901234232689503744369176761080493459676795906861234899727535107904908589937220283250734373127332556952333290209080646499974066283731472954858819098748220658703564789684818472024023043547, -1565821378733620753522364905863858943066544364236390969625567609981299957963946535015559159047639731917090902671460330675040338513815388257948977935112623748463174208719376038325376127528437189993549370964560674983154320802740389)"
"(3, 5)","(370588191990602671172507354750882748310358586023633672436351095644365796148232747421294658722994840945554948986862039376387678235214500142642657479597897878430383297521452325140809457307712540104241312654404433808135501131820249267, -165732077789946135581462522548561718959657331949445503877425369291114010393441339594181389500456828089245935439371971351380087927815520340492871763433430493749269260842020856569320857268358670820936721326843704521773703538979040623)"
"(4, -8)","(53115896995636118134698851846494160321662892092998330452933347116999128477632653372498541761389469457026778124275700276047793988546228522915577892127651573432123719223418388404547552404585841931184085267625462262652053870382118084508805636, 23754151273623842107907798080686228295231849207957514672925835734105369689170833613123792597445254481973342942567162331395472949313431919419919694420249958914823397867708517368514903865412321270604757328831605224939316857945437251153703326)"
"(4, -6)","(-1448164950615848280712206468646112609725332684691432633322198957575726247575786071074052844397023167878683557912802614429037838306793555978735294411432003181318208082633335956257591881894925570610945844063960241053403400575440206899386290, -647639054441932538041954485664529398419489732614640958591538775785192254484232195221210316101111836728926263766957897776640767145122099151960506543767174902620305470825602366574770210958190401775120687835287453754175754360292264612856310)"
"(4, -4)","(-5332140032163466351494715782939861265276261354660065116312775612272911833619076150248707960152434073411704589911538677983526781347355331372439255111153775300320251701171322127672390508140782184743300985313735341285328955285664117304680, -2384605515493085157264153999379657750414521942240102337790304664860022026077352619970688754864971116130470690809244631690465174274199524768562842741863004109309411442407455778561278545377864397984472332857715901264824845808562577899160)"
"(4, -2)","(-1578136861440335136013442430928867979571927902702223323259677200519688488497276117205180847361158029572285429674118341902842686800842488248553883506501191462953851998096537932734123032412141790312294233223770992679195087346110192326, -705764258966974888559072667660106665888557716106317958234770461336063649491886890913934067006287008240472438248964228541621432813595849868690844359905147034900020635611953374247723055611347591748654468175046784387179840824042079334)"
"(4, 0)",429225744518090709839840138334336211390672490512119768877686328036843658054357766364899099049884447204900589382881906453203079718278807968010737678942334733960532643187205352323992872078618432211097229713237955434883282161219820
"(4, 2)","(-1578136861440335136013442430928867979571927902702223323259677200519688488497276117205180847361158029572285429674118341902842686800842488248553883506501191462953851998096537932734123032412141790312294233223770992679195087346110192326, 705764258966974888559072667660106665888557716106317958234770461336063649491886890913934067006287008240472438248964228541621432813595849868690844359905147034900020635611953374247723055611347591748654468175046784387179840824042079334)"
"(4, 4)","(-5332140032163466351494715782939861265276261354660065116312775612272911833619076150248707960152434073411704589911538677983526781347355331372439255111153775300320251701171322127672390508140782184743300985313735341285328955285664117304680, 2384605515493085157264153999379657750414521942240102337790304664860022026077352619970688754864971116130470690809244631690465174274199524768562842741863004109309411442407455778561278545377864397984472332857715901264824845808562577899160)"
"(4, 6)","(-1448164950615848280712206468646112609725332684691432633322198957575726247575786071074052844397023167878683557912802614429037838306793555978735294411432003181318208082633335956257591881894925570610945844063960241053403400575440206899386290, 647639054441932538041954485664529398419489732614640958591538775785192254484232195221210316101111836728926263766957897776640767145122099151960506543767174902620305470825602366574770210958190401775120687835287453754175754360292264612856310)"
"(4, 8)","(53115896995636118134698851846494160321662892092998330452933347116999128477632653372498541761389469457026778124275700276047793988546228522915577892127651573432123719223418388404547552404585841931184085267625462262652053870382118084508805636, -23754151273623842107907798080686228295231849207957514672925835734105369689170833613123792597445254481973342942567162331395472949313431919419919694420249958914823397867708517368514903865412321270604757328831605224939316857945437251153703326)"
"(5, -11)","(1885221292455316531774339855974676445868024344109194497277059645731169287963633224466816981456763793902188424007707713011242903739097685408820995450785765071881163074092660293513494089818215546213303238367109742576562857575963934715828420542400, 843096592512019835503931399572659580377259321664213582596208502222629621634555460777102615492857805169272247751581052615271314154719668437934976319173561907380886786431224422471659801899042589664486206217991864108683169002054532176877227224000)"
"(5, -9)","(4179055106505043408262482949520561663297535960419199567279708809165617513731898241334531997556142685787099956218067800644800305156278492893242153104347514467661118326252439705709780434817342681345270889359212592699062623948770849017926854394460, 1868930259972580127433607582234517727548284691994994765345433247934341078248574325181643555445570588216075219991220011316473677224979341783804489274074610380404814958790595088809920474511897155727820359810349574673642592476329251487916702632040)"
"(5, -7)","(50770816608700400971440773239920310706152038996879960514859571560373851656349392349753960938527218518623264866866469929915024565517403936610020498262961802055616761636951505659650344931223986674397776357564916538404598992864049907355798093864, 22705399442045887443721322049320739779059151501979076397876035229222132279493241875922528581844432942508561326519412074521072672425980255735428490701303328724712765199893612321091825161855829963584784175699085875367707897198866288635848910340)"
"(5, -5)","(-46430151247712933679371778401439316689139833471954027342324001064660875220347268831283255371734016869039596013040031250498221676471928526358283060085620082332116780525993286973848253010725531860418173877157369297276034225598845490174096720, -20764194879096559338039717256841734232187530539387080883267037278943687654118982653596633419051390735589016186883246872289383675890422432216602889494448719784597649676847938887759485378722010234591694454447173544873975673178448277629182640)"
"(5, -3)","(40380991700925938724179433967495198308633315846882762932980836542500103741597494652420103840767834161553862995805731126495894804232244437069214960352301894916390586010716265242990529991402453169767601407092897236880563448697065961599736, 18058928495233187692537154313535861900177009255264604763069949699354729653289284264242282212369373469981803485234609924327320868823162385883443920754413775808828170024635633149337390392034089012655497315544160536464620835174201755696840)"
"(5, -1)","(-46327600771043428596476897496738204776299739404279096432742933913324636049776920952437380157978330600380344984917994370975400215913605273584803165074129171272593566717637469763745245497431467001239127199431382407864140946525025293420, -20830908994394798047302038406560034034960630827778877376861140642342039706543004603946623401476526724082235278353419132620911300589778367532766916469997054149995899770650466543444945908675879654518520968940866052913676673961224204460)"
"(5, 1)","(-46327600771043428596476897496738204776299739404279096432742933913324636049776920952437380157978330600380344984917994370975400215913605273584803165074129171272593566717637469763745245497431467001239127199431382407864140946525025293420, 20830908994394798047302038406560034034960630827778877376861140642342039706543004603946623401476526724082235278353419132620911300589778367532766916469997054149995899770650466543444945908675879654518520968940866052913676673961224204460)"
"(5, 3)","(40380991700925938724179433967495198308633315846882762932980836542500103741597494652420103840767834161553862995805731126495894804232244437069214960352301894916390586010716265242990529991402453169767601407092897236880563448697065961599736, -18058928495233187692537154313535861900177009255264604763069949699354729653289284264242282212369373469981803485234609924327320868823162385883443920754413775808828170024635633149337390392034089012655497315544160536464620835174201755696840)"
"(5, 5)","(-46430151247712933679371778401439316689139833471954027342324001064660875220347268831283255371734016869039596013040031250498221676471928526358283060085620082332116780525993286973848253010725531860418173877157369297276034225598845490174096720, 20764194879096559338039717256841734232187530539387080883267037278943687654118982653596633419051390735589016186883246872289383675890422432216602889494448719784597649676847938887759485378722010234591694454447173544873975673178448277629182640)"
"(5, 7)","(50770816608700400971440773239920310706152038996879960514859571560373851656349392349753960938527218518623264866866469929915024565517403936610020498262961802055616761636951505659650344931223986674397776357564916538404598992864049907355798093864, -22705399442045887443721322049320739779059151501979076397876035229222132279493241875922528581844432942508561326519412074521072672425980255735428490701303328724712765199893612321091825161855829963584784175699085875367707897198866288635848910340)"
"(5, 9)","(4179055106505043408262482949520561663297535960419199567279708809165617513731898241334531997556142685787099956218067800644800305156278492893242153104347514467661118326252439705709780434817342681345270889359212592699062623948770849017926854394460, -1868930259972580127433607582234517727548284691994994765345433247934341078248574325181643555445570588216075219991220011316473677224979341783804489274074610380404814958790595088809920474511897155727820359810349574673642592476329251487916702632040)"
"(5, 11)","(1885221292455316531774339855974676445868024344109194497277059645731169287963633224466816981456763793902188424007707713011242903739097685408820995450785765071881163074092660293513494089818215546213303238367109742576562857575963934715828420542400, -843096592512019835503931399572659580377259321664213582596208502222629621634555460777102615492857805169272247751581052615271314154719668437934976319173561907380886786431224422471659801899042589664486206217991864108683169002054532176877227224000)"
"(6, -12)","(-154548716977669055124905237212203233836275757119718086302218730493034836044556568515535477737843182123740190455789871460714980644905677336335128752248400152619799754646004452466792669935865897713024060359241723249083882357626827323100630145058916268, -69116287399488770921468971492548912130278621018224497084170245953558694575378258154059986178898986797225368324065749710155947681818444493873971096380242857380432038083848515704947110633276842285012773051972294315807904251601421468539756063157993738)"
"(6, -10)","(-18946279773855862680167745353409268583894206331455311702129541709328636582958639586080288559469308847509951841392035135870635474807482662976789572592270003586542928519323771338001965841413620949867211057065785950271017840803074723687126180228664260, -8473033899014210353818235506733114783871781791825311124588640063332774604584839609455262589575140121500503080789091905513906788941938651152131636161768386894086869372909631911615004632707404279996445777609445624010051347613509439851189456703569940)"
"(6, -8)","(335986199148943679088902755805111762232566530621446180265217506752511449870403787182717260908735707430120172092211526130339052212277540288203483292625537223375331506641766902435050145472139885858862868003010175955563938431616795125371924118247576, 150257596159764010931516542833753449031455902239727016544413012460630283687243196966097643213295169332082165339845193100079734005367319710468974676520040258815981505796534074609335193546549465225234174563148079810812605446860993623327715546312104)"
"(6, -6)","(4449625527123963179537094779847864835345120340987887395937437565349922023603179218861060835404972015485431679415478467514506322535663440698550581230229448609507865155704816503932615633749760871979422730178570878622248376433519304381394589817540, 1989933030613503193375322245305400135011926244839043566040704019180672071789480231584097367290358233197229829719802488934807600362302945465299736719302915677622750499377611823506677689152421875426832451597955401916554793262175757771634929201980)"
"(6, -4)","(33041344480486943335657896063155050954741016190077017854221822681957204381731407100187861366032877851528909858224083555088706273520975024074265474344585120028107206007330036989957947822602279273860775006894091191932027943659407012721475141680, 14776538465267214184683632474891614860073564774540616813953460827025989560557333171748464960047780534222690822531554248954370170879670581167012338139941233192195885277083206417507402568024527665326518888297358772292275554673660581062116806630)"
