numerator,(-x+1)/2
"(13, -5)",-136163160*x-308022120
"(13, -3)",652800*x-16335600
"(13, -1)",58055858*x+14185902
"(13, 1)",79990836*x+123860792
"(13, 3)",9147000*x+26135400
"(13, 5)",-50233680*x+121625280
"(13, 7)",62589000*x-27241000
"(13, 9)",4443648*x+115194912
"(13, 11)",24211031*x+80463357
"(13, 13)",-32400550
"(13, 15)",-23746800*x-7104720
"(13, 17)",20033300*x-6984600
"(13, 19)",(-5072331*x+39936191)/2
"(13, 21)",-457644*x+5591022
"(13, 23)",-1379500*x+552300
"(13, 25)",60480*x-267120
"(13, 27)",-158025*x+350925
"(13, 29)",4*x-9
"(14, -30)",210000*x+462000
"(14, -28)",162750*x+379750
"(14, -26)",-10900000*x-23640000
"(14, -24)",6784779*x+16136247
"(14, -22)",-25999200*x-63306400
"(14, -20)",-3433500*x+18994500
"(14, -18)",105758400*x+235437600
"(14, -16)",-76548225*x-181222613
"(14, -14)",10850000*x+32550000
"(14, -12)",-5701800*x-20670600
"(14, -10)",12096000*x+53424000
"(14, -8)",-91756925*x-142287825
"(14, -6)",82650000*x-26970000
"(14, -4)",-153309726*x-181770998
"(14, -2)",83256800*x+517161600
"(14, 0)",-22785000*x-22785000
"(14, 2)",-133695600*x-567600400
"(14, 4)",-139079090*x-110617818
"(14, 6)",137460000*x+247080000
"(14, 8)",-66491475*x-15960575
"(14, 10)",-8568000*x-49896000
"(14, 12)",1782600*x+16751400
"(14, 14)",-21700000
"(14, 16)",-24211031*x+80463357
"(14, 18)",40918800*x-88760400
"(14, 20)",-14647500*x-37075500
"(14, 22)",-7345600*x+29961600
"(14, 24)",2109045*x-7242423
"(14, 26)",-4530000*x+8210000
"(14, 28)",54250*x-162750
"(14, 30)",84000*x-168000
"(15, -33)",3600*x+8100
"(15, -31)",1381782*x+3087762
"(15, -29)",5486832*x+11745072
"(15, -27)",718200*x+1528200
"(15, -25)",-8463000*x-16926000
"(15, -23)",52887750*x+116114250
"(15, -21)",-15930000*x-23580000
"(15, -19)",-64262928*x-183901488
"(15, -17)",-11049600*x-29583600
"(15, -15)",-44223750*x-132671250
"(15, -13)",-84474600*x-150423600
"(15, -11)",-117712998*x-71440218
"(15, -9)",24030000*x-38745000
"(15, -7)",153688950*x+198855450
"(15, -5)",-34199700*x-54247800
"(15, -3)",-17830800*x-119602800
"(15, -1)",136350672*x+197320692
"(15, 1)",105865662*x+44895642
"(15, 3)",33055200*x+134827200
"(15, 5)",-24175650*x-4127550
"(15, 7)",131105700*x+85939200
"(15, 9)",55417500*x+118192500
"(15, 11)",-140849388*x-187122168
"(15, 13)",-51500100*x+14448900
"(15, 15)",88447500
"(15, 17)",-1782600*x+16751400
"(15, 19)",-4443648*x+115194912
"(15, 21)",-12105000*x-4455000
"(15, 23)",21274500*x-41952000
"(15, 25)",-4231500*x+4231500
"(15, 27)",313200*x-496800
"(15, 29)",2357712*x-3900528
"(15, 31)",528792*x-1177188
"(15, 33)",1350*x-3150
