numerator,(-x+1)/2
denominator,2
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(x+3)/2
"(1, 1)",1
"(2, -4)",(3*x+7)/2
"(2, -2)",-100*x-300
"(2, 0)",-165*x-825
"(2, 2)",-200
"(2, 4)",(-x+3)/2
"(3, -5)",-660*x-1650
"(3, -3)",-2925*x-8775
"(3, -1)",10932*x+13488
"(3, 1)",-9654*x-7098
"(3, 3)",-5850
"(3, 5)",165*x-825
"(4, -8)",-300*x-700
"(4, -6)",-18030*x-34782
"(4, -4)",-12768*x-38304
"(4, -2)",109650*x+234050
"(4, 0)",33000*x+165000
"(4, 2)",-47450*x+76950
"(4, 4)",-25536
"(4, 6)",9654*x-7098
"(4, 8)",100*x-300
"(5, -11)",4*x+9
"(5, -9)",23142*x+47562
"(5, -7)",-32700*x-3200
"(5, -5)",(153875*x+461625)/2
"(5, -3)",-431700*x-754950
"(5, -1)",-216672*x-1127072
"(5, 1)",-238528*x-1148928
"(5, 3)",270075*x-53175
"(5, 5)",153875
"(5, 7)",47450*x+76950
"(5, 9)",-10932*x+13488
"(5, 11)",(-3*x+7)/2
"(6, -12)",-8775*x-20475
"(6, -10)",132000*x+330000
"(6, -8)",378525*x+595425
"(6, -6)",585000*x+1755000
"(6, -4)",683445*x-47103
"(6, -2)",-2186400*x-2697600
"(6, 0)",965250*x+4826250
"(6, 2)",1930800*x+1419600
"(6, 4)",-1048719*x-1779267
"(6, 6)",1170000
"(6, 8)",-270075*x-53175
"(6, 10)",-33000*x+165000
"(6, 12)",2925*x-8775
"(7, -15)",-1815*x-4125
"(7, -13)",281500*x+625200
"(7, -11)",-932256*x-2319712
"(7, -9)",-2462712*x-5290698
"(7, -7)",-2337125*x-7011375
"(7, -5)",9135720*x+13820400
"(7, -3)",-417750*x+3553350
"(7, -1)",-5658116*x-2539602
"(7, 1)",7217373*x+10335887
"(7, 3)",2403300*x+6374400
"(7, 5)",-6793380*x-2108700
"(7, 7)",-4674250
"(7, 9)",1048719*x-1779267
"(7, 11)",238528*x-1148928
"(7, 13)",-109650*x+234050
"(7, 15)",660*x-1650
"(8, -16)",-38304*x-89376
"(8, -14)",-888544*x-2232288
"(8, -12)",3606000*x+6956400
"(8, -10)",-11244420*x-20146500
"(8, -8)",9107200*x+27321600
"(8, -6)",3132612*x+8616708
"(8, -4)",-21930000*x-46810000
"(8, -2)",12029000*x+2944200
"(8, 0)",4213440*x+21067200
"(8, 2)",-16571400*x-25656200
"(8, 4)",9490000*x-15390000
"(8, 6)",-390564*x+5093532
"(8, 8)",18214400
"(8, 10)",6793380*x-2108700
"(8, 12)",-1930800*x+1419600
"(8, 14)",216672*x-1127072
"(8, 16)",12768*x-38304
"(9, -19)",-44436*x-97248
"(9, -17)",-1025025*x-2211675
"(9, -15)",3861000*x+9652500
"(9, -13)",6792150*x+15569850
"(9, -11)",1960920*x+6663888
"(9, -9)",(-8824221*x-26472663)/2
"(9, -7)",-5866200*x+15710850
"(9, -5)",26449500*x-24337500
"(9, -3)",-63952200*x-78904800
"(9, -1)",-9553485*x-85386927
"(9, 1)",-28363236*x-104196678
"(9, 3)",56475900*x+41523300
"(9, 5)",-51843000*x-102630000
"(9, 7)",16654725*x+38231775
"(9, 9)",-8824221
"(9, 11)",390564*x+5093532
"(9, 13)",-2403300*x+6374400
"(9, 15)",-965250*x+4826250
"(9, 17)",431700*x-754950
"(9, 19)",18030*x-34782
"(10, -22)",-800*x-1800
"(10, -20)",(461625*x+1077125)/2
"(10, -18)",-4628400*x-9512400
"(10, -16)",15994003*x+33547263
"(10, -14)",6540000*x+640000
"(10, -12)",44097975*x+98984475
"(10, -10)",-15387500*x-46162500
"(10, -8)",-50087025*x-48943525
"(10, -6)",86340000*x+150990000
"(10, -4)",(137686171*x+506606751)/2
"(10, -2)",43334400*x+225414400
"(10, 0)",39063750*x+195318750
"(10, 2)",47705600*x+229785600
"(10, 4)",(46774119*x+415694699)/2
"(10, 6)",-54015000*x+10635000
"(10, 8)",50658775*x+51802275
"(10, 10)",-30775000
"(10, 12)",-16654725*x+38231775
"(10, 14)",-9490000*x-15390000
"(10, 16)",-7217373*x+10335887
"(10, 18)",2186400*x-2697600
"(10, 20)",(-153875*x+461625)/2
"(10, 22)",300*x-700
"(11, -23)",-50650*x-86550
"(11, -21)",1001616*x+1637958
"(11, -19)",-9756975*x-17954693
"(11, -17)",-37685200*x-79912800
"(11, -15)",-129079500*x-283552500
"(11, -13)",101889300*x+204350350
"(11, -11)",-207808488*x-623425464
"(11, -9)",210043500*x+409226592
"(11, -7)",-170821350*x-597624650
"(11, -5)",-214038000*x-178942500
"(11, -3)",311947125*x+486240375
"(11, -1)",207099096*x-10833872
"(11, 1)",-316065580*x-533998548
"(11, 3)",-224800500*x-50507250
"(11, 5)",231585750*x+266681250
"(11, 7)",-42580300*x-469383600
"(11, 9)",-110451954*x+88731138
"(11, 11)",-415616976
"(11, 13)",-50658775*x+51802275
"(11, 15)",51843000*x-102630000
"(11, 17)",16571400*x-25656200
"(11, 19)",5658116*x-2539602
"(11, 21)",-683445*x-47103
"(11, 23)",32700*x-3200
"(12, -26)",58494*x+129198
"(12, -24)",1755000*x+4095000
"(12, -22)",1150050*x+4285650
"(12, -20)",16853760*x+42134400
"(12, -18)",105475500*x+203474700
"(12, -16)",-75705000*x-119085000
"(12, -14)",-121312362*x-143033178
"(12, -12)",74692800*x+224078400
"(12, -10)",386358720*x+1144651200
"(12, -8)",-136689000*x+9420600
"(12, -6)",-641452500*x-1369192500
"(12, -4)",-279159552*x-344429568
"(12, -2)",306088650*x-265112550
"(12, 0)",-193050000*x-965250000
"(12, 2)",-591689250*x-1162890450
"(12, 4)",246524544*x+181254528
"(12, 6)",277582500*x-450157500
"(12, 8)",209743800*x+355853400
"(12, 10)",-7212480*x+751080000
"(12, 12)",149385600
"(12, 14)",110451954*x+88731138
"(12, 16)",54015000*x+10635000
"(12, 18)",-56475900*x+41523300
"(12, 20)",-4213440*x+21067200
"(12, 22)",417750*x+3553350
"(12, 24)",-585000*x+1755000
"(12, 26)",-23142*x+47562
"(13, -29)",(21*x+47)/2
"(13, -27)",865500*x+1839450
"(13, -25)",20613780*x+43569900
"(13, -23)",19515600*x+34488800
"(13, -21)",-94643193*x-227203107
