numerator,1
denominator,14
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-34514989*x-77177293)/2
"(1, 1)",(-34514989*x+77177293)/2
"(2, -4)",-4684408822069*x-10474656560546
"(2, -2)",-5004178797260*x-11189601516620
"(2, 0)",44028288690*x
"(2, 2)",-5004178797260*x+11189601516620
"(2, 4)",-4684408822069*x+10474656560546
"(3, -5)",5975585383439835*x+13361815122362925
"(3, -3)",7267094442576945*x+16249597444560465
"(3, -1)",579058141331178*x+1348885019376942
"(3, 1)",579058141331178*x-1348885019376942
"(3, 3)",7267094442576945*x-16249597444560465
"(3, 5)",5975585383439835*x-13361815122362925
"(4, -8)",-1358344301085848920*x-3037350194077399280
"(4, -6)",-3281960049933085176*x-7338685780828406268
"(4, -4)",-2510762016540017568*x-5614193178615232416
"(4, -2)",178520554014488120*x+390628272634532020
"(4, 0)",202626189072985200*x
"(4, 2)",178520554014488120*x-390628272634532020
"(4, 4)",-2510762016540017568*x+5614193178615232416
"(4, 6)",-3281960049933085176*x+7338685780828406268
"(4, 8)",-1358344301085848920*x+3037350194077399280
"(5, -11)",(-2543099967743236145*x-5686544401451398463)/2
"(5, -9)",160463239107292035030*x+358806710533906861038
"(5, -7)",519308421715476626650*x+1161208929334253325470
"(5, -5)",(847869581005978077625*x+1895880050232251409625)/2
"(5, -3)",-22131956273532715275*x-49870935203484994605
"(5, -1)",-6327209130328821920*x-24214652603549949088
"(5, 1)",-6327209130328821920*x+24214652603549949088
"(5, 3)",-22131956273532715275*x+49870935203484994605
"(5, 5)",(847869581005978077625*x-1895880050232251409625)/2
"(5, 7)",519308421715476626650*x-1161208929334253325470
"(5, 9)",160463239107292035030*x-358806710533906861038
"(5, 11)",(-2543099967743236145*x+5686544401451398463)/2
"(6, -12)",1972594649681971104690*x+4410855728741270861460
"(6, -10)",27500730320269160821800*x+61493502425342230959000
"(6, -8)",23208915200056558846470*x+51896712437396431837320
"(6, -6)",1261778538592792308600*x+2821401796595900398200
"(6, -4)",10865889640198027650546*x+24309243030224558771868
"(6, -2)",2683132164622216805040*x+5892825325618710076560
"(6, 0)",267907149899734481100*x
"(6, 2)",2683132164622216805040*x-5892825325618710076560
"(6, 4)",10865889640198027650546*x-24309243030224558771868
"(6, 6)",1261778538592792308600*x-2821401796595900398200
"(6, 8)",23208915200056558846470*x-51896712437396431837320
