numerator,(233*x-521)/2
denominator,420
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-121393*x-271443)/2
"(1, 1)",1
"(2, -4)",(32951280099*x+73681302247)/2
"(2, -2)",-1728636320*x-3865348320
"(2, 0)",43946130*x+98265810
"(2, 2)",28480
"(2, 4)",(121393*x-271443)/2
"(3, -5)",-11928825419460*x-26673664529640
"(3, -3)",-1026842750190*x-2296090191690
"(3, -1)",299193994884*x+669018253992
"(3, 1)",-8676776622*x-19406791698
"(3, 3)",16917660
"(3, 5)",-43946130*x+98265810
"(4, -8)",469226228609760*x+1049221743997280
"(4, -6)",2355549470600430*x+5267168740626222
"(4, -4)",890897811901056*x+1992108068470656
"(4, -2)",58316953079730*x+130400677240370
"(4, 0)",6964115750400*x+15572121484800
"(4, 2)",-358709542510*x-803059717230
"(4, 4)",-14677910784
"(4, 6)",8676776622*x-19406791698
"(4, 8)",1728636320*x-3865348320
"(5, -11)",-4472197161895732*x-10000136862780489
"(5, -9)",-81214124230074234*x-181600302511558758
"(5, -7)",97427511300621660*x+217854538146822520
"(5, -5)",(97279329783082075*x+217523194206495825)/2
"(5, -3)",14955544062811140*x+33441613086166530
"(5, -1)",1116943103021196*x+2497563004274932
"(5, 1)",-139532282157224*x-312022070068368
"(5, 3)",4836315349365*x+10567931093655
"(5, 5)",-801358643275
"(5, 7)",358709542510*x-803059717230
"(5, 9)",-299193994884*x+669018253992
"(5, 11)",(-32951280099*x+73681302247)/2
"(6, -12)",278729276639824170*x+623257609885991010
"(6, -10)",-1890353507520076800*x-4226958944320051200
"(6, -8)",-1297828403314872555*x-2902032532941160695
"(6, -6)",-198273712651315200*x-443353499651635200
"(6, -4)",496575321771996870*x+1110376173813913182
"(6, -2)",29440427786296320*x+65830806071612160
"(6, 0)",10152002542951800*x+22700400535956600
"(6, 2)",-500927791474560*x-1120593636839040
"(6, 4)",99981891740442*x+215385022168962
"(6, 6)",3266641612800
"(6, 8)",-4836315349365*x+10567931093655
"(6, 10)",-6964115750400*x+15572121484800
"(6, 12)",1026842750190*x-2296090191690
"(7, -15)",3237996158290534650*x+7240379520820804710
"(7, -13)",-15829729053530692900*x-35396350229098036680
"(7, -11)",37876178208706375428*x+84693709202563740092
"(7, -9)",-26642809317928800936*x-59575132746423465348
"(7, -7)",-11581551336197072650*x-25897136073343125150
"(7, -5)",-5541525957479362560*x-12391228717250269680
"(7, -3)",431475638653624650*x+964808726595529110
"(7, -1)",480190124240899388*x+1073739211672990752
"(7, 1)",-88114148456890326*x-197037137065828858
"(7, 3)",8017722385309860*x+17921063538740760
"(7, 5)",-1401454312054920*x-3042448171741080
"(7, 7)",190810859542100
"(7, 9)",-99981891740442*x+215385022168962
"(7, 11)",139532282157224*x-312022070068368
"(7, 13)",-58316953079730*x+130400677240370
"(7, 15)",11928825419460*x-26673664529640
"(8, -16)",-241827974755858343808*x-540743790415202365824
"(8, -14)",-303186526245664663052*x-677945682547330298508
"(8, -12)",136002782929015286400*x+304111467758427922560
"(8, -10)",374873436869644287000*x+838242487799164248120
"(8, -8)",53953916841977077760*x+120644625714306293760
"(8, -6)",-16223323350630878496*x-36276453810424087488
"(8, -4)",9545028181717238400*x+21343332170209769600
"(8, -2)",-5022423638814707900*x-11230471750645153020
"(8, 0)",-582885049390225920*x-1303360990267415040
"(8, 2)",-541282356847971420*x-1210261398454657820
"(8, 4)",-18704201109020800*x-41981123442038400
