numerator,1
denominator,14
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(28267327*x+63207199)/2
"(1, 1)",(28267327*x-63207199)/2
"(2, -4)",3836469887767*x+8578607462678
"(2, -2)",-3638300331040*x-8135426920480
"(2, 0)",-32643412110*x
"(2, 2)",-3638300331040*x+8135426920480
"(2, 4)",3836469887767*x-8578607462678
"(3, -5)",-4430412856687365*x-9906704315673075
"(3, -3)",3649136684947605*x+8159657565912885
"(3, -1)",768144965599926*x+1692792706286754
"(3, 1)",768144965599926*x-1692792706286754
"(3, 3)",3649136684947605*x-8159657565912885
"(3, 5)",-4430412856687365*x+9906704315673075
"(4, -8)",-987587518458159680*x-2208312825002773120
"(4, -6)",1507194451536392448*x+3370189236381859284
"(4, -4)",-410558265852596736*x-918029427078124032
"(4, -2)",-147490623181617920*x-327249081421085020
"(4, 0)",5176702944950400*x
"(4, 2)",-147490623181617920*x+327249081421085020
"(4, 4)",-410558265852596736*x+918029427078124032
"(4, 6)",1507194451536392448*x-3370189236381859284
"(4, 8)",-987587518458159680*x+2208312825002773120
"(5, -11)",(2082765791462008235*x+4657205890920201509)/2
"(5, -9)",207000379445804320770*x+462866919808977225306
"(5, -7)",-154774743669069612850*x-346086845623569864470
"(5, -5)",(-101357391532550570875*x-226640347589952134875)/2
"(5, -3)",-6877451100176212275*x-15371081124509129445
"(5, -1)",-1539954150352142800*x-3935239210094461136
"(5, 1)",-1539954150352142800*x+3935239210094461136
"(5, 3)",-6877451100176212275*x+15371081124509129445
"(5, 5)",(-101357391532550570875*x+226640347589952134875)/2
"(5, 7)",-154774743669069612850*x+346086845623569864470
"(5, 9)",207000379445804320770*x-462866919808977225306
"(5, 11)",(2082765791462008235*x-4657205890920201509)/2
"(6, -12)",990528960035547796410*x+2214890088321657155940
"(6, -10)",702589888743085713600*x+1571038751490909768000
"(6, -8)",-447154018797418922970*x-999866669161529778120
"(6, -6)",-557099325902145067200*x-1245702784527972446400
"(6, -4)",-708641063340130771398*x-1584090239705867532564
"(6, -2)",-114931177391645159040*x-254065868025854348160
"(6, 0)",-5146882131174117300*x
"(6, 2)",-114931177391645159040*x+254065868025854348160
"(6, 4)",-708641063340130771398*x+1584090239705867532564
"(6, 6)",-557099325902145067200*x+1245702784527972446400
"(6, 8)",-447154018797418922970*x+999866669161529778120
"(6, 10)",702589888743085713600*x-1571038751490909768000
