"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)","(12752043, 5702887)"
"(1, 1)","(12752043, -5702887)"
"(2, -4)","(2073668380220713167378, 927372692193078999176)"
"(2, -2)","(169879279915370640, 75972323571895760)"
"(2, 0)",2245398130950
"(2, 2)","(169879279915370640, -75972323571895760)"
"(2, 4)","(2073668380220713167378, -927372692193078999176)"
"(3, -5)","(365134520418236664346264650, 163293121717392424612063950)"
"(3, -3)","(21548146315433270692230, 9636623990083965275070)"
"(3, -1)","(310946153784900802356, 139056426930021680412)"
"(3, 1)","(310946153784900802356, -139056426930021680412)"
"(3, 3)","(21548146315433270692230, -9636623990083965275070)"
"(3, 5)","(365134520418236664346264650, -163293121717392424612063950)"
"(4, -8)","(27624851266198503729196844281440, 12354209059908198548370814084480)"
"(4, -6)","(530974165243178603585984806536, 237458865555990702003638417616)"
"(4, -4)","(-12791869131659074914563788032, -5720697787534109378575020288)"
"(4, -2)","(74428011207825769625931960, 33285229723634611447467280)"
"(4, 0)",29912588720811646356000
"(4, 2)","(74428011207825769625931960, -33285229723634611447467280)"
"(4, 4)","(-12791869131659074914563788032, 5720697787534109378575020288)"
"(4, 6)","(530974165243178603585984806536, -237458865555990702003638417616)"
"(4, 8)","(27624851266198503729196844281440, -12354209059908198548370814084480)"
"(5, -11)","(337208755579574400434493424485411123, 150804340016807970735635273952047185)"
"(5, -9)","(50563853654635019725690462580376996, 22612842795223015659741538119002580)"
"(5, -7)","(-2040887859039783189050066259091140, -912712797453392776306899750869900)"
"(5, -5)","(27180083451124478261264852698125, 12155302846166133729156177720625)"
"(5, -3)","(-671739209450843611467239133510, -300410901900900794517635671650)"
"(5, -1)","(5074146391150677603343497696, 2262094502499563083735133920)"
"(5, 1)","(5074146391150677603343497696, -2262094502499563083735133920)"
"(5, 3)","(-671739209450843611467239133510, 300410901900900794517635671650)"
"(5, 5)","(27180083451124478261264852698125, -12155302846166133729156177720625)"
"(5, 7)","(-2040887859039783189050066259091140, 912712797453392776306899750869900)"
"(5, 9)","(50563853654635019725690462580376996, -22612842795223015659741538119002580)"
"(5, 11)","(337208755579574400434493424485411123, -150804340016807970735635273952047185)"
"(6, -12)","(3504043208345787342378152280876416580, 1567055761991527782089497854675369360)"
"(6, -10)","(4864223669955805719275163062051532000, 2175346956756936609075634498424196000)"
"(6, -8)","(-944661441049404257142688611701899860, -422465439581875637827459997996983680)"
"(6, -6)","(287058597557807096586771090170400, 128376507533000777964161603133600)"
"(6, -4)","(-187513471262430328319874747515964, -83858573802013787720999816219664)"
"(6, -2)","(4142340854515080382522381010880, 1852472241073562647005359357760)"
"(6, 0)",3794228694344192154290779500
