numerator,(-1597*x+3571)/2
denominator,18
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(5702887*x+12752043)/2
"(1, 1)",1
"(2, -4)",(72723460248141*x+162614600673847)/2
"(2, -2)",-21442855120*x-47947681680
"(2, 0)",1015645965*x+2271053775
"(2, 2)",-7520
"(2, 4)",(-5702887*x+12752043)/2
"(3, -5)",12951562034102460*x+28960573123058550
"(3, -3)",-6606995929925535*x-14773692026378115
"(3, -1)",-238641521130876*x-533618663748672
"(3, 1)",-701666718198*x-1569058170918
"(3, 3)",-2317070610
"(3, 5)",-1015645965*x+2271053775
"(4, -8)",-273440210533010160*x-611430898533664720
"(4, -6)",-8947922803650909390*x-20008163646383936802
"(4, -4)",1527270442963167744*x+3415080530491900416
"(4, -2)",89408214577661730*x+199922845539167630
"(4, 0)",-9495733806616800*x-21233109617988000
"(4, 2)",-9621076233290*x-21482025052230
"(4, 4)",535613082624
"(4, 6)",701666718198*x-1569058170918
"(4, 8)",21442855120*x-47947681680
"(5, -11)",463686346096539499588*x+1036834190110356583689
"(5, -9)",-3043166939748006097866*x-6804728144156548365978
"(5, -7)",-122598969618614449740*x-274139630038653373520
"(5, -5)",(-42187429343805512875*x-94333959808719633375)/2
"(5, -3)",-29279180137919725140*x-65470237115256302070
"(5, -1)",2547495568719625776*x+5696373204222878128
"(5, 1)",-170555563030352416*x-381372939471030528
"(5, 3)",-4007200604807535*x-8970641147616555
"(5, 5)",-7397556596125
"(5, 7)",9621076233290*x-21482025052230
"(5, 9)",238641521130876*x-533618663748672
"(5, 11)",(-72723460248141*x+162614600673847)/2
"(6, -12)",-84252696199235409118005*x-188394755989128539668335
"(6, -10)",-121090015314264924739200*x-270765505639186931496000
"(6, -8)",-51129273602269612769145*x-114328531414860400569795
"(6, -6)",-11143342863498130696800*x-24917272139369286655200
"(6, -4)",1217260167541527709335*x+2721876480900637790277
"(6, -2)",-213821792705239812480*x-478120063001441986560
"(6, 0)",20425223413949131350*x+45672195172328147250
"(6, 2)",1592099963824848960*x+3559968758877303360
"(6, 4)",-71385044625995853*x-159194919747232407
"(6, 6)",-3907965514132800
"(6, 8)",4007200604807535*x-8970641147616555
"(6, 10)",9495733806616800*x-21233109617988000
"(6, 12)",6606995929925535*x-14773692026378115
"(7, -15)",165158875976041020679815*x+369306473769884650063875
"(7, -13)",1140137396837948144181100*x+2549424723019305827020320
"(7, -11)",-2174929326156695594360112*x-4863289819544182770246832
"(7, -9)",-909087898460076507568344*x-2032782338479157422847778
"(7, -7)",-36457215302854313367575*x-81520811687528830011675
